poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
24165244,Pine Garden,知识科普型,植物园,158198590,松园应该算是阳明山公园一部位吧，这儿从猫空过来也是非常的方便，非常休闲的一个地方的，有点像台湾各式的农庄牧场一样的，环境特别的赞的。,5.0,,,2019-03-25 发布点评,Pine Garden
24165244,Pine Garden,知识科普型,植物园,161149304,松园是在阳明山的，如果非要说具体位置比较难说清楚，但一路走都有指示牌的，是一处相对有园林风格的一个地方的，虽然阳明山人不少，但分散到各个景点人就不多，很喜欢到阳明山来玩的,4.0,,,2019-09-25 发布点评,Pine Garden
24165244,Pine Garden,知识科普型,植物园,74321055,松园是一个很高大的植物园林结构，这里的自然景色还是蛮不错的，大量的松树围绕着内部的空间，喝茶和遛弯的场所很多。,4.0,情侣夫妻,,2016-05-23 发布点评,Pine Garden
23034243,Sun Moon Lake Butterfly Garden,知识科普型,动物园,158980851,相对于日月潭全部是游客，月坛蝴蝶园就显得清静很多，我反而更喜欢这个地方，因为倒不是蝴蝶，而是它的景致，一点也不输给日月潭风景区,4.0,,,2019-05-28 发布点评,Sun Moon Lake Butterfly Garden
23034243,Sun Moon Lake Butterfly Garden,知识科普型,动物园,160799864,亚热带的特色，有好多蝴蝶种类，时间富裕的话可以看看,5.0,,,2019-09-06 发布点评,Sun Moon Lake Butterfly Garden
23034243,Sun Moon Lake Butterfly Garden,知识科普型,动物园,158702715,蝴蝶园里面有很多珍贵的植物，很养眼。,4.0,,,2019-05-06 发布点评,Sun Moon Lake Butterfly Garden
58259548,YouBike 新竹动物园,知识科普型,动物园,164717209,新竹市立動物園，是目前全台灣最古老的動物園，以當時舊地重新規劃後於 2019年底重新開幕，時光回溯到 1916年的日治時期，當時的「新竹公園」裡就設有供民眾觀賞的獸籠。直到 1936年，新竹公園又另外興建了兒童樂園，動物園結合了兒童樂園，取名為「新竹市兒童遊園地」。二戰後，有位旅居日本大阪的愛國華僑何國華先生，捐贈了許多動物來台，在當時也帶動了捐贈動物、捐地、捐款的風氣，在動物園裡仍可見何國華先生的紀念碑，還有日治時期保存下來的古蹟。之後動物園經歷不斷的轉型，更請來日本名古屋動植物園規劃師來台考察，直至今日的樣貌，並於 2019年12月底重新開幕嘍！,5.0,,,2020-10-09 发布点评,YouBike 新竹动物园
58259548,YouBike 新竹动物园,知识科普型,动物园,163687771,新竹市立動物園是位於臺灣新竹市東區的一座公立動物園，於1936年創立，是目前臺灣原址現存最老的動物園，面積約2.7公頃，其舊大門、噴水池和黃魚鴞欄舍仍為最初興建時的樣貌，園內包含6個展示區。 2017年5月29日起，與新竹公園一同進行再生工程，因此進行封園，後於2019年12月28日完工重新開園，2019 年 12 月重新開園的「新竹市立動物園」，園區內的規畫完善，盡可能打造每種動物適合的環境，且有足夠的空間給動物活動，令造訪的遊客能感受到園方善待及保育動物的用心，展現了動物園的價值。,5.0,,,2020-06-20 发布点评,YouBike 新竹动物园
58259548,YouBike 新竹动物园,知识科普型,动物园,173574818,新竹动物园 还不错，里面种类很多，游玩项目多。,5.0,,,2022-11-10 发布点评,YouBike 新竹动物园
58259548,YouBike 新竹动物园,知识科普型,动物园,172791380,景色宜人 环境优美 空气质量好,5.0,,,2022-09-24 发布点评,YouBike 新竹动物园
