poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
10573898,万粹楼博物馆,知识科普型,博物馆,167065942,黄山市有座万粹楼，坐落在屯溪老街。这是一座高24米，上下共四层的楼。拔地而起，雕梁画柱，飞檐翘角。集木雕，砖雕，石雕为一体，匠心独运。一个飞檐，一副漏窗，一块砖雕，都是用从民间收集起来的明清建筑构件重新组合筑成，实为一座微妙古建筑博物馆。它留住了岁月的痕迹，重筑民族艺术的结晶，为新世纪的江南名楼。,5.0,,,2021-07-07 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,167040679,万粹楼位于黄山脚下的屯溪老街，面积2000多平方米，揉合了徽派民居，园林，府第，商铺的风格。馆内陈列着大批文物，据说是国内少有的古建筑形式的私人博物馆。,5.0,,,2021-07-05 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,161671781,万分感谢万先生对古代徽文化及中国古代文物的保护和展示，使世人得以近距离领略稀世国宝，感受中华文化博大精深，源远流长的艺术魅力。功在当代利在千秋！,5.0,,,2019-10-23 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,173482580,万萃楼博物馆，位于安徽省黄山市屯溪区老街143号 占地面积500平方米，建筑面积2100平方米。博物馆以明清徽派遗存之砖、木、石雕构件精品，辅以现代建筑技术，主体为钢筋混凝土结构，再现徽派建筑民居、豪宅、庭院、商铺之风格，为三进式古建形式，陈列面积1600平方米，分四层展厅。 万萃楼博物馆基本陈列为徽派建筑及徽州文化陈列、展示，主要是以徽州古建筑格局及陈设，再现历史场景，通过800件藏品、文献资料等的展示，直观地铨释了徽州文化博大精深。,5.0,,,2022-11-06 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,164273763,这家名为“万粹楼”的博物馆，位于黄山脚下的屯溪老街，面积2000多平方米，糅合了徽派民居、园林、府第、商铺的风格。馆内陈列着主人收藏的大批文物，以及500多件当代名人字画、900方珍贵砚台。 万粹楼据说是国内少有的古建筑形式的私人博物馆。为何要办这博物馆？主人万仁辉说，90年代初，他就对徽文化产生浓厚兴趣，见近年许多古老宅院被拆毁，深感不安，就陆续从民间购入大量由老宅拆下的石雕、木雕、门扇、漏窗等明清建筑构件。后又投资1000多万元，为 “宝物”建成这个家。,5.0,,,2020-08-28 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,157859514,与德阳楼相望，门票50元。 走进万粹楼，飞梁红柱，宽大轩敞，一池清水，石雕小桥，古董家俱摆设堂前；堂侧塔形天井，仿佛置身於明清时代；二楼展厅，陈列历代文物，名家瓷板艺术；三楼前厅後巷，弄外回廊，古色大画，一派徽式居民宅厅四楼屋顶花园，青瓦白墙，花坛盆景，徽式园林风格尽显其中，凭栏远望，钱安江水，古街风光，尽收眼底。,5.0,,,2019-02-11 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,165126390,万粹楼博物馆景色不错，感受感受徽州博物馆，长知识了，趣味性强，不错的选择，令人耳目一新的感觉，性价比超高的，值得推荐给大家。,5.0,,,2020-11-22 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,163395007,在屯溪老街内，夜景不错，主要是以徽州古建筑格局及陈设，再现历史的场景，通过藏品、文献资料等的展示，直观的诠释了徽州文化博大精深，使参观者犹如置身历史的长河中。,4.0,,,2020-05-07 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,166756902,万粹楼博物馆徽派博物馆，需要戴口罩、扫描入内，管理规范，不错的选择，长知识了，趣味性强，逛逛博物馆，挺好的，性价比超高的。,5.0,,,2021-06-06 发布点评,万粹楼博物馆
10573898,万粹楼博物馆,知识科普型,博物馆,157965489,万粹楼博物馆又叫珍宝馆 位于屯溪老街的中部 位置是非常的好找的 但是找到之后就有些失落了 作为一个叫博物馆的地方 竟然收费 50元真心不便宜 可能是私人的博物馆吧 如果不是特别发烧友的话 还是慎重,4.0,,,2019-02-20 发布点评,万粹楼博物馆
