poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
20905955,「留声岁月」音响博物馆,知识科普型,博物馆,171761186,探店之后赶紧来评论，服务员反应很及时，环境颜值在线，整个过程都很愉快,5.0,,,2022-07-26 发布点评,「留声岁月」音响博物馆
20905955,「留声岁月」音响博物馆,知识科普型,博物馆,173645256,确实不错👍👍👍👍👍。我是十分喜欢,5.0,,,2022-11-15 发布点评,「留声岁月」音响博物馆
20905955,「留声岁月」音响博物馆,知识科普型,博物馆,173963544,确实不错👍👍👍👍👍我是十分喜爱,5.0,,,2022-12-04 发布点评,「留声岁月」音响博物馆
20905955,「留声岁月」音响博物馆,知识科普型,博物馆,171825797,第一次来，带着探店的想法来，点了特色饮料，蛮惊喜的，值得好评,4.0,,,2022-07-30 发布点评,「留声岁月」音响博物馆
20905955,「留声岁月」音响博物馆,知识科普型,博物馆,119930637,这是一座充满着岁月的流传博物馆，里面的音响设备保存得十分完好,5.0,,,2017-08-29 发布点评,「留声岁月」音响博物馆
149282161,保利美高梅博物馆,知识科普型,博物馆,208358207,保利博物馆位于澳门半岛的美高梅酒店二楼，值得花时间一游，我们去的时候正赶上圆明园四首齐聚，观赏性非常高，玻璃没有反光，给赞，体验非常好，逛下来起码一个小时，推荐,5.0,家庭亲子,1小时,2025-04-09 发布点评,保利美高梅博物馆
149282161,保利美高梅博物馆,知识科普型,博物馆,206003792,进里面混了杯奶茶，珍珠是红糖自制那种，不错，博物馆是免费进的，会说明不能带饮品，大家去的时候可以先看再喝东西，有保险柜放东西，挺方便,5.0,朋友出游,1小时内,2025-03-13 发布点评,保利美高梅博物馆
149282161,保利美高梅博物馆,知识科普型,博物馆,222474204,看展可快可慢，扫码可以听藏品简介。 为看兽首而来。喜欢康雍时期的五彩瓷器,5.0,单独旅行,1小时,2025-08-31 发布点评,保利美高梅博物馆
39227053,同善堂历史档案陈列馆,知识科普型,历史文化遗产,181968759,澳门同善堂历史档案陈列馆游记：穿越时间的慈善之旅 在澳门这座历史与现代交织的城市中，同善堂历史档案陈列馔以其独特的中西结合建筑风格和丰富的慈善历史文献而著称。访问这座陈列馆，是我对澳门深层文化与历史的一次深刻探索。  历史的门户 同善堂自1892年成立以来，已经有超过130年的历史，是澳门最悠久的慈善机构之一。它不仅见证了澳门社会的各种变迁，也积累了大量的历史文献和物品，这些都在同善堂历史档案陈列馆中得以展示。  建筑与设计 陈列馆的建筑本身就是一处值得欣赏的艺术品。它巧妙地融合了中西建筑元素，外观中的中国传统设计与西方建筑风格的结合，让人在参观的同时，能感受到东西文化的交汇与融合。 馆内珍藏 进入陈列馆内部，首先映入眼帘的是一系列珍贵的历史文献和物品。这些展品不仅包括同善堂的会议记录、慈善活动的文献，还有许多与澳门社会历史密切相关的文物。 其中，一些早期的慈善捐赠记录和照片尤为引人注目，它们讲述了一个个关于慈善和互助的动人故事。通过这些展品，参观者可以清晰地看到同善堂如何在不同历史时期发挥其影响力，帮助社会弱势群体，促进社区的和谐发展。 慈善的力量 展览中还特别介绍了同善堂在重大社会事件中的角色，如如何在战争和疫情中提供援助，这些都生动地展示了慈善组织在社会危机中的重要作用。通过这些展示，我深刻感受到慈善精神跨越时间和空间的影响力。  ### 结语  同善堂历史档案陈列馆不仅是了解澳门历史的窗口，也是感受中华慈善精神的重要场所。在这里，历史与现代、东方与西方、慈善与社会变迁交织在一起，构成了一幅丰富多彩的历史画卷。每一件展品都像是一扇窗，让人窥见那些年代久远的故事，体会到慈善的力量如何塑造社会。对于喜爱历史与文化的旅行者而言，这是一次不可多得的旅行经历。,3.0,,,2024-05-25 发布点评,同善堂历史档案陈列馆
39227053,同善堂历史档案陈列馆,知识科普型,历史文化遗产,158343238,在澳门闲逛时路过这个建筑物感觉有点像北京的同仁堂，于是进去看看... 原来同善堂是属于慈善机构，“据史料记载，清末年间澳门天灾人祸不断，而当时的澳葡政府赈济不足，尤其对华人的救助极为有限，于是一群热心公益的港澳绅商发起成立以“同心济世，善气迎人”为宗旨的同善堂”，这就是同善堂的由来... 里面附带医馆，据说澳门本地人可以不花一分钱，免费获得一次性中医、跌打、针灸、理疗、西医、牙科等服务，非常贴心...,4.0,,,2019-04-09 发布点评,同善堂历史档案陈列馆
