大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,88312,海南省博物馆,4.8,968,省政府/市中心/日月广场免税店,海口,海口 · 省政府/市中心/日月广场免税店,海南亲子景点榜 No.12,4A,全面了解海南历史文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101d12000h15tmx10A81.jpg,https://you.ctrip.com/sight/haikou37/66489.html?scene=onlinesearch,20.021504,110.385535
知识科普型,博物馆,56093155,中国（海南）南海博物馆,4.8,61,,琼海,琼海,琼海亲子景点榜 No.3,4A,南海人文历史陈列,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100e1f000001gt08kCAC8.jpg,https://you.ctrip.com/sight/qionghai843/4941343.html?scene=onlinesearch,19.234528,110.61368
知识科普型,博物馆,30072150,泰迪熊博物馆,4.1,329,美兰机场/观澜湖/江东新区,海口,海口 · 美兰机场/观澜湖/江东新区,海口观澜湖旅游度假区亲子景点榜 No.2,,泰迪熊带你游'一带一路',"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0100i12000f6qd7bh5B8C.jpg,https://you.ctrip.com/sight/haikou37/1976005.html?scene=onlinesearch,19.922693,110.336498
知识科普型,博物馆,143175085,海南疍家博物馆,5.0,2,,陵水,陵水,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101v12000cjq0n38731F.jpg,https://you.ctrip.com/sight/lingshui1509/143175085.html?scene=onlinesearch,18.422922,109.985908
知识科普型,博物馆,129377879,海花岛博物馆群,4.7,296,海花岛,儋州,儋州 · 海花岛,,,被仰望和被遗忘的都在这里,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0102d120008vy8v0b755F.jpg,https://you.ctrip.com/sight/danzhou841/129377879.html?scene=onlinesearch,19.662707,109.18399
知识科普型,博物馆,82832,海口市博物馆,4.3,107,省政府/市中心/日月广场免税店,海口,海口 · 省政府/市中心/日月广场免税店,,,了解海南历代名人生平,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105e12000if6r7qwEAC8.jpg,https://you.ctrip.com/sight/haikou37/49170.html?scene=onlinesearch,20.013095,110.367442
知识科普型,博物馆,75977,海南省民族博物馆,4.7,45,,五指山,五指山,,,建筑古朴，参观海南民俗,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101y12000iik7ypk1AF5.jpg,https://you.ctrip.com/sight/wuzhishan982/3210.html?scene=onlinesearch,18.787239,109.529543
知识科普型,博物馆,24653300,海南铁路博物馆,2.9,33,,东方,东方,,,了解铁路的发展历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100n12000o5ciminAFF6.jpg,https://you.ctrip.com/sight/dongfang842/1834133.html?scene=onlinesearch,19.106872,108.640568
知识科普型,博物馆,145455573,三亚山海贝文化博物馆,4.8,5,大东海/鹿回头风景区/半山半岛,三亚,三亚 · 大东海/鹿回头风景区/半山半岛,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me0412000n1dapezFD8F.jpg,https://you.ctrip.com/sight/sanya61/145455573.html?scene=onlinesearch,18.263818,109.576158
知识科普型,博物馆,79437581,陵水黎族自治县博物馆,4.0,3,市区/海韵广场,陵水,陵水 · 市区/海韵广场,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105512000iuiqgi14107.jpg,https://you.ctrip.com/sight/lingshui1509/5703957.html?scene=onlinesearch,18.511875,110.048643
知识科普型,博物馆,150101866,文昌极星陨石博物馆,0.0,0,,文昌,文昌,,,,博物馆&展馆,门票,否,https://dimg04.c-ctrip.com/images/1lo6w12000jawcg4b58A5.jpg,https://you.ctrip.com/sight/wenchang1007/150101866.html?scene=onlinesearch,19.578432,110.750259
知识科普型,博物馆,69347662,三亚自然博物馆,5.0,2,南山寺/崖州湾科技城,三亚,三亚 · 南山寺/崖州湾科技城,,,,"科技馆, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0105q12000atkmu8hF6E7.jpg,https://you.ctrip.com/sight/sanya61/69347662.html?scene=onlinesearch,18.309043,109.160728
知识科普型,博物馆,85202,西沙海洋博物馆,4.5,16,,三沙,三沙,,,驻岛官兵创办，海洋标本多,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10070k000000c3umu155E.jpg,https://you.ctrip.com/sight/sansha120101/55137.html?scene=onlinesearch,16.840332,112.347233
知识科普型,博物馆,82749,京润珍珠博物馆,3.3,147,三亚湾/凤凰机场/西岛,三亚,三亚 · 三亚湾/凤凰机场/西岛,,,我国第一家大型珍珠博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100p0p000000fkyju1B82.jpg,https://you.ctrip.com/sight/sanya61/48970.html?scene=onlinesearch,18.307774,109.446574
知识科普型,博物馆,79438800,东方市博物馆,3.8,4,,东方,东方,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105012000f6ugndd6E6D.jpg,https://you.ctrip.com/sight/dongfang842/5705167.html?scene=onlinesearch,19.101086,108.658426
知识科普型,博物馆,10795392,海南天涯热带雨林博物馆,4.9,29,石梅湾/兴隆旅游度假区,万宁,万宁 · 石梅湾/兴隆旅游度假区,,,罕见的巨型根雕、根艺,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100212000daxw8az0371.jpg,https://you.ctrip.com/sight/wanning846/70445.html?scene=onlinesearch,18.735462,110.211279
知识科普型,博物馆,79438799,万宁市博物馆,3.5,12,万宁市区,万宁,万宁 · 万宁市区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100212000d9u0wlm0EE3.jpg,https://you.ctrip.com/sight/wanning846/5705182.html?scene=onlinesearch,18.805964,110.396431
知识科普型,博物馆,145634800,文昌市博物馆,0.0,0,文昌市区,文昌,文昌 · 文昌市区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1me1j12000f7aac136AAC.jpg,https://you.ctrip.com/sight/wenchang1007/145634800.html?scene=onlinesearch,19.620011,110.759817
知识科普型,博物馆,79437580,白沙黎族自治县民族博物馆,2.0,1,,白沙,白沙,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105v12000b0dlwrfD2ED.jpg,https://you.ctrip.com/sight/baisha2455/5703956.html?scene=onlinesearch,19.227796,109.463102
知识科普型,博物馆,145262290,海南海世界贝壳文化博物馆,0.0,0,美兰机场/观澜湖/江东新区,海口,海口 · 美兰机场/观澜湖/江东新区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0102d12000foul1ae1303.png,https://you.ctrip.com/sight/haikou37/145262290.html?scene=onlinesearch,19.978214,110.4148
知识科普型,博物馆,152863022,骑楼老街颠倒博物馆,0.0,0,世纪大桥/骑楼老街/解放西,海口,海口 · 世纪大桥/骑楼老街/解放西,,,,博物馆&展馆,门票,否,https://dimg04.c-ctrip.com/images/1lo5s12000n1pxcxq849B.jpg,https://you.ctrip.com/sight/haikou37/152863022.html?scene=onlinesearch,20.04924,110.351063
知识科普型,博物馆,24650312,东寨港红树林博物馆,0.0,0,美兰机场/观澜湖/江东新区,海口,海口 · 美兰机场/观澜湖/江东新区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106m12000clmyc950684.jpg,https://you.ctrip.com/sight/haikou37/1831199.html?scene=onlinesearch,19.954742,110.587299
知识科普型,博物馆,145112166,琼海市博物馆,0.0,0,,琼海,琼海,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1me1212000f633p7090D9.jpg,https://you.ctrip.com/sight/qionghai843/145112166.html?scene=onlinesearch,19.216248,110.437669
知识科普型,博物馆,79437633,昌江黎族自治县博物馆,4.7,3,,昌江,昌江,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/010121200096mi5wk6FF5.png,https://you.ctrip.com/sight/changjiang2456/5703936.html?scene=onlinesearch,19.271219,109.068182
知识科普型,博物馆,38487087,海南农垦博物馆,4.5,11,万绿园/友谊阳光城,海口,海口 · 万绿园/友谊阳光城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105512000a1lq30h8C56.jpg,https://you.ctrip.com/sight/haikou37/2676248.html?scene=onlinesearch,20.0318,110.315924
知识科普型,博物馆,145403147,三亚南山非遗博物馆,0.0,0,南山寺/崖州湾科技城,三亚,三亚 · 南山寺/崖州湾科技城,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4q12000g8b8tvn8F9A.jpg,https://you.ctrip.com/sight/sanya61/145403147.html?scene=onlinesearch,18.302369,109.212787
知识科普型,博物馆,145446528,儋州市博物馆(儋阳楼展馆),0.0,0,,儋州,儋州,,,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/1me5p12000gzf9fmyF5FA.jpg,https://you.ctrip.com/sight/danzhou841/145446528.html?scene=onlinesearch,19.510415,109.524637
知识科普型,博物馆,145278960,保亭县民族博物馆,0.0,0,保亭市区,保亭,保亭 · 保亭市区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0105f12000h3izbp7CAD6.jpg,https://you.ctrip.com/sight/baoting1009/145278960.html?scene=onlinesearch,18.640552,109.713015
知识科普型,博物馆,145360795,澄迈学宫博物馆,5.0,1,西海岸/会展中心/五源河,澄迈,澄迈 · 西海岸/会展中心/五源河,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1me0f12000fieqrfj081F.jpg,https://you.ctrip.com/sight/chengmai2457/145360795.html?scene=onlinesearch,19.968198,110.133649
知识科普型,博物馆,79438806,临高县博物馆,0.0,0,,临高,临高,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me3z12000ds53taj9DB9.jpg,https://you.ctrip.com/sight/lingao2458/5705168.html?scene=onlinesearch,19.945283,109.763608
知识科普型,博物馆,79437643,三亚永涛黄花梨博物馆(旗舰店),0.0,0,大东海/鹿回头风景区/半山半岛,三亚,三亚 · 大东海/鹿回头风景区/半山半岛,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100m1f000001g64y501AB.png,https://you.ctrip.com/sight/sanya61/5703969.html?scene=onlinesearch,18.233192,109.539167
知识科普型,博物馆,145283542,海南热带海洋学院南海文化博物馆-海洋展厅,0.0,0,市区火车站/海旅免税城/千古情景区,三亚,三亚 · 市区火车站/海旅免税城/千古情景区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ0d12000g6q9ob8C41F.jpg,https://you.ctrip.com/sight/sanya61/145283542.html?scene=onlinesearch,18.317872,109.540876
知识科普型,博物馆,145728361,中国海南海花岛博物馆4号馆,0.0,0,海花岛,儋州,儋州 · 海花岛,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4k12000g8gwgjy72BB.jpg,https://you.ctrip.com/sight/danzhou841/145728361.html?scene=onlinesearch,19.6616,109.184088
知识科普型,博物馆,38433008,屯昌县博物馆,3.0,1,,屯昌,屯昌,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0HJ4c12000g65b0121C38.jpg,https://you.ctrip.com/sight/tunchang845/2622869.html?scene=onlinesearch,19.356177,110.102705
知识科普型,博物馆,145649893,海南省海南黄花梨博物馆,0.0,0,世纪大桥/骑楼老街/解放西,海口,海口 · 世纪大桥/骑楼老街/解放西,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ3k12000g2y1kiy1193.jpg,https://you.ctrip.com/sight/haikou37/145649893.html?scene=onlinesearch,20.037085,110.347451
