大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,83957,西藏博物馆,4.5,521,罗布林卡及附近地区,拉萨,拉萨 · 罗布林卡及附近地区,西藏必打卡景点榜 No.14,4A,珍藏了珍贵的文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101n12000isaq3o78BBD.jpg,https://you.ctrip.com/sight/lhasa36/51555.html?scene=onlinesearch,29.654608,91.10531
知识科普型,博物馆,79437758,日喀则博物馆,4.3,11,,日喀则,日喀则,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me0612000fglrja7A752.jpg,https://you.ctrip.com/sight/shigatse100/5704140.html?scene=onlinesearch,29.247359,88.85731
知识科普型,博物馆,64389875,西藏非物质文化遗产博物馆,5.0,2,文成公主实景剧场及附近地区,拉萨,拉萨 · 文成公主实景剧场及附近地区,,,,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0105c12000l634qf511D7.jpg,https://you.ctrip.com/sight/lhasa36/64389875.html?scene=onlinesearch,29.630816,91.15429
知识科普型,博物馆,39821423,墨脱门珞历史文化遗产博物馆,4.6,5,,墨脱,墨脱,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105612000apub6kv2A9D.jpg,https://you.ctrip.com/sight/motuo120397/3998084.html?scene=onlinesearch,29.328301,95.330151
知识科普型,博物馆,32189802,西藏自然科学博物馆,4.6,24,万达广场及附近地区,拉萨,拉萨 · 万达广场及附近地区,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103q12000ifud94m9C00.jpg,https://you.ctrip.com/sight/lhasa36/2121742.html?scene=onlinesearch,29.653011,91.188547
知识科普型,博物馆,35822648,西藏牦牛博物馆,4.6,9,拉萨火车站/柳梧新区及附近地区,拉萨,拉萨 · 拉萨火车站/柳梧新区及附近地区,,4A,了解牦牛文化的佳地,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106512000axkep8xC77E.jpg,https://you.ctrip.com/sight/lhasa36/2499958.html?scene=onlinesearch,29.626418,91.094701
知识科普型,博物馆,79437741,山南博物馆,4.7,6,,山南,山南,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105y120009w463m28A7F.png,https://you.ctrip.com/sight/shannan339/5704118.html?scene=onlinesearch,29.195516,91.775008
知识科普型,博物馆,95524,林芝自然博物馆,4.0,37,林芝市中心及附近地区,林芝,林芝 · 林芝市中心及附近地区,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1me4o12000dok59svCAF9.jpg,https://you.ctrip.com/sight/nyingchi126/133577.html?scene=onlinesearch,29.65798,94.389058
知识科普型,博物馆,79437775,昌都博物馆,4.2,6,,昌都,昌都,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101r12000b6r6i490551.jpg,https://you.ctrip.com/sight/qamdo559/5704141.html?scene=onlinesearch,31.14462,97.184375
知识科普型,博物馆,18048958,珠峰登山博物馆,4.6,11,色拉寺及附近地区,拉萨,拉萨 · 色拉寺及附近地区,,,了解珠穆朗玛峰历史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10011f000001h39cu80B0.jpg,https://you.ctrip.com/sight/lhasa36/1487741.html?scene=onlinesearch,29.681313,91.127542
知识科普型,博物馆,145146866,西藏自治区阿里博物馆,0.0,0,,噶尔,噶尔,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103q12000ewhsiso27C3.jpg,https://you.ctrip.com/sight/garcounty120143/145146866.html?scene=onlinesearch,32.512301,80.128025
知识科普型,博物馆,79437783,藏东南文化遗产博物馆,2.0,1,林芝市中心及附近地区,林芝,林芝 · 林芝市中心及附近地区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01028120009kxgmi3EA58.jpg,https://you.ctrip.com/sight/nyingchi126/5704106.html?scene=onlinesearch,29.622909,94.390294
知识科普型,博物馆,145339055,博秀·西藏唐卡艺术博物馆,0.0,0,文成公主实景剧场及附近地区,拉萨,拉萨 · 文成公主实景剧场及附近地区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4v12000g37cf41EBC2.jpg,https://you.ctrip.com/sight/lhasa36/145339055.html?scene=onlinesearch,29.623784,91.14034
知识科普型,博物馆,143199532,昌都市革命历史博物馆,0.0,0,,昌都,昌都,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106w12000cobbz8f2A58.jpg,https://you.ctrip.com/sight/qamdo559/143199532.html?scene=onlinesearch,31.147506,97.176341
知识科普型,博物馆,145107687,西藏毛主席像章博物馆,0.0,0,拉萨火车站/柳梧新区及附近地区,拉萨,拉萨 · 拉萨火车站/柳梧新区及附近地区,,,"红色光辉, 照耀西藏",博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0103i12000gwra3hs6E4E.png,https://you.ctrip.com/sight/lhasa36/145107687.html?scene=onlinesearch,29.623089,91.088877
知识科普型,博物馆,145260042,西藏藏经博物馆,0.0,0,文成公主实景剧场及附近地区,拉萨,拉萨 · 文成公主实景剧场及附近地区,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0HJ1412000g8tvnf391E7.jpg,https://you.ctrip.com/sight/lhasa36/145260042.html?scene=onlinesearch,29.626554,91.147065
知识科普型,博物馆,151618744,日喀则石刻艺术博物馆,0.0,0,,日喀则,日喀则,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0100c12000l2wy9mx7ECA.jpg,https://you.ctrip.com/sight/shigatse100/151618744.html?scene=onlinesearch,29.27677,88.88694
知识科普型,博物馆,145298734,西藏工业博物馆,0.0,0,哲蚌寺/金珠西路及附近地区,拉萨,拉萨 · 哲蚌寺/金珠西路及附近地区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ2a12000g8a0ft37161.jpg,https://you.ctrip.com/sight/lhasa36/145298734.html?scene=onlinesearch,29.658327,91.047616
知识科普型,博物馆,145282472,青稞博物馆,0.0,0,,日喀则,日喀则,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4i12000g8bbszdBFA2.jpg,https://you.ctrip.com/sight/shigatse100/145282472.html?scene=onlinesearch,29.343424,89.284662
知识科普型,博物馆,145438330,西藏夺底钱币博物馆,0.0,0,,拉萨,拉萨,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ5812000g340c5a1089.jpg,https://you.ctrip.com/sight/lhasa36/145438330.html?scene=onlinesearch,29.734231,91.163405
知识科普型,博物馆,30416211,次仁切阿雪山博物馆,4.0,4,色拉寺及附近地区,拉萨,拉萨 · 色拉寺及附近地区,,,展示珠穆朗玛峰登山历史,"博物馆, 博物馆&展馆",门市价,否,https://dimg04.c-ctrip.com/images/01029120008jgg1rxDE1F.jpg,https://you.ctrip.com/sight/lhasa36/1984665.html?scene=onlinesearch,29.694727,91.156436
知识科普型,博物馆,145527042,西藏博物馆-讲解处,0.0,0,罗布林卡及附近地区,拉萨,拉萨 · 罗布林卡及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/145527042.html?scene=onlinesearch,29.655098,91.104599
知识科普型,博物馆,148731957,西藏藏医药博物馆,0.0,0,,拉萨,拉萨,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/148731957.html?scene=onlinesearch,29.658347,91.272141
知识科普型,博物馆,145519676,索松村洛桑文历博物馆,0.0,0,,米林,米林,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/mainling2448/145519676.html?scene=onlinesearch,29.57941,94.898809
知识科普型,博物馆,145374650,芒康县盐井马帮民俗博物馆,0.0,0,,芒康,芒康,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/markam2452/145374650.html?scene=onlinesearch,29.047442,98.597755
知识科普型,博物馆,145669268,西藏博物馆-临时展厅,0.0,0,罗布林卡及附近地区,拉萨,拉萨 · 罗布林卡及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/145669268.html?scene=onlinesearch,29.654506,91.104685
知识科普型,博物馆,79437767,群觉古代兵器博物馆,0.0,0,,墨竹工卡,墨竹工卡,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M09/FC/25/CghzflW7IAeADdclAAAt3hpaYTA318.jpg,https://you.ctrip.com/sight/maizhokunggar1446407/5704117.html?scene=onlinesearch,29.769458,91.66804
知识科普型,博物馆,144196635,林芝自然博物馆广场,0.0,0,林芝市中心及附近地区,林芝,林芝 · 林芝市中心及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/0102u1200086k28vc0A5C.jpg,https://you.ctrip.com/sight/nyingchi126/144196635.html?scene=onlinesearch,29.658465,94.388889
知识科普型,博物馆,151323576,西藏非遗博物馆附属建筑1栋,0.0,0,文成公主实景剧场及附近地区,拉萨,拉萨 · 文成公主实景剧场及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/151323576.html?scene=onlinesearch,29.630909,91.153701
知识科普型,博物馆,152911276,唐卡之都博物馆,0.0,0,八廓街/大昭寺及附近地区,拉萨,拉萨 · 八廓街/大昭寺及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/152911276.html?scene=onlinesearch,29.654102,91.140328
知识科普型,博物馆,152831615,伦敦贝果博物馆(拉萨首店),0.0,0,万达广场及附近地区,拉萨,拉萨 · 万达广场及附近地区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/152831615.html?scene=onlinesearch,29.658398,91.172472
知识科普型,博物馆,153135486,西藏非遗博物馆附属建筑2栋,0.0,0,文成公主实景剧场及附近地区,拉萨,拉萨 · 文成公主实景剧场及附近地区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/lhasa36/153135486.html?scene=onlinesearch,29.630639,91.153665
