大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,78639,木府,4.7,10734,丽江古城,丽江,丽江 · 丽江古城,2025中国100夜游景点,,《木府风云》等热剧取景地,"遛娃宝藏地, 历史建筑",门票,否,https://dimg04.c-ctrip.com/images/0100g120008c4m8hw1A0C.jpg,https://you.ctrip.com/sight/lijiang32/12325.html?scene=onlinesearch,26.875365,100.24005
知识科普型,博物馆,79970,云南省博物馆,4.6,1107,官渡古镇,昆明,昆明 · 官渡古镇,2025中国100亲子景点,,了解云南历史文化好去处,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102212000hyk3kgv943F.jpg,https://you.ctrip.com/sight/kunming29/17866.html?scene=onlinesearch,24.955518,102.760174
知识科普型,博物馆,75926,丽江市博物院,4.4,76,黑龙潭地区,丽江,丽江 · 黑龙潭地区,,,了解纳西族的传统文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100v1f000001h1dai1A34.jpg,https://you.ctrip.com/sight/lijiang32/3058.html?scene=onlinesearch,26.893446,100.239345
知识科普型,博物馆,93609,严家大院博物馆,4.6,695,喜洲古镇,大理市,大理市 · 喜洲古镇,,,参观古老的白族民居,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/8B/10/CghzgVWw4gKAJzuCACunDqDOUTM591.jpg,https://you.ctrip.com/sight/dali1445616/128317.html?scene=onlinesearch,25.857926,100.138669
知识科普型,博物馆,58278477,昆明动物博物馆,4.8,77,莲花池/昆明理工大学片区,昆明,昆明 · 莲花池/昆明理工大学片区,昆明亲子景点榜 No.15,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/01074120008qj64w5BCB7.jpg,https://you.ctrip.com/sight/kunming29/5140630.html?scene=onlinesearch,25.073369,102.711398
知识科普型,博物馆,79437690,普洱市博物馆,5.0,38,,普洱,普洱,普洱必打卡景点榜 No.8,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105k12000b4dpu2y84D1.jpg,https://you.ctrip.com/sight/puer928/5704096.html?scene=onlinesearch,22.81607,100.967347
知识科普型,博物馆,24649648,翡翠博物馆,4.5,60,腾冲主城区,腾冲,腾冲 · 腾冲主城区,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/10020h00000095vey74D9.jpg,https://you.ctrip.com/sight/tengchong696/1830414.html?scene=onlinesearch,25.038474,98.525328
知识科普型,博物馆,130369372,澄江化石地自然博物馆,4.1,22,,澄江,澄江,抚仙湖亲子景点榜 No.4,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106q1200099mbr4pEA34.jpg,https://you.ctrip.com/sight/chengjiang2171/130369372.html?scene=onlinesearch,24.636525,102.976755
知识科普型,博物馆,18039485,西双版纳民族博物馆,4.1,51,勐泐大佛寺/曼弄枫度假区,景洪,景洪 · 勐泐大佛寺/曼弄枫度假区,西双版纳亲子景点榜 No.17,,宏伟的建筑群面朝景洪城,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100r12000ipuqterEF89.jpg,https://you.ctrip.com/sight/jinghong2154/1487082.html?scene=onlinesearch,21.970241,100.822878
知识科普型,博物馆,80011,大理白族自治州博物馆,4.4,86,大理市主城区,大理市,大理市 · 大理市主城区,,4A,了解白族民族民俗,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105r12000ijz3kgk7713.jpg,https://you.ctrip.com/sight/dali1445616/17913.html?scene=onlinesearch,25.603429,100.238161
知识科普型,博物馆,10520776,昆明市博物馆,4.6,143,昆明万象城,昆明,昆明 · 昆明万象城,昆明亲子景点榜 No.18,,欣赏地藏寺经幢展,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105412000ig2mtv6E0A9.jpg,https://you.ctrip.com/sight/kunming29/144845.html?scene=onlinesearch,25.038674,102.734843
知识科普型,博物馆,48143165,红河州博物馆,4.6,43,红河州政府,蒙自,蒙自 · 红河州政府,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105412000o0xy4x682DF.jpg,https://you.ctrip.com/sight/mengzi1201/4337368.html?scene=onlinesearch,23.372624,103.38153
知识科普型,博物馆,144303300,云南师范大学(一二一西南联大校区)-西南联大博物馆,5.0,4,莲花池/昆明理工大学片区,昆明,昆明 · 莲花池/昆明理工大学片区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104h12000ie9tm8r805E.jpg,https://you.ctrip.com/sight/kunming29/144303300.html?scene=onlinesearch,25.062121,102.703398
知识科普型,博物馆,105418437,德宏州博物馆,5.0,10,,芒市,芒市,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104s12000f1t6jwu7A0A.jpg,https://you.ctrip.com/sight/mangshi2199/105418437.html?scene=onlinesearch,24.451495,98.575747
知识科普型,博物馆,13656730,大理市博物馆,4.6,116,大理古城,大理市,大理市 · 大理古城,,,了解大理历史文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A04120008od35ls8DD1.jpg,https://you.ctrip.com/sight/dali1445616/1416652.html?scene=onlinesearch,25.695269,100.168798
知识科普型,博物馆,24654368,元谋人博物馆,4.1,40,,元谋,元谋,,,历史类博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101b12000avbykxoF599.jpg,https://you.ctrip.com/sight/yuanmou2197/1835168.html?scene=onlinesearch,25.716615,101.865539
知识科普型,博物馆,13659530,保山博物馆,4.5,27,,保山,保山,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106j12000b1fcjlm22B3.jpg,https://you.ctrip.com/sight/baoshan420/1416742.html?scene=onlinesearch,25.105248,99.16972
知识科普型,博物馆,39848236,云南省茶文化博物馆,4.9,77,南屏步行街/金马碧鸡坊,昆明,昆明 · 南屏步行街/金马碧鸡坊,,,茶文化的对外宣传窗口,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100m190000016faj1AAB0.jpg,https://you.ctrip.com/sight/kunming29/4024697.html?scene=onlinesearch,25.046872,102.715562
知识科普型,博物馆,89897,云南民族博物馆,4.6,117,滇池风景区/融创滇池后海,昆明,昆明 · 滇池风景区/融创滇池后海,,,众多少数民族风情展品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101a12000b8ll72rD4AD.jpg,https://you.ctrip.com/sight/kunming29/77444.html?scene=onlinesearch,24.970827,102.675693
知识科普型,博物馆,39188526,璞真扎染博物馆,4.6,17,洱海S湾生态廊道上段,大理市,大理市 · 洱海S湾生态廊道上段,,,了解白族扎染艺术,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100f12000f6r07jf8FD5.jpg,https://you.ctrip.com/sight/dali1445616/3370987.html?scene=onlinesearch,25.900975,100.115201
知识科普型,博物馆,13659543,腾冲博物馆,4.5,65,腾冲主城区,腾冲,腾冲 · 腾冲主城区,,,了解腾冲碗窑的制陶技术,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101v12000o6cl7rgBBBA.jpg,https://you.ctrip.com/sight/tengchong696/1416811.html?scene=onlinesearch,25.037434,98.497352
知识科普型,博物馆,24654341,玉溪博物馆,4.7,60,,玉溪,玉溪,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103v12000o69jg3hD597.jpg,https://you.ctrip.com/sight/yuxi477/1835143.html?scene=onlinesearch,24.352289,102.542655
知识科普型,博物馆,24649122,楚雄彝族自治州博物馆,4.6,24,,楚雄市,楚雄市,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104612000b0v990y6555.jpg,https://you.ctrip.com/sight/chuxiong1446264/1829993.html?scene=onlinesearch,25.029897,101.554143
知识科普型,博物馆,109734529,腾冲火山地质博物馆,4.8,4,,腾冲,腾冲,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104412000az6ganf4900.jpg,https://you.ctrip.com/sight/tengchong696/109734529.html?scene=onlinesearch,25.217835,98.498865
知识科普型,博物馆,79437732,南诏博物馆,3.6,5,巍山古城,巍山,巍山 · 巍山古城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106p1200092m8uyl43AF.jpg,https://you.ctrip.com/sight/weishan2211/5704105.html?scene=onlinesearch,25.236174,100.316868
知识科普型,博物馆,10522914,摩梭人博物馆,4.7,99,大洛水码头商圈,宁蒗,宁蒗 · 大洛水码头商圈,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104b12000f6re1lk3F79.jpg,https://you.ctrip.com/sight/ninglang2169/146973.html?scene=onlinesearch,27.686007,100.774578
知识科普型,博物馆,56807180,石屏县博物馆,5.0,4,,石屏,石屏,,,,历史建筑,,否,https://dimg04.c-ctrip.com/images/0102c120008ibq6snF490.jpg,https://you.ctrip.com/sight/shiping2191/5068502.html?scene=onlinesearch,23.720348,102.499591
知识科普型,博物馆,79438920,个旧市博物馆,4.5,10,,个旧,个旧,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104912000dckdnsp9AEC.jpg,https://you.ctrip.com/sight/gejiu925/5705310.html?scene=onlinesearch,23.373011,103.169369
