大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,78644,新疆维吾尔自治区博物馆,4.8,2116,新疆博物馆/友好路商业街,乌鲁木齐,乌鲁木齐 · 新疆博物馆/友好路商业街,新疆亲子景点榜 No.2,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/010011200095zco2o35D3.jpg,https://you.ctrip.com/sight/urumqi117/12428.html?scene=onlinesearch,43.825581,87.590126
知识科普型,博物馆,38435148,中国民族博物馆察布查尔锡伯自治县分馆,0.0,0,,察布查尔,察布查尔,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103c120009782bgd1BA9.png,https://you.ctrip.com/sight/qapqal1445195/2625009.html?scene=onlinesearch,43.843277,81.079155
知识科普型,博物馆,148495188,龟兹魏晋古墓遗址博物馆,4.2,38,,库车,库车,阿克苏地区必打卡景点榜 No.8,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105r12000mpxnfkkF329.jpg,https://you.ctrip.com/sight/kuqa1345/148495188.html?scene=onlinesearch,41.719708,82.966548
知识科普型,博物馆,136461797,乌鲁木齐市博物馆(新馆),4.9,7,新疆国际会展中心/红光山旅游区,乌鲁木齐,乌鲁木齐 · 新疆国际会展中心/红光山旅游区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106e12000f2a04ok0859.jpg,https://you.ctrip.com/sight/urumqi117/136461797.html?scene=onlinesearch,43.877418,87.625332
知识科普型,博物馆,93900,喀什博物馆,4.6,207,,喀什市,喀什市,喀什市必打卡景点榜 No.4,,新疆丝路历史文物陈列,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102v12000kfr2n4kC505.jpg,https://you.ctrip.com/sight/kashgar2507/129686.html?scene=onlinesearch,39.50134,76.002801
知识科普型,博物馆,38992677,楼兰博物馆,4.8,31,,若羌,若羌,若羌必打卡景点榜 No.1,,以楼兰文化为主题的博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100z12000ilod7xyBE0A.jpg,https://you.ctrip.com/sight/ruoqiang120547/3177038.html?scene=onlinesearch,39.021736,88.173427
知识科普型,博物馆,86572,塔城红楼博物馆,4.6,58,,塔城市,塔城市,,,近百年历史的俄式建筑,"历史建筑, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0103112000ifv8tuq9AA9.jpg,https://you.ctrip.com/sight/tachengcity2510/61060.html?scene=onlinesearch,46.756345,82.985982
知识科普型,博物馆,24650189,和田博物馆,4.3,34,,和田市,和田市,和田市必打卡景点榜 No.2,4A,和田文物陈列室，展示丰富的文物珍品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102712000if2bckj3C68.jpg,https://you.ctrip.com/sight/hotan2487/1831059.html?scene=onlinesearch,37.098111,79.933584
知识科普型,博物馆,82611,新疆兵团军垦博物馆,0.0,285,,石河子,石河子,,,了解生产建设兵团历史沿革,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0101t12000kltzbsg8DE4.jpg,https://you.ctrip.com/sight/shihezi1168/48365.html?scene=onlinesearch,44.308427,86.046706
知识科普型,博物馆,96691,库车市龟兹博物馆,4.5,29,,库车,库车,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105q12000o196ulj5A9D.jpg,https://you.ctrip.com/sight/kuqa1345/134862.html?scene=onlinesearch,41.719542,82.965773
