大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,38381108,成都自然博物馆,4.9,5590,建设路/东郊记忆公园,成都,成都 · 建设路/东郊记忆公园,2025亚洲100亲子景点,,观赏有名的合川马门溪龙,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0101v12000f6u1hlu172B.png,https://you.ctrip.com/sight/chengdu104/2571169.html?scene=onlinesearch,30.684371,104.150663
知识科普型,博物馆,24649061,成都蜀锦织绣博物馆,4.5,240,杜甫草堂/省人民医院,成都,成都 · 杜甫草堂/省人民医院,,,保存完整的蜀锦制作工艺,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/1lo2i12000lkp6e5pBCF1.jpg,https://you.ctrip.com/sight/chengdu104/1829928.html?scene=onlinesearch,30.663465,104.043402
知识科普型,博物馆,82720,三星堆博物馆,4.5,15036,,广汉,广汉,2025亚洲100必打卡景点,4A,古蜀文化遗址,"展馆展览, 遛娃宝藏地",门市价,否,https://dimg04.c-ctrip.com/images/0104o12000h0jx9pr937E.jpg,https://you.ctrip.com/sight/guanghan1349/48854.html?scene=onlinesearch,31.007141,104.225247
知识科普型,博物馆,82793,眉山三苏祠博物馆,4.7,1906,眉山市中心,眉山,眉山 · 眉山市中心,眉山亲子景点榜 No.1,4A,瞻仰文豪家族遗物,"博物馆, 赏秋叶",门票,否,https://dimg04.c-ctrip.com/images/0104c12000aa4vvhvA314.jpg,https://you.ctrip.com/sight/meishan914/49071.html?scene=onlinesearch,30.046484,103.838145
知识科普型,博物馆,90391,四川博物院,4.7,1336,杜甫草堂/省人民医院,成都,成都 · 杜甫草堂/省人民医院,四川亲子景点榜 No.14,,收藏张大千丰富的作品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101s1200093pxu5nE11C.jpg,https://you.ctrip.com/sight/chengdu104/85913.html?scene=onlinesearch,30.667087,104.040528
知识科普型,博物馆,87558,盐业历史博物馆,4.5,2591,自贡市第一人民医院/彩灯公园,自贡,自贡 · 自贡市第一人民医院/彩灯公园,四川夜游必打卡景点榜 No.18,,,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0106712000iiterec41E0.jpg,https://you.ctrip.com/sight/zigong575/63818.html?scene=onlinesearch,29.355016,104.777752
知识科普型,博物馆,82723,金沙遗址博物馆,4.8,17784,金沙遗址/一品天下,成都,成都 · 金沙遗址/一品天下,四川亲子景点榜 No.4,4A,欣赏神秘的太阳神鸟,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0103l12000hxop2usDC88.jpg,https://you.ctrip.com/sight/chengdu104/48863.html?scene=onlinesearch,30.687743,104.019116
知识科普型,博物馆,145720750,凉山彝族自治州博物院,0.0,0,西昌市中心,西昌,西昌 · 西昌市中心,,,,,,否,https://dimg04.c-ctrip.com/images/0102q12000in0eg8vC834.jpg,https://you.ctrip.com/sight/xichang592/145720750.html?scene=onlinesearch,27.875034,102.258334
知识科普型,博物馆,82719,刘氏庄园博物馆,4.6,2778,安仁古镇,大邑,大邑 · 安仁古镇,大邑亲子景点榜 No.1,4A,知名地主刘文彩的旧居,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/10040z000000nkfhvD07B.jpg,https://you.ctrip.com/sight/dayi3130/48849.html?scene=onlinesearch,30.513357,103.633434
知识科普型,博物馆,30752363,成都博物馆,4.8,5167,天府广场/成都博物馆,成都,成都 · 天府广场/成都博物馆,四川亲子景点榜 No.6,,馆藏20余万件展品,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/350j1c000001cpign4A54.jpg,https://you.ctrip.com/sight/chengdu104/2006697.html?scene=onlinesearch,30.663395,104.070117
