大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,78221,伪满皇宫博物院,0.0,5538,伪满皇宫/新天地商圈,长春,长春 · 伪满皇宫/新天地商圈,吉林必打卡景点榜 No.4,5A,溥仪的帝宫,"展馆展览, 遛娃宝藏地",门市价,否,https://dimg04.c-ctrip.com/images/0102p12000hymtm0b0D06.jpg,https://you.ctrip.com/sight/changchun216/10531.html?scene=onlinesearch,43.91129,125.355392
知识科普型,博物馆,24650593,吉林省博物院,4.4,212,净月大学城/净月潭,长春,长春 · 净月大学城/净月潭,吉林亲子景点榜 No.16,,展示辽金时期的历史文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104512000ibqgycxC5AC.jpg,https://you.ctrip.com/sight/changchun216/1831405.html?scene=onlinesearch,43.774471,125.438976
知识科普型,博物馆,52030991,伪满皇宫博物院-满族风情展,5.0,2,伪满皇宫/新天地商圈,长春,长春 · 伪满皇宫/新天地商圈,,,,历史建筑,,否,https://dimg04.c-ctrip.com/images/01041120008ic4ypd432B.jpg,https://you.ctrip.com/sight/changchun216/4645236.html?scene=onlinesearch,43.91141,125.352165
知识科普型,博物馆,152849774,《向大师致敬：北京鲁迅》吉林省博物院特展,0.0,0,净月大学城/净月潭,长春,长春 · 净月大学城/净月潭,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0101c12000mtenate13D8.png,https://you.ctrip.com/sight/changchun216/152849774.html?scene=onlinesearch,43.77447,125.438976
知识科普型,博物馆,18022433,长影旧址博物馆,0.0,2295,红旗街/万达广场,长春,长春 · 红旗街/万达广场,,4A,新中国电影艺术圣地,"博物馆&展馆, 美术馆&艺术馆",门票,否,https://dimg04.c-ctrip.com/images/0101u12000iipysalB3A7.jpg,https://you.ctrip.com/sight/changchun216/1486265.html?scene=onlinesearch,43.869921,125.298778
知识科普型,博物馆,131905587,延吉恐龙博物馆,4.5,29,朝鲜民俗园/恐龙王国,延吉,延吉 · 朝鲜民俗园/恐龙王国,延吉亲子景点榜 No.4,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101k12000ikz2oauC71B.jpg,https://you.ctrip.com/sight/yanji475/131905587.html?scene=onlinesearch,42.874122,129.500998
知识科普型,博物馆,142979483,延吉市历史文化博物馆,4.5,46,朝鲜民俗园/恐龙王国,延吉,延吉 · 朝鲜民俗园/恐龙王国,延吉亲子景点榜 No.3,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1lo4u12000cdsz2x9502C.jpg,https://you.ctrip.com/sight/yanji475/142979483.html?scene=onlinesearch,42.871898,129.500253
知识科普型,博物馆,101999,长白山自然博物馆,4.4,139,长白山北坡集散中心/池北区,安图,安图 · 长白山北坡集散中心/池北区,长白山北坡景区亲子景点榜 No.9,,"可见到各种动植物标本, 了解长白山的前世今生","科技馆, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0104j12000iptho3oF867.jpg,https://you.ctrip.com/sight/antu643/141457.html?scene=onlinesearch,42.410477,128.120347
知识科普型,博物馆,22641233,延边博物馆,4.3,116,,延吉,延吉,延吉亲子景点榜 No.5,4A,了解朝鲜民族特色,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106612000ie4ob7e1E55.jpg,https://you.ctrip.com/sight/yanji475/1707911.html?scene=onlinesearch,42.895976,129.430264
知识科普型,博物馆,24650594,吉林市博物馆,4.6,78,北华大学/医药学院,吉林市,吉林市 · 北华大学/医药学院,,4A,文化艺术气息浓厚,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106f12000iv4ldff70EE.jpg,https://you.ctrip.com/sight/jilin267/1831419.html?scene=onlinesearch,43.834398,126.568044
知识科普型,博物馆,79438121,长春博物馆,4.2,9,卫星广场/高速客运站,长春,长春 · 卫星广场/高速客运站,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102j12000ifmst9q4F23.jpg,https://you.ctrip.com/sight/changchun216/5704531.html?scene=onlinesearch,43.817241,125.325867
知识科普型,博物馆,18832250,集安博物馆,4.4,30,,集安,集安,,,建筑外观呈八瓣莲花状,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100z12000f6twxv62F57.jpg,https://you.ctrip.com/sight/jian2467/1695688.html?scene=onlinesearch,41.129264,126.20147
知识科普型,博物馆,10522986,吉林省自然博物馆,4.2,111,净月大学城/净月潭,长春,长春 · 净月大学城/净月潭,,,身临其境体验吉林自然环境,"展馆展览, 科技馆",免费,是,https://dimg04.c-ctrip.com/images/0100912000f6tv6l41EB8.jpg,https://you.ctrip.com/sight/changchun216/147045.html?scene=onlinesearch,43.835539,125.43943
