大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,97799,青海藏文化博物院,4.8,7362,生物园区,西宁,西宁 · 生物园区,青海必打卡景点榜 No.2,4A,全面了解藏文化的好地方,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0105w120008vuputr4964.jpg,https://you.ctrip.com/sight/xining237/136209.html?scene=onlinesearch,36.694414,101.754239
知识科普型,博物馆,145635209,青海藏文化博物院-南馆,5.0,3,生物园区,西宁,西宁 · 生物园区,,,,,,否,https://dimg04.c-ctrip.com/images/0103n12000farobbt0EDF.jpg,https://you.ctrip.com/sight/xining237/145635209.html?scene=onlinesearch,36.693966,101.754269
知识科普型,博物馆,97808,青藏高原自然博物馆,4.2,544,生物园区,西宁,西宁 · 生物园区,青海亲子景点榜 No.4,4A,了解青藏高原的生态知识,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0102y12000iiveb3r791F.jpg,https://you.ctrip.com/sight/xining237/136219.html?scene=onlinesearch,36.693755,101.756714
知识科普型,博物馆,97810,青海省博物馆,4.4,507,力盟步行街,西宁,西宁 · 力盟步行街,青海必打卡景点榜 No.18,4A,了解青海历史与文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102z12000id9z6y8B857.jpg,https://you.ctrip.com/sight/xining237/136221.html?scene=onlinesearch,36.636538,101.762535
知识科普型,博物馆,56808005,西宁市博物馆,4.1,8,小桥大街,西宁,西宁 · 小桥大街,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101m12000av5er9l463B.jpg,https://you.ctrip.com/sight/xining237/5069327.html?scene=onlinesearch,36.657218,101.762317
知识科普型,博物馆,51603078,昆仑山地质公园博物馆,3.8,8,,格尔木,格尔木,,,藏有丰富的地质和生物标本,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me1212000lmbtom1B149.jpg,https://you.ctrip.com/sight/golmud332/4582073.html?scene=onlinesearch,36.407619,94.926587
知识科普型,博物馆,51722007,青海省自然资源博物馆,5.0,1,海湖新区万达广场,西宁,西宁 · 海湖新区万达广场,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103r120009shk11lA222.png,https://you.ctrip.com/sight/xining237/4598315.html?scene=onlinesearch,36.65403,101.732032
知识科普型,博物馆,149274108,海西州博物馆,5.0,1,,德令哈,德令哈,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1me7112000ltgg3pg947D.jpg,https://you.ctrip.com/sight/delingha891/149274108.html?scene=onlinesearch,37.352394,97.334253
知识科普型,博物馆,105418326,玉树州博物馆,4.5,2,,玉树市,玉树市,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103m12000b7x2gifDC0F.jpg,https://you.ctrip.com/sight/yushu1446308/105418326.html?scene=onlinesearch,33.009648,97.017521
知识科普型,博物馆,97805,民和县喇家遗址博物馆,4.0,10,,民和,民和,,4A,新石器时代的大型聚落遗址,"历史建筑, 博物馆&展馆",门市价,否,https://dimg04.c-ctrip.com/images/0100h12000ax9vzmxD468.jpg,https://you.ctrip.com/sight/minhe1446305/136215.html?scene=onlinesearch,35.867478,102.818457
