大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,38440859,漳州市博物馆,4.8,12,,漳州,漳州,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101p1200092m3fjkC45D.jpg,https://you.ctrip.com/sight/zhangzhou334/2630720.html?scene=onlinesearch,24.501964,117.643771
知识科普型,博物馆,82800,福建博物院,4.5,497,西湖公园附近,福州,福州 · 西湖公园附近,福州亲子景点榜 No.2,,极具福建特色的综合博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105o12000i0fyelg9DB7.jpg,https://you.ctrip.com/sight/fuzhou164/49084.html?scene=onlinesearch,26.100474,119.294198
知识科普型,博物馆,94839,天福茶博物院,4.6,136,,漳浦,漳浦,,4A,以茶文化为主题的博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/350a0w000000kg555D6FC.jpg,https://you.ctrip.com/sight/zhangpu2670/132827.html?scene=onlinesearch,24.074095,117.515215
知识科普型,博物馆,15041341,福建博物院-自然馆,4.1,35,西湖公园附近,福州,福州 · 西湖公园附近,,,带孩子了解恐龙化石,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100212000aag6op80EAC.jpg,https://you.ctrip.com/sight/fuzhou164/1480458.html?scene=onlinesearch,26.100825,119.295043
知识科普型,博物馆,77360,华侨博物院,0.0,178,厦门大学地区,厦门,厦门 · 厦门大学地区,,,系统地展示华侨华人历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104j120009cwqaxiBDEB.jpg,https://you.ctrip.com/sight/xiamen21/8635.html?scene=onlinesearch,24.448392,118.096458
知识科普型,博物馆,10559510,八卦楼风琴博物馆,4.5,682,鼓浪屿地区,厦门,厦门 · 鼓浪屿地区,,,展出世界各地有历史的风琴,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103112000ikyfrp24441.jpg,https://you.ctrip.com/sight/xiamen21/133087.html?scene=onlinesearch,24.4538,118.07465
知识科普型,博物馆,15036360,中国船政文化博物馆,4.6,119,福州南站/马尾自贸区,福州,福州 · 福州南站/马尾自贸区,福州亲子景点榜 No.6,,展示中国船政文化与成果,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100r120008s7gt443499.jpg,https://you.ctrip.com/sight/fuzhou164/1479968.html?scene=onlinesearch,25.995362,119.453085
知识科普型,博物馆,108728433,世茂海上丝绸之路博物馆,4.5,94,,石狮,石狮,泉州亲子景点榜 No.15,,,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/01041120008dw78fsB761.jpg,https://you.ctrip.com/sight/shishi245/108728433.html?scene=onlinesearch,24.722336,118.628548
知识科普型,博物馆,77527,海外交通史博物馆,4.7,271,万达广场/丰泽广场,泉州,泉州 · 万达广场/丰泽广场,福建亲子景点榜 No.17,,了解泉州的海外交通史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0105612000fujcxfb897A.jpg,https://you.ctrip.com/sight/quanzhou243/8899.html?scene=onlinesearch,24.915383,118.61791
知识科普型,博物馆,77350,厦门市博物馆,4.5,281,SM城市广场地区,厦门,厦门 · SM城市广场地区,厦门亲子景点榜 No.16,,参观郑成功纪念馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101212000iscd87l29D4.jpg,https://you.ctrip.com/sight/xiamen21/8622.html?scene=onlinesearch,24.497075,118.115823
