大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,78257,中国甲午战争博物馆,0.0,270,威海市区/刘公岛,威海,威海 · 威海市区/刘公岛,,,再现甲午战争历史面貌,"博物馆&展馆, 场馆展馆",,否,https://dimg04.c-ctrip.com/images/0105w12000ipqmix4FEBF.jpg,https://you.ctrip.com/sight/weihai169/10609.html?scene=onlinesearch,37.505408,122.193461
知识科普型,博物馆,30247150,齐文化博物馆,4.7,454,,淄博,淄博,淄博亲子景点榜 No.3,,藏有众多齐地特色文物,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0104q12000ikry07q9FA6.jpg,https://you.ctrip.com/sight/zibo536/1980115.html?scene=onlinesearch,36.819287,118.371344
知识科普型,博物馆,86564,银雀山汉墓竹简博物馆,4.7,126,泰盛广场/人民广场,临沂,临沂 · 泰盛广场/人民广场,,,研究中国考古学的重要地点,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105v12000nesrfjd0DE6.jpg,https://you.ctrip.com/sight/linyi480/61049.html?scene=onlinesearch,35.061984,118.353323
知识科普型,博物馆,10559061,青岛啤酒博物馆,4.8,38352,台东步行街/啤酒博物馆,青岛,青岛 · 台东步行街/啤酒博物馆,2025中国100必打卡景点,4A,解密青岛啤酒生产过程,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/1lo5g12000o5tsuye06BA.jpg,https://you.ctrip.com/sight/qingdao5/55144.html?scene=onlinesearch,36.085637,120.354716
知识科普型,博物馆,96907,诸城恐龙博物馆,4.0,339,,诸城,诸城,,4A,探恐龙生长史，赏恐龙化石,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106v12000iqj9n5o5FBC.jpg,https://you.ctrip.com/sight/zhucheng2077/135140.html?scene=onlinesearch,36.01658,119.402311
知识科普型,博物馆,76687,青岛德国总督楼旧址博物馆,4.8,6064,八大关/第一海水浴场,青岛,青岛 · 八大关/第一海水浴场,山东亲子景点榜 No.8,,百年历史德国古堡式建筑,"遛娃宝藏地, 历史建筑",门票,否,https://dimg04.c-ctrip.com/images/100s170000013gqy5003E.jpg,https://you.ctrip.com/sight/qingdao5/5324.html?scene=onlinesearch,36.070823,120.338926
知识科普型,博物馆,82391,青岛市博物馆,4.5,346,石老人海水浴场/国信体育中心,青岛,青岛 · 石老人海水浴场/国信体育中心,青岛亲子景点榜 No.18,,参观古代工艺品与书画,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104u120008c4bp316A41.jpg,https://you.ctrip.com/sight/qingdao5/46259.html?scene=onlinesearch,36.107914,120.479533
知识科普型,博物馆,78873,海军博物馆,0.0,6844,八大关/第一海水浴场,青岛,青岛 · 八大关/第一海水浴场,青岛必打卡景点榜 No.9,,了解中国海军历史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102h12000h178a2r26E5.jpg,https://you.ctrip.com/sight/qingdao5/13208.html?scene=onlinesearch,36.061123,120.335386
知识科普型,博物馆,18163709,青岛贝壳博物馆,4.3,755,黄岛金沙滩度假区,青岛,青岛 · 黄岛金沙滩度假区,青岛亲子景点榜 No.16,,以贝壳为主题的趣味博物馆,"遛娃宝藏地, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0105q12000ie7mp4b6054.jpg,https://you.ctrip.com/sight/qingdao5/1510546.html?scene=onlinesearch,35.953607,120.207864
知识科普型,博物馆,76735,山东博物馆,4.9,2632,奥体中心/万象城,济南,济南 · 奥体中心/万象城,山东必打卡景点榜 No.16,,馆藏大量古代文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0106w12000fe23h358DCB.jpg,https://you.ctrip.com/sight/jinan128/5412.html?scene=onlinesearch,36.664318,117.10221
知识科普型,博物馆,18100829,青州博物馆,4.6,1058,青州古城/云门山,青州,青州 · 青州古城/云门山,潍坊亲子景点榜 No.2,5A,珍奇藏品众多的县级博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103p12000f6tw5091A0C.jpg,https://you.ctrip.com/sight/qingzhou898/1494046.html?scene=onlinesearch,36.684069,118.458045
知识科普型,博物馆,70308244,孔子博物馆,4.9,569,,曲阜,曲阜,曲阜必打卡景点榜 No.3,,,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101n12000i0zv318CD46.jpg,https://you.ctrip.com/sight/qufu129/5613351.html?scene=onlinesearch,35.561524,116.990472
知识科普型,博物馆,145103322,ChocChoco巧克巧蔻巧克力博物馆,3.9,301,栈桥/中山路步行街,青岛,青岛 · 栈桥/中山路步行街,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1lo5m12000etk6x0c4A53.jpg,https://you.ctrip.com/sight/qingdao5/145103322.html?scene=onlinesearch,36.076745,120.325402
知识科普型,博物馆,86413,潍坊风筝博物馆,4.7,1406,泰华城/风筝博物馆,潍坊,潍坊 · 泰华城/风筝博物馆,潍坊亲子景点榜 No.3,,藏有古今中外众多风筝珍品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106f12000i0iqlfe2757.jpg,https://you.ctrip.com/sight/weifang226/60804.html?scene=onlinesearch,36.71002,119.121347
知识科普型,博物馆,50961512,青岛电影博物馆,4.5,208,城市阳台景区/西海岸,青岛,青岛 · 城市阳台景区/西海岸,,,,"展馆展览, 遛娃宝藏地",门市价,否,https://dimg04.c-ctrip.com/images/100v1f000001h1b56217F.jpg,https://you.ctrip.com/sight/qingdao5/4384379.html?scene=onlinesearch,35.912061,120.101776
知识科普型,博物馆,91572,德国监狱旧址博物馆,4.2,1421,栈桥/中山路步行街,青岛,青岛 · 栈桥/中山路步行街,,,经典德国古堡式建筑,"博物馆&展馆, 场馆展馆",门票,否,https://dimg04.c-ctrip.com/images/10051f000001gssyb8042.jpg,https://you.ctrip.com/sight/qingdao5/110043.html?scene=onlinesearch,36.067475,120.335213
知识科普型,博物馆,109734528,淄博陶瓷琉璃博物馆,4.6,48,陶瓷琉璃馆/山东理工,淄博,淄博 · 陶瓷琉璃馆/山东理工,淄博亲子景点榜 No.5,,陶瓷琉璃的发展历程一览无余,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101x12000islvcy00D22.jpg,https://you.ctrip.com/sight/zibo536/109734528.html?scene=onlinesearch,36.833664,117.993256
知识科普型,博物馆,10558678,张裕酒文化博物馆,4.6,1937,第一海水浴场/烟台港,烟台,烟台 · 第一海水浴场/烟台港,烟台亲子景点榜 No.4,4A,百年地下酒窖,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo2p12000o5xj2dgAE53.jpg,https://you.ctrip.com/sight/yantai170/9873.html?scene=onlinesearch,37.547789,121.412304
知识科普型,博物馆,57154289,海尔世界家电博物馆,4.4,181,石老人海水浴场/国信体育中心,青岛,青岛 · 石老人海水浴场/国信体育中心,,,沉浸式体验型博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/010121200096aki8m1752.jpg,https://you.ctrip.com/sight/qingdao5/5101463.html?scene=onlinesearch,36.073871,120.445463
知识科普型,博物馆,86798,聊城市博物馆,4.7,243,东昌湖/铁塔商场,聊城,聊城 · 东昌湖/铁塔商场,,,神庙与会馆结合的古建筑群,"历史建筑, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0102z12000mr01h3j3FB2.jpg,https://you.ctrip.com/sight/liaocheng635/61508.html?scene=onlinesearch,36.444619,115.987084
知识科普型,博物馆,30765224,中国课本博物馆,4.3,102,,淄博,淄博,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0106b12000ieau13hA457.jpg,https://you.ctrip.com/sight/zibo536/2006997.html?scene=onlinesearch,36.837443,118.114181
知识科普型,博物馆,10559609,青岛葡萄酒博物馆,4.3,434,台东步行街/啤酒博物馆,青岛,青岛 · 台东步行街/啤酒博物馆,,4A,葡萄酒主题地下博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103h12000if0tyfi0864.jpg,https://you.ctrip.com/sight/qingdao5/135996.html?scene=onlinesearch,36.078833,120.35429
知识科普型,博物馆,56808346,潍坊博物馆,4.7,338,潍坊学院/谷德广场,潍坊,潍坊 · 潍坊学院/谷德广场,潍坊亲子景点榜 No.6,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106712000ie8ve2d08A5.jpg,https://you.ctrip.com/sight/weifang226/5066595.html?scene=onlinesearch,36.71835,119.165207
知识科普型,博物馆,52265286,青岛一战遗址博物馆,0.0,22,八大关/第一海水浴场,青岛,青岛 · 八大关/第一海水浴场,,,,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/350p16000000zdhhuF984.jpg,https://you.ctrip.com/sight/qingdao5/4680504.html?scene=onlinesearch,36.075112,120.351526
知识科普型,博物馆,94665,青岛邮电博物馆,4.4,296,栈桥/中山路步行街,青岛,青岛 · 栈桥/中山路步行街,,,参观老式电话和通信设备,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103h120008c4cbobBF49.jpg,https://you.ctrip.com/sight/qingdao5/132642.html?scene=onlinesearch,36.069331,120.328398
知识科普型,博物馆,24654053,烟台市博物馆,4.6,147,商业中心区/汽车站/火车站,烟台,烟台 · 商业中心区/汽车站/火车站,,,设有茶座和4D影院,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104w12000f6tzsl6DFC7.jpg,https://you.ctrip.com/sight/yantai170/1834896.html?scene=onlinesearch,37.542843,121.39963
知识科普型,博物馆,24651308,临沂市博物馆(北城馆区),4.7,46,市政府地区/临沂大剧院,临沂,临沂 · 市政府地区/临沂大剧院,,,收藏有众多的珍贵古文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102h12000o6gpbl00C9A.jpg,https://you.ctrip.com/sight/linyi480/1832187.html?scene=onlinesearch,35.095567,118.362997
知识科普型,博物馆,13412600,黄金博物馆,4.4,162,,招远,招远,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/100m1g000001hdswt18A6.jpg,https://you.ctrip.com/sight/zhaoyuan1352/1412126.html?scene=onlinesearch,37.449248,120.487411
知识科普型,博物馆,79436438,日照市博物馆,4.4,12,市政府/华润万象汇,日照,日照 · 市政府/华润万象汇,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100312000o6h0ayqC7FD.jpg,https://you.ctrip.com/sight/rizhao622/5702789.html?scene=onlinesearch,35.423518,119.530206
知识科普型,博物馆,86766,中国古车博物馆,4.3,236,,淄博,淄博,,4A,展出后李春秋时期车马工具,"遛娃宝藏地, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0101112000if1jar1480E.jpg,https://you.ctrip.com/sight/zibo536/61397.html?scene=onlinesearch,36.842169,118.393491
知识科普型,博物馆,33793897,淄博市博物馆,4.5,99,万象汇/八大局,淄博,淄博 · 万象汇/八大局,,,馆藏文物25199件,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101c12000ifzxpdtB06D.jpg,https://you.ctrip.com/sight/zibo536/2486144.html?scene=onlinesearch,36.809759,118.044729
知识科普型,博物馆,20906383,济南市博物馆,4.5,120,千佛山/舜耕会展中心,济南,济南 · 千佛山/舜耕会展中心,,,珍藏徐悲鸿等诸家名迹,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101x12000iiil3pn323C.jpg,https://you.ctrip.com/sight/jinan128/1700487.html?scene=onlinesearch,36.651291,117.03343
知识科普型,博物馆,97109,济宁市博物馆,4.7,143,市政府/古运河景区,济宁,济宁 · 市政府/古运河景区,,,了解济宁的历史沿革,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101212000f6qwq50E950.jpg,https://you.ctrip.com/sight/jining658/135388.html?scene=onlinesearch,35.41637,116.588238
知识科普型,博物馆,30229254,德州博物馆,4.7,113,德州职业技术学院/市政府/澳德乐时代广场,德州,德州 · 德州职业技术学院/市政府/澳德乐时代广场,,,展示德州的历史及民俗文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01023120008qj1po4306F.jpg,https://you.ctrip.com/sight/dezhou603/1979950.html?scene=onlinesearch,37.447935,116.363364
知识科普型,博物馆,101428,烟台自然博物馆,4.7,76,烟台大学/国际博览中心商圈,烟台,烟台 · 烟台大学/国际博览中心商圈,,,以矿产为主的特色博物馆,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100d12000f6q10hw45D8.jpg,https://you.ctrip.com/sight/yantai170/140827.html?scene=onlinesearch,37.458287,121.522129
知识科普型,博物馆,23945391,聊城中国运河文化博物馆,4.7,72,东昌湖/铁塔商场,聊城,聊城 · 东昌湖/铁塔商场,,,展示运河历史与民俗风情,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100213000000tnwb4D15E.jpg,https://you.ctrip.com/sight/liaocheng635/1790356.html?scene=onlinesearch,36.461808,115.973899
知识科普型,博物馆,140059159,青州博物馆(新馆),4.3,13,青州古城/云门山,青州,青州 · 青州古城/云门山,,,龙兴寺遗址出土的佛造像,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100512000nheurxo25A6.jpg,https://you.ctrip.com/sight/qingzhou898/140059159.html?scene=onlinesearch,36.684069,118.458045
知识科普型,博物馆,13558618,青岛滨海学院世界动物自然生态博物馆,4.1,163,黄岛金沙滩度假区,青岛,青岛 · 黄岛金沙滩度假区,,4A,滨海学院内的综合性展馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103k12000ax3c7f41B2D.jpg,https://you.ctrip.com/sight/qingdao5/1415095.html?scene=onlinesearch,35.988412,120.175264
知识科普型,博物馆,56809395,荣成博物馆,4.7,28,市中心/樱花湖体育公园,荣成,荣成 · 市中心/樱花湖体育公园,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102z12000avbno9e0022.jpg,https://you.ctrip.com/sight/rongcheng899/5072644.html?scene=onlinesearch,37.16601,122.496545
知识科普型,博物馆,79436418,威海市博物馆,4.6,7,威海市区/刘公岛,威海,威海 · 威海市区/刘公岛,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100b120009dbvlu191AD.jpg,https://you.ctrip.com/sight/weihai169/5702779.html?scene=onlinesearch,37.473732,122.146464
知识科普型,博物馆,86566,山东省天宇自然博物馆,4.7,217,,平邑,平邑,,4A,矿物标本和古生物化石为主,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0103t12000f6segtjFD67.jpg,https://you.ctrip.com/sight/pingyi1875/61052.html?scene=onlinesearch,35.524345,117.626473
知识科普型,博物馆,24653191,滕州市博物馆,4.7,31,,滕州,滕州,,,观文物，探秘滕州古文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105p120009dbrzjeC611.jpg,https://you.ctrip.com/sight/tengzhou1371/1833990.html?scene=onlinesearch,35.093465,117.18246
知识科普型,博物馆,43816910,贝林自然博物馆,4.5,305,台东步行街/啤酒博物馆,青岛,青岛 · 台东步行街/啤酒博物馆,,,互动体验型的自然博物馆,"展馆展览, 遛娃宝藏地",门市价,否,https://dimg04.c-ctrip.com/images/10071f000001h6wmh65A2.jpg,https://you.ctrip.com/sight/qingdao5/4242732.html?scene=onlinesearch,36.085558,120.340143
知识科普型,博物馆,38856159,博山琉璃博物馆,5.0,5,红叶柿岩/颜神古镇,淄博,淄博 · 红叶柿岩/颜神古镇,,,众多精美生动的琉璃展品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101212000f6sppvuF83E.jpg,https://you.ctrip.com/sight/zibo536/3041720.html?scene=onlinesearch,36.505317,117.866073
知识科普型,博物馆,18572737,坊子炭矿博物馆,3.9,46,,潍坊,潍坊,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/35030x000000liism0BB0.jpg,https://you.ctrip.com/sight/weifang226/1680310.html?scene=onlinesearch,36.595703,119.160313
知识科普型,博物馆,56211162,黄河三角洲鸟类博物馆,4.5,17,黄河口度假区,东营,东营 · 黄河口度假区,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100t0z000000mkxl6C99A.jpg,https://you.ctrip.com/sight/dongying612/5011361.html?scene=onlinesearch,37.765257,118.995118
