大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,76901,南越王博物院(王墓展区),4.7,2376,火车站/越秀公园附近,广州,广州 · 火车站/越秀公园附近,广东必打卡景点榜 No.10,4A,墓地原址上看珍品丝缕玉衣,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/10070z000000nv020AB0F.jpg,https://you.ctrip.com/sight/guangzhou152/6808.html?scene=onlinesearch,23.144033,113.267474
知识科普型,博物馆,70089239,南越王博物院(王宫展区),4.7,315,海珠广场/北京路步行街,广州,广州 · 海珠广场/北京路步行街,广州亲子景点榜 No.15,,,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/1lo1912000id72r8hB672.jpg,https://you.ctrip.com/sight/guangzhou152/5613345.html?scene=onlinesearch,23.133143,113.276289
知识科普型,博物馆,79147,河源恐龙博物馆,4.3,563,,河源,河源,,,恐龙蛋数获吉尼斯世界纪录,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0100912000iqwd84p8618.jpg,https://you.ctrip.com/sight/heyuan350/14817.html?scene=onlinesearch,23.731905,114.707662
知识科普型,博物馆,143220724,广州艺术博物院·广州美术馆(新馆),4.5,13,琶洲会展/广州塔/客村,广州,广州 · 琶洲会展/广州塔/客村,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101f12000ijk766t16C5.jpg,https://you.ctrip.com/sight/guangzhou152/143220724.html?scene=onlinesearch,23.106824,113.332724
知识科普型,博物馆,82949,清晖园博物馆,4.4,1397,清晖园度假区/顺德欢乐海岸PLUS,佛山,佛山 · 清晖园度假区/顺德欢乐海岸PLUS,广东赏秋景点榜 No.6,4A,广东四大名园之一优雅含蓄,"园林花园, 博物馆",,否,https://dimg04.c-ctrip.com/images/0103r12000f9ats2wF172.jpg,https://you.ctrip.com/sight/foshan207/49952.html?scene=onlinesearch,22.841763,113.261608
知识科普型,博物馆,45685158,太安堂麒麟丸非遗博物院,3.0,3,东山湖/龙湖古寨,潮州,潮州 · 东山湖/龙湖古寨,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106f120009d32ty320A2.jpg,https://you.ctrip.com/sight/chaozhou467/4290341.html?scene=onlinesearch,23.499318,116.592928
知识科普型,博物馆,76884,广东省博物馆,4.6,1846,珠江新城/省博物馆,广州,广州 · 珠江新城/省博物馆,珠三角地区亲子景点榜 No.3,,岭南书画丰富的宝盒建筑,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101e12000hyq2scv1CEB.jpg,https://you.ctrip.com/sight/guangzhou152/6782.html?scene=onlinesearch,23.120486,113.332975
知识科普型,博物馆,76877,陈家祠,4.6,3340,永庆坊/上下九步行街,广州,广州 · 永庆坊/上下九步行街,广东必打卡景点榜 No.8,4A,建筑考究的清末宗祠,"历史建筑, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104h1200082ks5fk1EC1.jpg,https://you.ctrip.com/sight/guangzhou152/6772.html?scene=onlinesearch,23.132609,113.251995
知识科普型,博物馆,51920487,广州好普艺术博物馆,4.9,47,宝能演艺中心/天河智慧城,广州,广州 · 宝能演艺中心/天河智慧城,,,,"特色展馆, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0EQ7212000f7fpe2oFF79.jpg,https://you.ctrip.com/sight/guangzhou152/4626991.html?scene=onlinesearch,23.173917,113.464018
知识科普型,博物馆,56288164,南山博物馆,4.6,75,科技园,深圳,深圳 · 科技园,,,欣赏来自各地的艺术珍宝,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101r12000irmpdw53104.jpg,https://you.ctrip.com/sight/shenzhen26/5001347.html?scene=onlinesearch,22.540782,113.930329
