大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,84828,广西壮族自治区博物馆,4.7,464,朝阳广场/中山路,南宁,南宁 · 朝阳广场/中山路,广西亲子景点榜 No.10,,了解广西地域文化与历史,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/1lo6y12000fehb6awFF7E.jpg,https://you.ctrip.com/sight/nanning166/54401.html?scene=onlinesearch,22.818005,108.341623
知识科普型,博物馆,100282866,古风博物院,5.0,4,,阳朔,阳朔,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103f120008sdgbma7A73.jpg,https://you.ctrip.com/sight/yangshuo702/5713354.html?scene=onlinesearch,24.682019,110.481409
知识科普型,博物馆,13460684,广西民族博物馆,4.7,973,国际会展中心/万象城/青秀山,南宁,南宁 · 国际会展中心/万象城/青秀山,广西亲子景点榜 No.20,4A,镇馆之宝雷纹大铜鼓,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/350f1c000001crv9zA364.jpg,https://you.ctrip.com/sight/nanning166/1413292.html?scene=onlinesearch,22.780319,108.408402
知识科普型,博物馆,24651359,柳州博物馆,4.5,260,五星商业街/地王公馆,柳州,柳州 · 五星商业街/地王公馆,柳州亲子景点榜 No.4,4A,丰富馆藏展示民族文化历史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101c12000ikq3mhhAAD3.jpg,https://you.ctrip.com/sight/liuzhou143/1832215.html?scene=onlinesearch,24.325014,109.419142
知识科普型,博物馆,13415808,柳州工业博物馆,4.7,141,窑埠古镇/万象城,柳州,柳州 · 窑埠古镇/万象城,柳州亲子景点榜 No.6,4A,中国近代工业进程的缩影,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104w12000iqd6gyz8351.jpg,https://you.ctrip.com/sight/liuzhou143/1412454.html?scene=onlinesearch,24.326617,109.435967
知识科普型,博物馆,30665249,南宁博物馆,4.4,91,五象新区总部基地/体育中心,南宁,南宁 · 五象新区总部基地/体育中心,南宁亲子景点榜 No.16,,研究南宁历史的综合博物馆,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0104k12000ilgnlmtC3EA.jpg,https://you.ctrip.com/sight/nanning166/2004942.html?scene=onlinesearch,22.781379,108.388765
知识科普型,博物馆,82670,桂林博物馆,4.7,108,临桂新区/两江机场,桂林,桂林 · 临桂新区/两江机场,,,展示桂林人民勤劳与智慧,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100h12000iqgm686D954.jpg,https://you.ctrip.com/sight/guilin28/48668.html?scene=onlinesearch,25.251654,110.171057
知识科普型,博物馆,84870,北海南珠博物馆,4.0,231,北海老街/金滩,北海,北海 · 北海老街/金滩,,,观赏天然海水珍珠,"博物馆, 博物馆&展馆",门市价,否,https://dimg04.c-ctrip.com/images/0100n12000iln8wrhD11C.jpg,https://you.ctrip.com/sight/beihai140/54468.html?scene=onlinesearch,21.49173,109.134308
知识科普型,博物馆,13692991,桂海碑林博物馆,4.8,21,会展中心/七星公园景区,桂林,桂林 · 会展中心/七星公园景区,,,现存摩崖石刻213件,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103u12000mkh2mnxA5E4.jpg,https://you.ctrip.com/sight/guilin28/1418152.html?scene=onlinesearch,25.277086,110.312069
知识科普型,博物馆,24654298,右江民族博物馆,5.0,47857,,百色,百色,,,百色文明发展进程展示,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107312000f6ri7wgEB65.jpg,https://you.ctrip.com/sight/baise524/1835039.html?scene=onlinesearch,23.910889,106.639572
知识科普型,博物馆,34269016,合浦汉代文化博物馆,4.2,32,,合浦,合浦,,,汉文化为主的遗址类博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107012000o65780d192A.jpg,https://you.ctrip.com/sight/hepu965/2489365.html?scene=onlinesearch,21.649662,109.196993
知识科普型,博物馆,95995840,南宁建制博物馆,4.4,19,朝阳广场/中山路,南宁,南宁 · 朝阳广场/中山路,,,南宁古代职官陈列,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0305q1200093b8c4mD1CC.jpg,https://you.ctrip.com/sight/nanning166/5711627.html?scene=onlinesearch,22.819361,108.328238
知识科普型,博物馆,86307,梧州市博物馆,4.5,57,,梧州,梧州,,,展出众多战国至明清的文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102e12000izkl29g6742.jpg,https://you.ctrip.com/sight/wuzhou142/57760.html?scene=onlinesearch,23.478844,111.314081
知识科普型,博物馆,152180568,《达芬奇暨文艺复兴的科学启蒙》意大利威尼斯达芬奇博物馆馆藏原件展,0.0,0,北海银滩旅游度假区,北海,北海 · 北海银滩旅游度假区,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0105112000m7s9oonA922.jpg,https://you.ctrip.com/sight/beihai140/152180568.html?scene=onlinesearch,21.421575,109.167762
知识科普型,博物馆,124908310,地球记忆·陨石奇观博物馆,4.5,11,,荔浦,荔浦,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0101s12000f6s29u9832B.jpg,https://you.ctrip.com/sight/lipu2020/5715990.html?scene=onlinesearch,24.646902,110.444805
知识科普型,博物馆,51816161,柳州白莲洞洞穴科学博物馆,4.6,33,,柳州,柳州,,4A,旧石器时代的文化遗址,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103912000iio3em1A8B4.jpg,https://you.ctrip.com/sight/liuzhou143/4612487.html?scene=onlinesearch,24.217049,109.438786
知识科普型,博物馆,52123775,广西自然博物馆,4.5,8,朝阳广场/中山路,南宁,南宁 · 朝阳广场/中山路,,,全国重点博物馆之一,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104t12000ijjhgf48D72.jpg,https://you.ctrip.com/sight/nanning166/4657978.html?scene=onlinesearch,22.833519,108.338499
知识科普型,博物馆,24652199,钦州市博物馆,4.5,24,,钦州,钦州,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103512000atueenh3FB4.jpg,https://you.ctrip.com/sight/qinzhou697/1833039.html?scene=onlinesearch,21.950325,108.62818
知识科普型,博物馆,79437586,北部湾海洋文化博物馆,4.3,12,防城港北站/北部湾海洋文化公园,防城港,防城港 · 防城港北站/北部湾海洋文化公园,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107212000atcw5blAB24.jpg,https://you.ctrip.com/sight/fangchenggang698/5703879.html?scene=onlinesearch,21.691531,108.35753
知识科普型,博物馆,79437594,东兴京族生态博物馆,4.2,5,万尾金滩,东兴,东兴 · 万尾金滩,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103912000f6q8rl3165D.jpg,https://you.ctrip.com/sight/dongxing964/5703927.html?scene=onlinesearch,21.532941,108.165547
知识科普型,博物馆,38395814,贵港市博物馆,4.8,6,贵港市体育中心/万达广场(贵港港北店),贵港,贵港 · 贵港市体育中心/万达广场(贵港港北店),,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104g12000a89erd5CC30.jpg,https://you.ctrip.com/sight/guigang711/2585775.html?scene=onlinesearch,23.125755,109.588049
知识科普型,博物馆,96881,长寿博物馆,5.0,11,,巴马,巴马,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102l12000f6sfnqe0591.jpg,https://you.ctrip.com/sight/bama3041/135108.html?scene=onlinesearch,24.151327,107.268124
知识科普型,博物馆,145570500,北海博物馆,2.0,2,北海站/主城区,北海,北海 · 北海站/主城区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1mh6l12000elztps88C73.jpg,https://you.ctrip.com/sight/beihai140/145570500.html?scene=onlinesearch,21.443846,109.16734
知识科普型,博物馆,38388161,贺州市博物馆,4.1,15,贺州市中心商圈,贺州,贺州 · 贺州市中心商圈,,,国家三级博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105z12000a86xhal6884.jpg,https://you.ctrip.com/sight/hezhou707/2578122.html?scene=onlinesearch,24.416132,111.556536
知识科普型,博物馆,24654328,玉林市博物馆,4.2,44,文化广场,玉林,玉林 · 文化广场,,,文物众多，展现玉林历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106c12000ifz3i3pA008.jpg,https://you.ctrip.com/sight/yulin141/1835161.html?scene=onlinesearch,22.657758,110.191364
知识科普型,博物馆,26653013,北海贝雕博物馆,4.3,66,北海老街/金滩,北海,北海 · 北海老街/金滩,,,珍藏贝类文物,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105d12000iv9hrdz9415.jpg,https://you.ctrip.com/sight/beihai140/1913585.html?scene=onlinesearch,21.472265,109.105017
知识科普型,博物馆,51549040,崇左市壮族博物馆,4.9,15,市政府/太平古城,崇左,崇左 · 市政府/太平古城,,,了解壮族历史文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102i12000f6u2wvgD58A.jpg,https://you.ctrip.com/sight/chongzuo837/4553349.html?scene=onlinesearch,22.378238,107.373127
知识科普型,博物馆,24654129,瑶族博物馆,4.2,16,,金秀,金秀,,,"是金秀展示瑶族文化的重要窗口, 以瑶族题材为主，是瑶族社会的一个缩影","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104712000hr6ucb103E9.jpg,https://you.ctrip.com/sight/jinxiu1445186/1834875.html?scene=onlinesearch,24.13943,110.197731
知识科普型,博物馆,79437570,三江侗族自治县博物馆,4.5,2,,三江,三江,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A5o120008o34hno3D6F.jpg,https://you.ctrip.com/sight/sanjiang975/5703924.html?scene=onlinesearch,25.788454,109.612429
知识科普型,博物馆,39013768,地质博物馆,4.5,6,涠洲岛南湾/五彩滩,北海,北海 · 涠洲岛南湾/五彩滩,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/35021b000001avma7E4CB.jpg,https://you.ctrip.com/sight/beihai140/3197929.html?scene=onlinesearch,21.029837,109.101462
知识科普型,博物馆,149691455,广西自然资源博物馆,5.0,1,国际会展中心/万象城/青秀山,南宁,南宁 · 国际会展中心/万象城/青秀山,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1mh1q12000mr280wgEE4B.jpg,https://you.ctrip.com/sight/nanning166/149691455.html?scene=onlinesearch,22.803891,108.401797
知识科普型,博物馆,79438796,昆仑关战役博物馆,0.0,4,,南宁,南宁,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A68120008cwuyoo895A.jpg,https://you.ctrip.com/sight/nanning166/5705118.html?scene=onlinesearch,23.096782,108.691716
知识科普型,博物馆,79436401,靖西市壮族博物馆,5.0,3,,靖西,靖西,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102k12000cauhrx2AE98.jpg,https://you.ctrip.com/sight/jingxi967/5702812.html?scene=onlinesearch,23.137484,106.421436
