大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,77595,湖南博物院,4.8,14126,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,2025中国100必打卡景点,4A,赏马王堆汉墓文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101v120005pwzv3dE4CF.jpg,https://you.ctrip.com/sight/changsha148/8981.html?scene=onlinesearch,28.217634,113.000037
知识科普型,博物馆,31662321,湖南博物院-马王堆展厅,4.6,46,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,长沙亲子景点榜 No.14,,历史遗迹，湘博人精心打造的艺术殿堂,"特色展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0100q12000f6t9lcgA480.jpg,https://you.ctrip.com/sight/changsha148/2030281.html?scene=onlinesearch,28.217683,113.000628
知识科普型,博物馆,151574558,《潇湘石韵》湖南博物院藏石雕精品展,0.0,0,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0104z12000kv8qy120639.png,https://you.ctrip.com/sight/changsha148/151574558.html?scene=onlinesearch,28.217634,113.000037
知识科普型,博物馆,145126751,湖南博物院-专题展厅,5.0,1,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,,,,,,否,https://dimg04.c-ctrip.com/images/0106o12000mals4do4EA0.jpg,https://you.ctrip.com/sight/changsha148/145126751.html?scene=onlinesearch,28.217915,112.999986
知识科普型,博物馆,24651209,醴陵陶瓷博物馆,4.6,96,,醴陵,醴陵,株洲亲子景点榜 No.4,,观赏陶瓷名品领略瓷艺魅力,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1lo3c12000gaj9fo389CF.jpg,https://you.ctrip.com/sight/liling2837/1831980.html?scene=onlinesearch,27.663582,113.51346
知识科普型,博物馆,149273478,梅溪湖艺术博物馆,4.1,9,岳麓山/梅溪湖公园,长沙,长沙 · 岳麓山/梅溪湖公园,,,,"博物馆&展馆, 美术馆&艺术馆",门市价,否,https://dimg04.c-ctrip.com/images/1lo0u12000m64tsaoE314.jpg,https://you.ctrip.com/sight/changsha148/149273478.html?scene=onlinesearch,28.202796,112.912762
知识科普型,博物馆,18471305,长沙博物馆,4.5,199,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,长沙亲子景点榜 No.11,,赏诗词长廊,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0100q12000iksir7g5F69.jpg,https://you.ctrip.com/sight/changsha148/1674752.html?scene=onlinesearch,28.247447,112.987283
知识科普型,博物馆,52069585,隆平水稻博物馆,4.9,65,万家丽国际MALL,长沙,长沙 · 万家丽国际MALL,,,,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/01039120009heenai7732.jpg,https://you.ctrip.com/sight/changsha148/4649414.html?scene=onlinesearch,28.195852,113.066361
知识科普型,博物馆,24654411,岳阳博物馆,4.5,47,南湖广场,岳阳,岳阳 · 南湖广场,,,了解岳阳历史文化与民俗,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102x12000if1c3y6E1EC.jpg,https://you.ctrip.com/sight/yueyang287/1835227.html?scene=onlinesearch,29.352098,113.12726
知识科普型,博物馆,38439722,张家界市博物馆,4.2,29,七十二奇楼/大庸古城,张家界,张家界 · 七十二奇楼/大庸古城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104t12000izmxk6dCAE3.jpg,https://you.ctrip.com/sight/zhangjiajie23/2629583.html?scene=onlinesearch,29.137978,110.461294
知识科普型,博物馆,18471378,湖南省地质博物馆,4.7,96,德思勤广场/省政府,长沙,长沙 · 德思勤广场/省政府,,,学习地球科学知识的好去处,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0103l12000ijiilk9A2BE.jpg,https://you.ctrip.com/sight/changsha148/1674782.html?scene=onlinesearch,28.113126,112.988837
知识科普型,博物馆,24650282,衡阳博物馆,4.2,65,解放路商圈,衡阳,衡阳 · 解放路商圈,,,琉璃碧瓦，走进湘南文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104312000aurydl6EE69.jpg,https://you.ctrip.com/sight/hengyang864/1831177.html?scene=onlinesearch,26.912459,112.613622
知识科普型,博物馆,86933,凤凰古城博物馆,4.5,181,,凤凰,凤凰,,,参观陈宝箴的百年老宅,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105q12000ifu6g270B69.jpg,https://you.ctrip.com/sight/fenghuang988/62040.html?scene=onlinesearch,27.953644,109.608991
知识科普型,博物馆,83435,长沙简牍博物馆,4.4,234,五一广场/IFS国金中心,长沙,长沙 · 五一广场/IFS国金中心,,,观赏古老的汉代简牍,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0104k12000iv80ezyDF0D.jpg,https://you.ctrip.com/sight/changsha148/50841.html?scene=onlinesearch,28.190545,112.98965
知识科普型,博物馆,145648746,湖南省博物馆——《一念•辛追梦》马王堆复原动态展,0.0,0,湖南博物院/北辰三角洲,长沙,长沙 · 湖南博物院/北辰三角洲,,,,"博物馆&展馆, 演出",,否,https://dimg04.c-ctrip.com/images/0102d12000efn6xgpFC80.jpg,https://you.ctrip.com/sight/changsha148/145648746.html?scene=onlinesearch,28.217637,113.000163
知识科普型,博物馆,38502924,郴州博物馆,4.4,17,王仙岭/湘南学院,郴州,郴州 · 王仙岭/湘南学院,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105j12000ifyt47e0DAB.jpg,https://you.ctrip.com/sight/chenzhou336/2691885.html?scene=onlinesearch,25.801614,113.115627
知识科普型,博物馆,51326194,长沙铜官窑博物馆,4.7,14,铜官窑度假区,长沙,长沙 · 铜官窑度假区,,,看诗意的彩瓷，品千年文化,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0100512000bbe2l8fD9B9.jpg,https://you.ctrip.com/sight/changsha148/4694342.html?scene=onlinesearch,28.423112,112.834252
知识科普型,博物馆,56190171,湘西土家族苗族自治州博物馆,4.9,15,,吉首,吉首,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106w12000f6tdb9n2E29.jpg,https://you.ctrip.com/sight/jishou865/5009404.html?scene=onlinesearch,28.224037,109.677844
知识科普型,博物馆,18463061,中国书院博物馆,4.7,30,岳麓山/梅溪湖公园,长沙,长沙 · 岳麓山/梅溪湖公园,,,了解中国书院发展史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102b12000o5bfmbeDDE6.jpg,https://you.ctrip.com/sight/changsha148/1673842.html?scene=onlinesearch,28.185701,112.947689
知识科普型,博物馆,145399598,衡阳铁路博物馆,5.0,2,,衡阳,衡阳,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1me1v12000euf6yw89978.jpg,https://you.ctrip.com/sight/hengyang864/145399598.html?scene=onlinesearch,26.887049,112.652699
