大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,149630583,景德镇御窑博物院,5.0,1,人民广场/景德镇陶阳里历史文化旅游区,景德镇,景德镇 · 人民广场/景德镇陶阳里历史文化旅游区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0103312000kkiikuv051D.png,https://you.ctrip.com/sight/jingdezhen405/149630583.html?scene=onlinesearch,29.304008,117.218383
知识科普型,博物馆,67868549,江西客家博物院,4.0,2,七鲤古镇/梅林古镇,赣州,赣州 · 七鲤古镇/梅林古镇,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106b12000b2hlxzjE5AD.jpg,https://you.ctrip.com/sight/ganzhou473/5593367.html?scene=onlinesearch,25.866889,115.035514
知识科普型,博物馆,86625,景德镇中国陶瓷博物馆,4.3,1208,古窑民俗博览区/中国陶瓷博物馆,景德镇,景德镇 · 古窑民俗博览区/中国陶瓷博物馆,江西亲子景点榜 No.4,,大型陶瓷专题艺术博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105t120008132di5BA4D.jpg,https://you.ctrip.com/sight/jingdezhen405/61150.html?scene=onlinesearch,29.298886,117.182122
知识科普型,博物馆,88799,江西省博物馆(新馆),4.5,1407,红谷滩万达/秋水广场,南昌,南昌 · 红谷滩万达/秋水广场,江西亲子景点榜 No.7,,观赏江西古代青铜瓷器,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101012000hyluy019DA5.jpg,https://you.ctrip.com/sight/nanchang175/71124.html?scene=onlinesearch,28.711774,115.888391
知识科普型,博物馆,111989165,南昌汉代海昏侯国遗址博物馆,4.6,432,,南昌,南昌,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1lo6912000hyj8n4b7E43.jpg,https://you.ctrip.com/sight/nanchang175/111989165.html?scene=onlinesearch,29.036453,115.946287
知识科普型,博物馆,79437145,景德镇御窑博物馆,4.6,158,人民广场/景德镇陶阳里历史文化旅游区,景德镇,景德镇 · 人民广场/景德镇陶阳里历史文化旅游区,,,窑的造型，展现御窑厂的独特之处,"特色展馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105k120009culpbc331D.jpg,https://you.ctrip.com/sight/jingdezhen405/5703493.html?scene=onlinesearch,29.301886,117.214116
知识科普型,博物馆,101208,渼陂古村,0.0,192,,吉安,吉安,,4A,,古镇古村,门票,否,https://dimg04.c-ctrip.com/images/0101x12000f6qkt0y1471.jpg,https://you.ctrip.com/sight/jian876/140568.html?scene=onlinesearch,26.945452,115.127317
知识科普型,博物馆,79956,井冈山革命博物馆,0.0,321,井冈山旅游区,井冈山,井冈山 · 井冈山旅游区,,,"地方性革命史类博物馆, 缅怀革命先烈","博物馆&展馆, 场馆展馆",,否,https://dimg04.c-ctrip.com/images/0101y12000ijffbxz8A62.jpg,https://you.ctrip.com/sight/jinggangshan171/17852.html?scene=onlinesearch,26.573406,114.172166
知识科普型,博物馆,88858,新干大洋洲商代青铜博物馆,4.1,44,,新干,新干,,,商代墓葬遗址，青铜器众多,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0100r120008x88d3f75D7.jpg,https://you.ctrip.com/sight/xingan2384/71343.html?scene=onlinesearch,27.92272,115.460592
知识科普型,博物馆,38953849,赣州市博物馆(新馆),4.5,31,赣州万象城/九方购物中心,赣州,赣州 · 赣州万象城/九方购物中心,,,展示赣州历史和客家文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104h12000ivbus0jC9B2.jpg,https://you.ctrip.com/sight/ganzhou473/3138510.html?scene=onlinesearch,25.816657,114.925408
