大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,148457657,哈药六版画博物馆,4.5,1889,国际会展中心/省政府,哈尔滨,哈尔滨 · 国际会展中心/省政府,黑龙江必打卡景点榜 No.5,,,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0105d12000f6ux7ft98EB.jpg,https://you.ctrip.com/sight/harbin151/148457657.html?scene=onlinesearch,45.771262,126.710852
知识科普型,博物馆,24652141,齐齐哈尔博物馆,4.6,503,建华商业区,齐齐哈尔,齐齐哈尔 · 建华商业区,黑龙江亲子景点榜 No.20,,仿古式建筑风格,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0103c12000ikz5p1i251B.jpg,https://you.ctrip.com/sight/qiqihar395/1832967.html?scene=onlinesearch,47.36235,123.962421
知识科普型,博物馆,24650571,鸡西市博物馆,4.7,50,,鸡西,鸡西,,,,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0101312000f6tzy09981F.jpg,https://you.ctrip.com/sight/jixi852/1831466.html?scene=onlinesearch,45.300929,130.949237
知识科普型,博物馆,77092,黑龙江省博物馆,4.3,410,哈尔滨站/果戈里商业区/医大一院,哈尔滨,哈尔滨 · 哈尔滨站/果戈里商业区/医大一院,哈尔滨亲子景点榜 No.12,,看动物化石和历史文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102512000isbbiob146B.jpg,https://you.ctrip.com/sight/harbin151/7907.html?scene=onlinesearch,45.763371,126.647534
知识科普型,博物馆,39210755,哈尔滨市博物馆,4.4,58,中央大街步行街/索菲亚大教堂/防洪纪念塔,哈尔滨,哈尔滨 · 中央大街步行街/索菲亚大教堂/防洪纪念塔,,,了解哈尔滨古代历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104512000ikxokdmFAD5.jpg,https://you.ctrip.com/sight/harbin151/3393016.html?scene=onlinesearch,45.780367,126.631985
知识科普型,博物馆,18503792,哈尔滨世纪汽车历史博物馆,4.8,74,,哈尔滨,哈尔滨,,,国家二级博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105312000f6t66zmF90E.jpg,https://you.ctrip.com/sight/harbin151/1675706.html?scene=onlinesearch,45.395396,126.353963
知识科普型,博物馆,24650254,渤海上京遗址博物馆,3.8,32,,宁安,宁安,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105b120008xfi1ig64F5.jpg,https://you.ctrip.com/sight/ningan2233/1831137.html?scene=onlinesearch,44.111382,129.159947
知识科普型,博物馆,134078591,五大连池世界地质公园博物馆,4.6,62,,五大连池,五大连池,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01020120009ppqyhk6758.jpg,https://you.ctrip.com/sight/wudalianchi857/134078591.html?scene=onlinesearch,48.639615,126.127979
知识科普型,博物馆,134785215,锦然俄罗斯琥珀博物馆,4.7,10,融创乐园/太阳岛,哈尔滨,哈尔滨 · 融创乐园/太阳岛,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/01040120009vloj0b8B77.png,https://you.ctrip.com/sight/harbin151/134785215.html?scene=onlinesearch,45.795517,126.606895
知识科普型,博物馆,24649266,大庆博物馆,4.5,168,新村大学/摩码广场,大庆,大庆 · 新村大学/摩码广场,,4A,馆藏有众多远古化石,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101x12000ifxkbxj4BE3.jpg,https://you.ctrip.com/sight/daqing531/1830176.html?scene=onlinesearch,46.590469,125.159566
