大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,109032354,晋商博物院,4.8,237,柳巷/钟楼街,太原,太原 · 柳巷/钟楼街,太原必打卡景点榜 No.7,,,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0106v1200090g5essC7F4.jpg,https://you.ctrip.com/sight/taiyuan167/5714471.html?scene=onlinesearch,37.881086,112.569081
知识科普型,博物馆,88189,山西博物院,4.8,2867,山西博物院/太原新城吾悦广场,太原,太原 · 山西博物院/太原新城吾悦广场,2025中国100亲子景点,,荟萃了山西文物的精华,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/100u1f000001gq9bh9986.jpg,https://you.ctrip.com/sight/taiyuan167/66076.html?scene=onlinesearch,37.871448,112.537791
知识科普型,博物馆,83199,晋祠博物馆,4.8,13094,太原古县城/晋祠,太原,太原 · 太原古县城/晋祠,2025亚洲100亲子景点,5A,晋国宗祠园林建筑群,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0106t12000a434k2hB478.jpg,https://you.ctrip.com/sight/taiyuan167/50464.html?scene=onlinesearch,37.714955,112.447886
知识科普型,博物馆,83217,中国煤炭博物馆,4.4,2250,山西博物院/太原新城吾悦广场,太原,太原 · 山西博物院/太原新城吾悦广场,山西亲子景点榜 No.7,4A,再现地下模拟矿井,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0102n120009dwsxt47E86.jpg,https://you.ctrip.com/sight/taiyuan167/50498.html?scene=onlinesearch,37.863054,112.534971
知识科普型,博物馆,144236939,山西博物院-展馆,5.0,4,山西博物院/太原新城吾悦广场,太原,太原 · 山西博物院/太原新城吾悦广场,,,,,,否,https://dimg04.c-ctrip.com/images/0HJ6f12000g2vi6vr70A3.jpg,https://you.ctrip.com/sight/taiyuan167/144236939.html?scene=onlinesearch,37.871484,112.53766
知识科普型,博物馆,89816,大同市博物馆,4.4,604,大同南站/方特欢乐世界,大同,大同 · 大同南站/方特欢乐世界,山西亲子景点榜 No.8,,"胡汉交融, 阵列式文物陈列, 粗犷大气","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/10080z000000njn4vC50E.jpg,https://you.ctrip.com/sight/datong275/76845.html?scene=onlinesearch,40.096835,113.371342
知识科普型,博物馆,79292,日升昌票号,4.6,807,平遥古城内,平遥,平遥 · 平遥古城内,,,展示古代银行业的辉煌历史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104512000iln30lp83C1.jpg,https://you.ctrip.com/sight/pingyao365/16563.html?scene=onlinesearch,37.211337,112.190204
知识科普型,博物馆,89514,乔家大院,4.6,12356,乔家大院,祁县,祁县 · 乔家大院,山西必打卡景点榜 No.10,,乔家大院拍摄地,历史建筑,门票,否,https://dimg04.c-ctrip.com/images/100v0z000000nnlpp028B.jpg,https://you.ctrip.com/sight/qicounty3039/74743.html?scene=onlinesearch,37.412043,112.448047
知识科普型,博物馆,79614,永乐宫,4.7,1254,,芮城,芮城,运城必打卡景点榜 No.2,4A,观赏精美绝伦的元代壁画,历史建筑,门票,否,https://dimg04.c-ctrip.com/images/0100612000f7fd71oDE74.jpg,https://you.ctrip.com/sight/ruicheng2986/17428.html?scene=onlinesearch,34.726083,110.69982
知识科普型,博物馆,79438076,太原北齐壁画博物馆,4.8,327,太原火车站,太原,太原 · 太原火车站,太原必打卡景点榜 No.6,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102p12000dtvpi53B4D9.jpg,https://you.ctrip.com/sight/taiyuan167/5704422.html?scene=onlinesearch,37.842657,112.624899
知识科普型,博物馆,38648021,大同煤炭博物馆,4.4,108,,大同,大同,大同亲子景点榜 No.4,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0100312000islagjz244E.jpg,https://you.ctrip.com/sight/datong275/2835682.html?scene=onlinesearch,40.1105,113.142339
知识科普型,博物馆,89511,三多堂博物馆,3.9,95,,晋中,晋中,,,明清晋商巨富曹家的院落,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1008180000013ywydB56B.jpg,https://you.ctrip.com/sight/jinzhong639/74739.html?scene=onlinesearch,37.397241,112.520009
知识科普型,博物馆,24651297,临汾博物馆,4.7,61,,临汾,临汾,临汾亲子景点榜 No.2,,建于一九九三年,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104e12000iqk3e8n37B4.jpg,https://you.ctrip.com/sight/linfen318/1832103.html?scene=onlinesearch,36.07861,111.48939
知识科普型,博物馆,83357,协同庆票号(中国钱庄博物馆),4.6,168,平遥古城内,平遥,平遥 · 平遥古城内,,,五进式钱庄院落,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/010031200087eaai19216.jpg,https://you.ctrip.com/sight/pingyao365/50721.html?scene=onlinesearch,37.21048,112.191255
知识科普型,博物馆,93660084,山西青铜博物馆,4.7,45,万象城/博物馆,太原,太原 · 万象城/博物馆,太原亲子景点榜 No.10,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01038120005xwv5ep9CB9.jpg,https://you.ctrip.com/sight/taiyuan167/5710709.html?scene=onlinesearch,37.811282,112.53996
知识科普型,博物馆,24654441,运城博物馆,4.7,46,南风广场,运城,运城 · 南风广场,,,观文化浮雕，品辉煌历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105q12000ipu42st9F37.jpg,https://you.ctrip.com/sight/yuncheng397/1835276.html?scene=onlinesearch,35.044389,111.038822
知识科普型,博物馆,77107,河边民俗博物馆,4.4,114,,定襄,定襄,,4A,"晋北清末民初独特民俗文化, 异彩纷呈的民间艺术","遛娃宝藏地, 博物馆",门市价,否,https://dimg04.c-ctrip.com/images/0105s12000f6scfov6C42.jpg,https://you.ctrip.com/sight/dingxiang2992/7931.html?scene=onlinesearch,38.595658,113.116373
知识科普型,博物馆,84050,玉皇庙彩塑壁画博物馆,4.8,29,,泽州,泽州,,,,"历史建筑, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0103312000ira4jmgEA49.jpg,https://you.ctrip.com/sight/zezhou3032/51697.html?scene=onlinesearch,35.552011,112.949621
知识科普型,博物馆,39266019,太原市博物馆,4.6,61,万象城/博物馆,太原,太原 · 万象城/博物馆,,,文化岛大平台广场上的标志性建筑,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105412000iq80duk1860.jpg,https://you.ctrip.com/sight/taiyuan167/3447680.html?scene=onlinesearch,37.811304,112.540026
知识科普型,博物馆,149547137,陶寺遗址博物馆,4.0,5,,襄汾,襄汾,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1mh3w12000ixb5fk07A2C.jpg,https://you.ctrip.com/sight/xiangfen3027/149547137.html?scene=onlinesearch,35.906706,111.501064
知识科普型,博物馆,24650838,晋城博物馆,4.8,55,人民广场/国贸广场,晋城,晋城 · 人民广场/国贸广场,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104z120009d44eqc6158.jpg,https://you.ctrip.com/sight/jincheng665/1831713.html?scene=onlinesearch,35.496856,112.875445
知识科普型,博物馆,134777854,北魏明堂遗址博物馆,4.5,6,东信广场商圈,大同,大同 · 东信广场商圈,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102012000o1fbkkcBAF3.jpg,https://you.ctrip.com/sight/datong275/134777854.html?scene=onlinesearch,40.072754,113.317036
知识科普型,博物馆,39222618,介休市博物馆,4.6,16,,介休,介休,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100v0o000000ez732DF41.jpg,https://you.ctrip.com/sight/jiexiu2982/3404879.html?scene=onlinesearch,37.04156,111.938965
知识科普型,博物馆,24654568,长治博物馆,4.6,62,,长治,长治,,,明清琉璃，战国青铜为特色,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100e1f000001gt2lg66E9.jpg,https://you.ctrip.com/sight/changzhi901/1835411.html?scene=onlinesearch,36.217326,113.100548
知识科普型,博物馆,79613,蒲津渡遗址博物馆,4.3,340,,永济,永济,,,"渡口铁牛, 雕塑艺术","历史建筑, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106m12000o0bhox88716.jpg,https://you.ctrip.com/sight/yongji1772/17427.html?scene=onlinesearch,34.852915,110.2975
知识科普型,博物馆,145155937,太原双塔寺-双塔博物馆,5.0,3,太原火车站,太原,太原 · 太原火车站,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100h12000m65jhw28D7F.jpg,https://you.ctrip.com/sight/taiyuan167/145155937.html?scene=onlinesearch,37.851975,112.603459
知识科普型,博物馆,83366,中国镖局博物馆,4.6,98,平遥古城内,平遥,平遥 · 平遥古城内,,,镖局发展史与镖师的故事,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100n0z000000nhco31668.jpg,https://you.ctrip.com/sight/pingyao365/50730.html?scene=onlinesearch,37.209958,112.191683
知识科普型,博物馆,92953181,大同云冈石窟博物馆,4.6,48,,大同,大同,,,皇家风范的佛教艺术宝库,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101b1200092me23c0736.jpg,https://you.ctrip.com/sight/datong275/5710600.html?scene=onlinesearch,40.115756,113.134075
知识科普型,博物馆,145173723,忻州市博物馆(新馆),4.5,4,,忻州,忻州,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/01A34120009bs4sleBA15.jpg,https://you.ctrip.com/sight/xinzhou783/145173723.html?scene=onlinesearch,38.482222,112.724129
