大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,75682,秦始皇帝陵博物院(兵马俑),4.7,126297,兵马俑/华清宫旅游区,西安,西安 · 兵马俑/华清宫旅游区,2025全球100必打卡景点,5A,秦始皇的地下御林军,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0104012000f6rbl4996B9.jpg,https://you.ctrip.com/sight/xian7/1444.html?scene=onlinesearch,34.392111,109.288514
知识科普型,博物馆,10532757,西安博物院,4.6,2551,永宁门/西安博物院,西安,西安 · 永宁门/西安博物院,陕西亲子景点榜 No.7,4A,了解十三朝古都的发展史,"展馆展览, 遛娃宝藏地",免费预约,是,https://dimg04.c-ctrip.com/images/0101012000hxh20bmDE96.jpg,https://you.ctrip.com/sight/xian7/52677.html?scene=onlinesearch,34.244737,108.948103
知识科普型,博物馆,85240,宝鸡青铜器博物院,4.7,590,陈仓老街/中华石鼓园,宝鸡,宝鸡 · 陈仓老街/中华石鼓园,宝鸡必打卡景点榜 No.3,,珍藏有众多精美的青铜器,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/35071e000001fca9t3EC1.jpg,https://you.ctrip.com/sight/baoji422/55221.html?scene=onlinesearch,34.3534,107.201604
知识科普型,博物馆,76739,秦始皇帝陵博物院-丽山园,4.5,989,兵马俑/华清宫旅游区,西安,西安 · 兵马俑/华清宫旅游区,,,千古一帝秦始皇的陵墓,"历史建筑, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103o12000m4q5nu78B19.jpg,https://you.ctrip.com/sight/xian7/5420.html?scene=onlinesearch,34.388236,109.265741
知识科普型,博物馆,84601,咸阳博物院,4.5,232,,咸阳,咸阳,,,珍藏有众多的秦汉文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100212000iukopt82B29.jpg,https://you.ctrip.com/sight/xianyang632/52649.html?scene=onlinesearch,34.34078,108.731093
知识科普型,博物馆,13849250,秦始皇帝陵博物院-铜车马博物馆,4.7,490,兵马俑/华清宫旅游区,西安,西安 · 兵马俑/华清宫旅游区,,,保存完整的古代青铜车马,"历史建筑, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106p12000o2335zkB107.jpg,https://you.ctrip.com/sight/xian7/1478156.html?scene=onlinesearch,34.383964,109.260565
知识科普型,博物馆,89241,关中民俗艺术博物院,4.5,542,秦岭环山路/野生动物园,西安,西安 · 秦岭环山路/野生动物园,,4A,搬迁复建了多座明清古民居,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103612000ir9m7iq716B.jpg,https://you.ctrip.com/sight/xian7/73315.html?scene=onlinesearch,34.031834,108.981224
知识科普型,博物馆,15031664,宝鸡周原博物院,4.5,25,,扶风,扶风,,,馆藏丰富，感受西周文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01054120008icb5fcFB8A.jpg,https://you.ctrip.com/sight/fufengcounty1880/1479831.html?scene=onlinesearch,34.487645,107.877287
知识科普型,博物馆,145319375,秦始皇帝陵博物院丽山园-陪葬坑,0.0,0,兵马俑/华清宫旅游区,西安,西安 · 兵马俑/华清宫旅游区,,,,,,否,https://dimg04.c-ctrip.com/images/0103y12000exxt3rpF759.jpg,https://you.ctrip.com/sight/xian7/145319375.html?scene=onlinesearch,34.390208,109.267474
知识科普型,博物馆,73138429,西安博物院-鼓楼,4.6,27,永宁门/西安博物院,西安,西安 · 永宁门/西安博物院,,,,历史建筑,免费,是,https://dimg04.c-ctrip.com/images/35091900000176oag3835.jpg,https://you.ctrip.com/sight/xian7/5655399.html?scene=onlinesearch,34.243778,108.948312
