大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,77934,河南博物院,4.8,8733,文化路/省博物院,郑州,郑州 · 文化路/省博物院,2025中国100亲子景点,,丰富馆藏展现中原悠久历史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0100112000ma956mv9CFD.jpg,https://you.ctrip.com/sight/zhengzhou157/9593.html?scene=onlinesearch,34.794141,113.678653
知识科普型,博物馆,61114449,隋唐洛阳城应天门遗址,4.4,3035,洛邑古城/丽景门十字街,洛阳,洛阳 · 洛邑古城/丽景门十字街,,,赏隋唐遗址，品古都文化,"遛娃宝藏地, 历史建筑",门票,否,https://dimg04.c-ctrip.com/images/01009120008jb562l1048.png,https://you.ctrip.com/sight/luoyang198/5253398.html?scene=onlinesearch,34.683086,112.467176
知识科普型,博物馆,89315,中国文字博物馆,4.9,2914,万达广场,安阳,安阳 · 万达广场,安阳亲子景点榜 No.2,4A,了解中国文字的发展历程,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101x12000iis174c1610.jpg,https://you.ctrip.com/sight/anyang412/73815.html?scene=onlinesearch,36.120358,114.399662
知识科普型,博物馆,148430734,张仲景博物院(医圣祠),4.6,38,独山大道/新华路商圈,南阳,南阳 · 独山大道/新华路商圈,,,,博物馆&展馆,门票,否,https://dimg04.c-ctrip.com/images/1lo4d12000ernhmmr871B.jpg,https://you.ctrip.com/sight/nanyang591/148430734.html?scene=onlinesearch,33.003653,112.56025
知识科普型,博物馆,136638992,曹操高陵遗址博物馆,4.5,315,,安阳县,安阳县,安阳必打卡景点榜 No.5,,陵墓平面呈甲字形,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0102w12000isazxtv2B88.jpg,https://you.ctrip.com/sight/anyangcounty2252/136638992.html?scene=onlinesearch,36.248404,114.27436
知识科普型,博物馆,133442586,郑州商都遗址博物院,4.3,7,紫荆山商业区,郑州,郑州 · 紫荆山商业区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100l12000ifw77gz2BA0.jpg,https://you.ctrip.com/sight/zhengzhou157/5720203.html?scene=onlinesearch,34.75221,113.693025
知识科普型,博物馆,89152,平原博物院,4.6,144,高铁站/市政府,新乡,新乡 · 高铁站/市政府,,,了解牧野文化的窗口,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100f0z000000nd0hm9DC7.jpg,https://you.ctrip.com/sight/xinxiang474/72883.html?scene=onlinesearch,35.305283,113.93341
知识科普型,博物馆,117061594,河南博物院华夏古乐团,0.0,0,文化路/省博物院,郑州,郑州 · 文化路/省博物院,,,,,,否,https://dimg04.c-ctrip.com/images/0101d12000bqjbtrx6342.jpg,https://you.ctrip.com/sight/zhengzhou157/117061594.html?scene=onlinesearch,34.794217,113.67873
知识科普型,博物馆,89920,洛阳博物馆,4.7,2883,高铁龙门站/市政府新区,洛阳,洛阳 · 高铁龙门站/市政府新区,2025亚洲100亲子景点,,赏稀世珍宝品洛阳古都文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101a120005ybuydo5E5D.jpg,https://you.ctrip.com/sight/luoyang198/77546.html?scene=onlinesearch,34.649647,112.458391
知识科普型,博物馆,145294638,河南博物院-主展馆,5.0,4,文化路/省博物院,郑州,郑州 · 文化路/省博物院,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0106912000mh5kwlcDA00.jpg,https://you.ctrip.com/sight/zhengzhou157/145294638.html?scene=onlinesearch,34.794364,113.678706
知识科普型,博物馆,89922,开封博物馆,4.8,4618,开封北站商圈,开封,开封 · 开封北站商圈,2025中国100亲子景点,,展示开封历史和北宋文化,"展馆展览, 遛娃宝藏地",免费预约,是,https://dimg04.c-ctrip.com/images/1lo1y12000e7im8icA99F.jpg,https://you.ctrip.com/sight/kaifeng165/77549.html?scene=onlinesearch,34.809781,114.260221
知识科普型,博物馆,79346,羑里城,4.5,935,,汤阴,汤阴,安阳亲子景点榜 No.3,4A,文王拘而演《周易》之地,历史建筑,门票,否,https://dimg04.c-ctrip.com/images/0104i12000h107ujfC2AD.jpg,https://you.ctrip.com/sight/tangyin2277/16649.html?scene=onlinesearch,35.961266,114.361767
知识科普型,博物馆,86750,南阳府衙,4.6,926,独山大道/新华路商圈,南阳,南阳 · 独山大道/新华路商圈,南阳必打卡景点榜 No.2,,保留元明清三代艺术的建筑,"历史建筑, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/350l0x000000l7sfi3503.jpg,https://you.ctrip.com/sight/nanyang591/61358.html?scene=onlinesearch,32.99993,112.543767
知识科普型,博物馆,144893439,殷墟博物馆,4.8,1107,,安阳,安阳,河南亲子景点榜 No.10,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0106512000f6sbrt57DE7.jpg,https://you.ctrip.com/sight/anyang412/144893439.html?scene=onlinesearch,36.126311,114.336684
知识科普型,博物馆,10532942,洛阳隋唐大运河文化博物馆,4.6,182,洛邑古城/丽景门十字街,洛阳,洛阳 · 洛邑古城/丽景门十字街,洛阳亲子景点榜 No.5,,依托洛阳山陕会馆而建,"历史建筑, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0101o12000h14gxem6358.jpg,https://you.ctrip.com/sight/luoyang198/9358.html?scene=onlinesearch,34.679461,112.50086
知识科普型,博物馆,77445555,二里头夏都遗址博物馆,4.7,196,,洛阳,洛阳,洛阳亲子景点榜 No.7,4A,藏品丰富，展示夏代历史,"遛娃宝藏地, 历史建筑",免费,是,https://dimg04.c-ctrip.com/images/0100j12000isagxysD1C5.jpg,https://you.ctrip.com/sight/luoyang198/5675368.html?scene=onlinesearch,34.687819,112.700123
知识科普型,博物馆,77796,洛阳古墓博物馆,4.7,859,北郊机场地区,洛阳,洛阳 · 北郊机场地区,洛阳必打卡景点榜 No.8,,颇具考古价值的古墓博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105t12000hz9mk8sA384.jpg,https://you.ctrip.com/sight/luoyang198/9337.html?scene=onlinesearch,34.739144,112.420995
