大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,79960,石家庄市毗卢寺博物院,4.6,119,河北经贸大学/河北政法职业学院,石家庄,石家庄 · 河北经贸大学/河北政法职业学院,石家庄赏秋景点榜 No.6,,在寺中观赏明代的精美壁画,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0100312000kseidfj8160.jpg,https://you.ctrip.com/sight/shijiazhuang199/17856.html?scene=onlinesearch,38.132272,114.432833
知识科普型,博物馆,13790271,河北博物院,4.8,1119,省博物馆/省政府,石家庄,石家庄 · 省博物馆/省政府,河北亲子景点榜 No.16,,了解河北地区的悠久历史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102p12000f6pr4grD632.jpg,https://you.ctrip.com/sight/shijiazhuang199/1469082.html?scene=onlinesearch,38.046443,114.529277
知识科普型,博物馆,79303,直隶总督署,4.6,2348,保定火车站/华创广场/总督署,保定,保定 · 保定火车站/华创广场/总督署,保定必打卡景点榜 No.1,4A,保存完好的直隶总督办公地,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0105812000h15e4fc14BF.jpg,https://you.ctrip.com/sight/baoding459/16580.html?scene=onlinesearch,38.865535,115.503951
知识科普型,博物馆,24649429,定州博物馆,4.7,79,,定州,定州,,,观定州跨越千年的发展变化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105h12000ii28moc0A56.jpg,https://you.ctrip.com/sight/dingzhou2562/1830252.html?scene=onlinesearch,38.516576,115.012754
知识科普型,博物馆,96808,邯郸市博物馆,4.7,189,美乐城/市博物馆,邯郸,邯郸 · 美乐城/市博物馆,邯郸亲子景点榜 No.3,,观文物，了解邯郸文明史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104j12000iea58kw4F46.jpg,https://you.ctrip.com/sight/handan495/135007.html?scene=onlinesearch,36.615857,114.529498
知识科普型,博物馆,142984460,中国古动物馆(保定自然博物馆),4.9,30,保定东站/河大新区/保定学院,保定,保定 · 保定东站/河大新区/保定学院,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105e12000ifm6scx3D5F.jpg,https://you.ctrip.com/sight/baoding459/142984460.html?scene=onlinesearch,38.869111,115.570274
知识科普型,博物馆,124906776,北朝考古博物馆,4.4,12,,磁县,磁县,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101y12000ivc1loaA688.jpg,https://you.ctrip.com/sight/cicounty2550/124906776.html?scene=onlinesearch,36.401684,114.356546
知识科普型,博物馆,39070774,承德博物馆,4.6,42,避暑山庄/二仙居商业街,承德,承德 · 避暑山庄/二仙居商业街,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101k12000iqxh43xAC13.jpg,https://you.ctrip.com/sight/chengde135/3254135.html?scene=onlinesearch,41.014369,117.956465
知识科普型,博物馆,124907044,响堂山石窟艺术博物馆,4.8,4,,邯郸,邯郸,,,,"特色展馆, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/0100a120009y1mquxCC0A.jpg,https://you.ctrip.com/sight/handan495/124907044.html?scene=onlinesearch,36.431543,114.203355
知识科普型,博物馆,136624900,邺城考古博物馆,4.8,10,,临漳,临漳,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103v12000jz75urxA59F.jpg,https://you.ctrip.com/sight/linzhang2559/136624900.html?scene=onlinesearch,36.349001,114.601722
