大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,69101874,雷台汉文化博物馆,4.2,49,武威步行街/文庙,武威,武威 · 武威步行街/文庙,武威必打卡景点榜 No.6,,"铜车马仪仗俑, 铜奔马","博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103r12000iijdq2b918F.jpg,https://you.ctrip.com/sight/wuwei290/5603366.html?scene=onlinesearch,37.947754,102.644763
知识科普型,博物馆,77928,甘肃省博物馆,4.6,3803,省博物馆/兰州中心,兰州,兰州 · 省博物馆/兰州中心,2025亚洲100亲子景点,,通过展品了解古丝绸之路,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/100r1f000001gopbzB1AD.jpg,https://you.ctrip.com/sight/lanzhou231/9586.html?scene=onlinesearch,36.072617,103.781212
知识科普型,博物馆,76518,敦煌博物馆,4.7,1160,鸣沙山月牙泉景区,敦煌,敦煌 · 鸣沙山月牙泉景区,甘肃亲子景点榜 No.9,,参观丝绸之路的历史文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103z12000hypobkzFB3B.jpg,https://you.ctrip.com/sight/dunhuang8/4948.html?scene=onlinesearch,40.135414,94.668217
知识科普型,博物馆,75689,阳关景区,4.5,2618,,敦煌,敦煌,甘肃亲子景点榜 No.5,4A,戈壁滩上的千年遗迹,"遛娃宝藏地, 历史建筑",门票,否,https://dimg04.c-ctrip.com/images/1lo1612000hs3704hEAA4.jpg,https://you.ctrip.com/sight/dunhuang8/1562.html?scene=onlinesearch,39.938519,94.064843
知识科普型,博物馆,79437866,武威市博物馆,4.5,32,武威步行街/文庙,武威,武威 · 武威步行街/文庙,,,"王杖诏书令, 中国地方性历史博物馆","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106u120008dgjtddBF7E.jpg,https://you.ctrip.com/sight/wuwei290/5704217.html?scene=onlinesearch,37.948176,102.629374
知识科普型,博物馆,145628901,兰州市博物馆,4.8,8,东方红广场/兰州万象城,兰州,兰州 · 东方红广场/兰州万象城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100x12000ikvi2k1C3AB.jpg,https://you.ctrip.com/sight/lanzhou231/145628901.html?scene=onlinesearch,36.061186,103.840674
知识科普型,博物馆,79437873,张掖市博物馆,4.4,24,大佛寺,张掖,张掖 · 大佛寺,,,"城市综合性博物馆, 祭天金人","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104v12000if3egh22694.jpg,https://you.ctrip.com/sight/zhangye283/5704214.html?scene=onlinesearch,38.935345,100.459122
知识科普型,博物馆,24653264,天水市博物馆,4.5,84,天水古城/兰天城市广场,天水,天水 · 天水古城/兰天城市广场,,,"综合性历史博物馆, 汉代四神狩猎画像砖, 国家一级博物馆","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103e12000iulbx0e5B95.jpg,https://you.ctrip.com/sight/tianshui285/1833925.html?scene=onlinesearch,34.585787,105.712551
知识科普型,博物馆,78390,嘉峪关长城博物馆,4.6,163,,嘉峪关,嘉峪关,,,配备国内先进的设施,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100j1f000001gps3zBDF8.jpg,https://you.ctrip.com/sight/jiayuguan284/11047.html?scene=onlinesearch,39.813355,98.22673
知识科普型,博物馆,84460,武威西夏博物馆,4.6,94,武威步行街/文庙,武威,武威 · 武威步行街/文庙,,,欣赏西夏珍贵文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104912000iivgxff1E93.jpg,https://you.ctrip.com/sight/wuwei290/52333.html?scene=onlinesearch,37.92918,102.650868
知识科普型,博物馆,141205841,甘肃简牍博物馆,4.5,8,奥体中心/兰州老街,兰州,兰州 · 奥体中心/兰州老街,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101z12000iv3z1yl6C35.jpg,https://you.ctrip.com/sight/lanzhou231/141205841.html?scene=onlinesearch,36.083342,103.738296
知识科普型,博物馆,78394,酒泉市博物馆,4.5,68,万达广场/富康购物中心,酒泉,酒泉 · 万达广场/富康购物中心,,,了解酒泉的历史文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102112000ig0fnld9409.jpg,https://you.ctrip.com/sight/jiuquan282/11052.html?scene=onlinesearch,39.74298,98.498982
知识科普型,博物馆,142237682,读者博物馆,4.5,4,东方红广场/兰州万象城,兰州,兰州 · 东方红广场/兰州万象城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107112000o3um21s1EEC.jpg,https://you.ctrip.com/sight/lanzhou231/142237682.html?scene=onlinesearch,36.067131,103.856126
知识科普型,博物馆,24652067,平凉市博物馆,4.2,33,,平凉,平凉,,,"平凉博物馆, 东汉博山神兽纹铜樽","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100h1f000001grsod7DCC.jpg,https://you.ctrip.com/sight/pingliang424/1832848.html?scene=onlinesearch,35.566987,106.621382
知识科普型,博物馆,24650661,嘉峪关城市博物馆,4.6,57,大唐美食街,嘉峪关,嘉峪关 · 大唐美食街,,,了解嘉峪关的历史文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01032120005ax7ypj0566.jpg,https://you.ctrip.com/sight/jiayuguan284/1831546.html?scene=onlinesearch,39.781082,98.295625
