大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,77702,张学良旧居,4.7,31542,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,2025中国100必打卡景点,4A,,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/1lo3b12000holfj0z96D1.jpg,https://you.ctrip.com/sight/shenyang155/9227.html?scene=onlinesearch,41.800211,123.464261
知识科普型,博物馆,77696,沈阳故宫,4.7,32353,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,2025中国100必打卡景点,4A,品味明清宫殿和文物,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0100i12000jn8cd9nE3D8.jpg,https://you.ctrip.com/sight/shenyang155/9216.html?scene=onlinesearch,41.804486,123.462214
知识科普型,博物馆,38963593,爱新觉罗皇家博物院,4.3,12,,法库,法库,,4A,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo2012000lhiv9rhB673.jpg,https://you.ctrip.com/sight/faku2131/3148054.html?scene=onlinesearch,42.33872,123.314792
知识科普型,博物馆,39194924,沈阳故宫博物院-满清一条街,4.5,6,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,,,青墙飞檐的仿古建筑,城市漫步,,否,https://dimg04.c-ctrip.com/images/0101512000ijkxcsq4BAB.jpg,https://you.ctrip.com/sight/shenyang155/3377285.html?scene=onlinesearch,41.803748,123.463397
知识科普型,博物馆,52278778,岁月流痕沈阳故宫博物院院史展,4.3,20,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,,,努尔哈赤的创业史,"特色展馆, 场馆展馆",,否,https://dimg04.c-ctrip.com/images/0104j12000f6rk2mu9EEF.jpg,https://you.ctrip.com/sight/shenyang155/4682314.html?scene=onlinesearch,41.805352,123.460939
知识科普型,博物馆,18687057,沈阳故宫博物院-十王亭,4.5,32,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,,,清初贝勒和大臣议政之处,历史建筑,,否,https://dimg04.c-ctrip.com/images/10020z000000ngpglB71A.jpg,https://you.ctrip.com/sight/shenyang155/1685306.html?scene=onlinesearch,41.804703,123.463558
知识科普型,博物馆,77734,新乐遗址博物馆,4.7,322,北陵公园/省政府,沈阳,沈阳 · 北陵公园/省政府,,,收藏近万件新石器时代遗物,"博物馆&展馆, 场馆展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0102r120008jskj4x0DEA.jpg,https://you.ctrip.com/sight/shenyang155/9265.html?scene=onlinesearch,41.85306,123.422
知识科普型,博物馆,10532785,大连贝壳博物馆,4.6,2427,星海广场/圣亚海洋世界/星海公园,大连,大连 · 星海广场/圣亚海洋世界/星海公园,辽宁亲子景点榜 No.16,,外形形似贝壳的博物馆,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0103112000id2mvz70712.jpg,https://you.ctrip.com/sight/dalian4/56102.html?scene=onlinesearch,38.883931,121.596301
知识科普型,博物馆,77709,辽宁省博物馆,4.9,1618,省博物馆/桃仙机场,沈阳,沈阳 · 省博物馆/桃仙机场,辽宁亲子景点榜 No.6,4A,馆藏众多历史艺术类文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0106v12000hyjy3z123E6.jpg,https://you.ctrip.com/sight/shenyang155/9238.html?scene=onlinesearch,41.684248,123.466951
知识科普型,博物馆,87295,沈阳金融博物馆,4.6,525,中街故宫/小河沿早市,沈阳,沈阳 · 中街故宫/小河沿早市,沈阳亲子景点榜 No.10,,再现东北金融业发展历程,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106g12000ikz97vf7D3A.jpg,https://you.ctrip.com/sight/shenyang155/62948.html?scene=onlinesearch,41.800157,123.465723
知识科普型,博物馆,77703,“九•一八”历史博物馆,0.0,0,九一八/北大营,沈阳,沈阳 · 九一八/北大营,沈阳必打卡景点榜 No.13,4A,,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0100q12000isot34f2A6B.jpg,https://you.ctrip.com/sight/shenyang155/9232.html?scene=onlinesearch,41.842745,123.473965
知识科普型,博物馆,130892955,沈阳博物馆,4.8,2110,人民广场/北市场,沈阳,沈阳 · 人民广场/北市场,辽宁亲子景点榜 No.11,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106912000h4g349q967E.jpg,https://you.ctrip.com/sight/shenyang155/130892955.html?scene=onlinesearch,41.809075,123.443081
知识科普型,博物馆,18355222,旅顺潜艇博物馆,4.4,301,旅顺军港/新玛特/大学城,大连,大连 · 旅顺军港/新玛特/大学城,大连亲子景点榜 No.10,4A,潜艇文化主题博物馆,"展馆展览, 遛娃宝藏地",,否,https://dimg04.c-ctrip.com/images/0100a12000iljy2iw4890.jpg,https://you.ctrip.com/sight/dalian4/1605711.html?scene=onlinesearch,38.800096,121.279384
知识科普型,博物馆,10530503,金石滩生命奥秘博物馆,4.6,124,金石滩国家旅游度假区,大连,大连 · 金石滩国家旅游度假区,,,揭示脊椎动物进化历程,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105712000iuq05bh0497.jpg,https://you.ctrip.com/sight/dalian4/1407214.html?scene=onlinesearch,39.094924,122.015381
知识科普型,博物馆,87683,大连自然博物馆,4.6,330,星海广场/圣亚海洋世界/星海公园,大连,大连 · 星海广场/圣亚海洋世界/星海公园,大连亲子景点榜 No.12,4A,动植物标本和化石非常丰富,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101a12000ifq4vvjFB97.jpg,https://you.ctrip.com/sight/dalian4/64253.html?scene=onlinesearch,38.876747,121.567964
知识科普型,博物馆,90093,中国工业博物馆,4.7,163,铁西广场/体育场,沈阳,沈阳 · 铁西广场/体育场,沈阳亲子景点榜 No.13,4A,了解中国工业文明发展历程,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101l12000ili1q6h633E.jpg,https://you.ctrip.com/sight/shenyang155/78872.html?scene=onlinesearch,41.827849,123.361508
知识科普型,博物馆,87744,旅顺博物馆,4.6,270,旅顺军港/新玛特/大学城,大连,大连 · 旅顺军港/新玛特/大学城,,,馆藏千年新疆干尸,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0103m12000ie785in4E0B.jpg,https://you.ctrip.com/sight/dalian4/64352.html?scene=onlinesearch,38.81479,121.24183
知识科普型,博物馆,87736,日俄监狱旧址博物馆,0.0,0,旅顺军港/新玛特/大学城,大连,大连 · 旅顺军港/新玛特/大学城,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105b12000iqe3zrl841F.jpg,https://you.ctrip.com/sight/dalian4/64344.html?scene=onlinesearch,38.830728,121.272249
