大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,77580,内蒙古博物院,4.6,1761,白塔机场/呼和浩特火车东站,呼和浩特,呼和浩特 · 白塔机场/呼和浩特火车东站,内蒙古亲子景点榜 No.17,4A,观赏草原游牧民族的珍宝,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101h12000iiphv0m5C7F.jpg,https://you.ctrip.com/sight/hohhot156/8960.html?scene=onlinesearch,40.847513,111.771791
知识科普型,博物馆,79438107,赤峰红山文化博物馆,4.7,161,赤峰植物园,赤峰,赤峰 · 赤峰植物园,赤峰亲子景点榜 No.3,,,"博物馆, 博物馆&展馆",免费预约,是,https://dimg04.c-ctrip.com/images/0102i12000ikuonst429D.jpg,https://you.ctrip.com/sight/chifeng483/5704455.html?scene=onlinesearch,42.302705,118.988756
知识科普型,博物馆,111989682,内蒙古博物院(新馆),0.0,0,白塔机场/呼和浩特火车东站,呼和浩特,呼和浩特 · 白塔机场/呼和浩特火车东站,,,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/0104e12000line5qo0012.jpg,https://you.ctrip.com/sight/hohhot156/111989682.html?scene=onlinesearch,40.847287,111.771649
知识科普型,博物馆,101917,昭君博物院,4.3,510,,呼和浩特,呼和浩特,,4A,了解王昭君的生平事迹,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106o12000ie75za6D95D.jpg,https://you.ctrip.com/sight/hohhot156/141373.html?scene=onlinesearch,40.714588,111.690097
知识科普型,博物馆,77581,内蒙古自治区将军衙署博物院,4.5,309,鼓楼/摩尔城/将军衙署,呼和浩特,呼和浩特 · 鼓楼/摩尔城/将军衙署,,,了解绥远城八旗驻防历史,"历史建筑, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106b12000o1atw6qDF5F.jpg,https://you.ctrip.com/sight/hohhot156/8963.html?scene=onlinesearch,40.832547,111.693602
知识科普型,博物馆,79436693,内蒙古河套文化博物院,4.5,11,巴彦淖尔市政府地区,巴彦淖尔,巴彦淖尔 · 巴彦淖尔市政府地区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100i120009e2u4mmE386.jpg,https://you.ctrip.com/sight/bayannur883/5703053.html?scene=onlinesearch,40.744808,107.397746
知识科普型,博物馆,38528302,昭君博物院匈奴文化博物馆,4.8,6,,呼和浩特,呼和浩特,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100x12000b1axs5zB166.jpg,https://you.ctrip.com/sight/hohhot156/2717163.html?scene=onlinesearch,40.712835,111.690179
知识科普型,博物馆,151638925,《宇宙猜想》VR沉浸探索展 - 内蒙古博物院,0.0,0,呼和浩特万达广场/内蒙古国际会展中心,呼和浩特,呼和浩特 · 呼和浩特万达广场/内蒙古国际会展中心,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0105m12000l4nc9jgFBE4.webp,https://you.ctrip.com/sight/hohhot156/151638925.html?scene=onlinesearch,40.84585,111.744866
知识科普型,博物馆,67631725,内蒙古红山文化博物院,4.3,4,,敖汉旗,敖汉旗,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100d12000aao48ni4942.jpg,https://you.ctrip.com/sight/aohanbanner1446343/67631725.html?scene=onlinesearch,42.295184,119.918061
知识科普型,博物馆,13407599,中国温泉博物馆,4.3,193,阿尔山站/海神圣泉旅游度假区,阿尔山,阿尔山 · 阿尔山站/海神圣泉旅游度假区,内蒙古温泉景点榜 No.1,,天然温泉,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105h12000f6tvsuf2B8A.jpg,https://you.ctrip.com/sight/arxan120084/1412114.html?scene=onlinesearch,47.172509,119.955821
知识科普型,博物馆,134077434,呼伦贝尔历史博物馆,4.8,14,成吉思汗广场/民族博物院,呼伦贝尔,呼伦贝尔 · 成吉思汗广场/民族博物院,呼伦贝尔亲子景点榜 No.12,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106412000f284w7j12ED.jpg,https://you.ctrip.com/sight/hulunbuir458/134077434.html?scene=onlinesearch,49.19651,119.776977
知识科普型,博物馆,24649573,鄂尔多斯博物馆,4.7,96,音乐喷泉广场/市政区地区,鄂尔多斯,鄂尔多斯 · 音乐喷泉广场/市政区地区,鄂尔多斯亲子景点榜 No.7,,鄂尔多斯七大文化建筑之一,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101f12000if3wqjzB485.jpg,https://you.ctrip.com/sight/ordos600/1830363.html?scene=onlinesearch,39.607392,109.790705
知识科普型,博物馆,145186490,辽代历史文化博物馆,4.3,8,赤峰学院/万达广场,赤峰,赤峰 · 赤峰学院/万达广场,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101912000ipx55eq90E3.jpg,https://you.ctrip.com/sight/chifeng483/145186490.html?scene=onlinesearch,42.24434,118.911359
知识科普型,博物馆,38333261,呼和浩特博物馆,4.7,60,呼和浩特站/海亮广场/新华广场,呼和浩特,呼和浩特 · 呼和浩特站/海亮广场/新华广场,呼和浩特亲子景点榜 No.10,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102712000iec3kpk5250.jpg,https://you.ctrip.com/sight/hohhot156/2524022.html?scene=onlinesearch,40.828183,111.682839
知识科普型,博物馆,24654687,克什克腾旗博物馆,4.7,23,,克什克腾旗,克什克腾旗,,,国内外重要的科普教育基地,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101f120008ab39gv1C10.jpg,https://you.ctrip.com/sight/hexigtenbanner2971/1835523.html?scene=onlinesearch,43.270577,117.549132
知识科普型,博物馆,38510957,乌兰察布博物馆,4.6,21,万达广场/市政府,乌兰察布,乌兰察布 · 万达广场/市政府,,,丰富文物，乌兰察布博物馆的珍贵藏品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103n12000f6pv9va04CE.jpg,https://you.ctrip.com/sight/ulanqab1358/2699818.html?scene=onlinesearch,40.9964,113.142918
知识科普型,博物馆,10758907,伊金霍洛旗郡王府博物馆,4.7,44,太阳城/国泰广场CBD,伊金霍洛旗,伊金霍洛旗 · 太阳城/国泰广场CBD,,,现存较为完整的府都,"历史建筑, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103m12000o1tskep3AA8.jpg,https://you.ctrip.com/sight/ejinhorobanner2966/135159.html?scene=onlinesearch,39.576631,109.748882
知识科普型,博物馆,10520663,包头博物馆,4.7,139,稀土高新区,包头,包头 · 稀土高新区,,,了解包头发展进程,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/10021f000001gxexs20DF.jpg,https://you.ctrip.com/sight/baotou347/144732.html?scene=onlinesearch,40.647773,109.847073
知识科普型,博物馆,51813270,内蒙古自然博物馆,4.8,20,内蒙古医院/内大北校区/农大/师大,呼和浩特,呼和浩特 · 内蒙古医院/内大北校区/农大/师大,,,了解内蒙古的地大物博和悠久历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103312000iunkj7v5AD2.jpg,https://you.ctrip.com/sight/hohhot156/4610016.html?scene=onlinesearch,40.804811,111.721955
知识科普型,博物馆,18558344,满洲里博物馆(南三道店),4.4,49,,满洲里,满洲里,,,保存完好的俄式建筑群,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100g1f000001gr00r3FAC.jpg,https://you.ctrip.com/sight/manzhouli319/1678893.html?scene=onlinesearch,49.587741,117.45635
知识科普型,博物馆,22836333,锡林郭勒博物馆,4.5,76,锡林浩特火车站,锡林浩特,锡林浩特 · 锡林浩特火车站,,,藏品丰富，领略蒙元文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101g12000ifxcr1mEBC0.jpg,https://you.ctrip.com/sight/xilinhot1373/1710001.html?scene=onlinesearch,43.934573,116.05934
知识科普型,博物馆,30396562,通辽市博物馆,4.7,59,通辽万达广场,通辽,通辽 · 通辽万达广场,,,"观赏文物,了解科尔沁历史, 值得参观","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104o12000kq4oiue91CF.jpg,https://you.ctrip.com/sight/tongliao885/1983228.html?scene=onlinesearch,43.631704,122.278677
知识科普型,博物馆,18569614,扎赉诺尔博物馆,4.0,53,扎赉诺尔城区商圈,呼伦贝尔,呼伦贝尔 · 扎赉诺尔城区商圈,,,馆藏有猛犸象的巨型化石,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1A0n1900000163irf019A.jpg,https://you.ctrip.com/sight/hulunbuir458/1680061.html?scene=onlinesearch,49.511303,117.677413
