大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,77633779,宁夏地质博物馆,4.8,575,宁夏博物馆/市中心,银川,银川 · 宁夏博物馆/市中心,宁夏亲子景点榜 No.10,,第四批国家二级博物馆,"展馆展览, 遛娃宝藏地",免费预约,是,https://dimg04.c-ctrip.com/images/350c1a00000199ti270CB.jpg,https://you.ctrip.com/sight/yinchuan239/5681469.html?scene=onlinesearch,38.505148,106.242679
知识科普型,博物馆,56810059,西夏陵博物馆,4.5,127,,银川,银川,,,全面系统反映西夏历史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1lo6p12000fa93vt5D7B8.jpg,https://you.ctrip.com/sight/yinchuan239/5073308.html?scene=onlinesearch,38.447841,106.024401
知识科普型,博物馆,10522941,宁夏博物馆,4.6,691,宁夏博物馆/市中心,银川,银川 · 宁夏博物馆/市中心,宁夏亲子景点榜 No.6,,观赏宁夏岩画与其它文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0105z12000iix85dd1848.jpg,https://you.ctrip.com/sight/yinchuan239/147000.html?scene=onlinesearch,38.490741,106.241639
知识科普型,博物馆,15004581,宁夏枸杞博物馆,4.9,211,,贺兰,贺兰,宁夏亲子景点榜 No.16,,"国家AAA级旅游景区, 中华枸杞文化","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102f12000iqg6qkc40B4.jpg,https://you.ctrip.com/sight/helan2119/1478788.html?scene=onlinesearch,38.529905,106.321205
知识科普型,博物馆,88966,固原博物馆,4.7,153,,固原,固原,,4A,国家重要博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103z12000ifo9u8m1700.jpg,https://you.ctrip.com/sight/guyuan888/72246.html?scene=onlinesearch,36.011358,106.282694
知识科普型,博物馆,79437942,水洞沟遗址博物馆,4.5,25,,灵武,灵武,,,,"历史建筑, 博物馆",,否,https://dimg04.c-ctrip.com/images/0100h12000f6rqf714FAD.jpg,https://you.ctrip.com/sight/lingwu2323/5704303.html?scene=onlinesearch,38.289848,106.527374
知识科普型,博物馆,145683286,贺兰山东麓国际葡萄酒博物馆,2.0,2,览山公园/阅彩城,银川,银川 · 览山公园/阅彩城,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1me0812000hs79igc6F16.jpg,https://you.ctrip.com/sight/yinchuan239/145683286.html?scene=onlinesearch,38.5241,106.241316
知识科普型,博物馆,38500141,中卫博物馆,4.1,12,,中卫,中卫,,,馆藏珍品有角柱石浮雕、清代石碑等,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102h12000b09qegmF889.jpg,https://you.ctrip.com/sight/zhongwei1184/2689202.html?scene=onlinesearch,37.506267,105.18472
知识科普型,博物馆,39475120,吴忠市博物馆,3.8,6,,吴忠,吴忠,,,"吴忠溯源, 锦绣吴忠, 综合性地市级博物馆","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102c12000bts3qiz350D.jpg,https://you.ctrip.com/sight/wuzhong890/3655081.html?scene=onlinesearch,37.994891,106.164957
知识科普型,博物馆,71416548,宁夏湿地博物馆,4.9,18,,平罗,平罗,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/350r170000012z7sb5EA0.jpg,https://you.ctrip.com/sight/pingluo2102/5629367.html?scene=onlinesearch,38.806151,106.372215
知识科普型,博物馆,79436554,石嘴山市博物馆,4.3,3,,石嘴山,石嘴山,,,国家三级博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105f120008hpehqt60A2.jpg,https://you.ctrip.com/sight/shizuishan889/5702915.html?scene=onlinesearch,38.995312,106.37801
知识科普型,博物馆,79439066,海原地震博物馆,5.0,2,,海原,海原,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01057120009e0xikf3A42.jpg,https://you.ctrip.com/sight/haiyuan2325/5705424.html?scene=onlinesearch,36.551025,105.668516
