大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,79936302,古风博物院,0.0,0,,独山,独山,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103612000cvia7oa7B05.jpg,https://you.ctrip.com/sight/dushan2354/79936302.html?scene=onlinesearch,25.825483,107.545218
知识科普型,博物馆,13656599,贵州省博物馆,4.5,383,观山湖会展城/金融城,贵阳,贵阳 · 观山湖会展城/金融城,贵州亲子景点榜 No.10,,珍藏大量当地历史民俗文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0100112000hzop1wh01FF.jpg,https://you.ctrip.com/sight/guiyang33/1416591.html?scene=onlinesearch,26.652947,106.649613
知识科普型,博物馆,38956675,贵州省地质博物馆,4.1,25,观山湖世纪城/地质博物馆,贵阳,贵阳 · 观山湖世纪城/地质博物馆,贵阳亲子景点榜 No.14,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103c12000idgil7034EC.jpg,https://you.ctrip.com/sight/guiyang33/3141236.html?scene=onlinesearch,26.62867,106.613492
知识科普型,博物馆,10538184,贵州省民族博物馆,4.4,146,河滨公园/甲秀楼/筑城广场,贵阳,贵阳 · 河滨公园/甲秀楼/筑城广场,,,少数民族服饰工艺品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101a12000ifup6nrEDA2.jpg,https://you.ctrip.com/sight/guiyang33/120566.html?scene=onlinesearch,26.574244,106.719404
知识科普型,博物馆,148913828,贵州省坝陵河桥梁博物馆,4.9,7,黄果树瀑布,关岭,关岭 · 黄果树瀑布,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1lo0812000iwtu6siA24E.png,https://you.ctrip.com/sight/guanling1446303/148913828.html?scene=onlinesearch,25.966414,105.646059
知识科普型,博物馆,24654883,遵义市博物馆,4.6,44,苏州路/时代天街,遵义,遵义 · 苏州路/时代天街,,,"文物和自然标本, 非盈利性","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104712000o2zgbzz5A52.jpg,https://you.ctrip.com/sight/zunyi204/1835500.html?scene=onlinesearch,27.728891,106.934512
知识科普型,博物馆,95972,西江苗族博物馆,4.4,245,,雷山,雷山,,,了解西江地区苗族传统文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100q0z000000n3qew40D9.jpg,https://you.ctrip.com/sight/leishan2345/134048.html?scene=onlinesearch,26.498618,108.180577
知识科普型,博物馆,51546491,织金洞地质博物馆,4.7,16,,织金,织金,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102d12000nvvrf7d706C.jpg,https://you.ctrip.com/sight/zhijin2362/4554100.html?scene=onlinesearch,26.776523,105.890045
知识科普型,博物馆,93783,兴义贵州龙地质公园博物馆,4.7,10,,兴义,兴义,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102b12000axbde7274A0.jpg,https://you.ctrip.com/sight/xingyi519/128855.html?scene=onlinesearch,25.143192,104.800984
知识科普型,博物馆,71538659,荔波颠倒博物馆,5.0,3,小七孔东门及大七孔景区,荔波,荔波 · 小七孔东门及大七孔景区,,,,"特色展馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104912000f6ugcje34CF.jpg,https://you.ctrip.com/sight/libo659/5639373.html?scene=onlinesearch,25.285422,107.767229
知识科普型,博物馆,144189181,镇远县博物馆,5.0,4,,镇远,镇远,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1mh6g12000h4vz1nt9028.jpg,https://you.ctrip.com/sight/zhenyuan1840/144189181.html?scene=onlinesearch,27.054813,108.436819
知识科普型,博物馆,51546364,都匀三线博物馆,4.8,14,,都匀,都匀,,,展示都匀三线建设历史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106w120009dgjanl6C96.jpg,https://you.ctrip.com/sight/duyun678/4554020.html?scene=onlinesearch,26.310606,107.516072
知识科普型,博物馆,152854555,《何以文明》中华古遗址探秘展 - 贵阳博物馆站,0.0,0,观山湖会展城/金融城,贵阳,贵阳 · 观山湖会展城/金融城,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0105l12000mwwx9dq72A5.png,https://you.ctrip.com/sight/guiyang33/152854555.html?scene=onlinesearch,26.652947,106.649613
知识科普型,博物馆,80943,奢香博物馆,4.4,64,,大方,大方,,,馆内收藏了大量彝文古籍,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01048120009ddrrqx49A9.jpg,https://you.ctrip.com/sight/dafang2348/22026.html?scene=onlinesearch,27.163087,105.613304
知识科普型,博物馆,36855376,安顺蜡染博物馆,4.2,12,,安顺,安顺,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101u12000f6spbadBCF8.jpg,https://you.ctrip.com/sight/anshun518/2517031.html?scene=onlinesearch,26.24692,105.925348
知识科普型,博物馆,39265437,贵州三线建设博物馆,0.0,10,水城古镇,六盘水,六盘水 · 水城古镇,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105912000f6qo4khA95A.jpg,https://you.ctrip.com/sight/liupanshui679/3447098.html?scene=onlinesearch,26.58095,104.884402
知识科普型,博物馆,79438903,黔西南州博物馆新馆,4.4,11,桔山广场/兴义梦乐城,兴义,兴义 · 桔山广场/兴义梦乐城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100b12000iohhkny497B.jpg,https://you.ctrip.com/sight/xingyi519/5705263.html?scene=onlinesearch,25.108478,104.924486
知识科普型,博物馆,61937300,贵阳恋爱博物馆,4.3,65,花果园地区,贵阳,贵阳 · 花果园地区,,,看恋爱故事，品人生百味,"特色展馆, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/350c15000000y671lB421.jpg,https://you.ctrip.com/sight/guiyang33/5545450.html?scene=onlinesearch,26.566923,106.688466
