大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,97413,宁波博物院,4.5,827,罗蒙环球乐园/南部商务区,宁波,宁波 · 罗蒙环球乐园/南部商务区,宁波亲子景点榜 No.5,4A,建筑造型前卫的博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105n12000ilb4uju5912.jpg,https://you.ctrip.com/sight/ningbo83/135773.html?scene=onlinesearch,29.821177,121.55149
知识科普型,博物馆,78087,天一阁博物院,4.7,12221,天一广场/鼓楼,宁波,宁波 · 天一广场/鼓楼,2025中国100亲子景点,5A,古老的私人藏书楼,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/1lo4e12000j5ijxnhE969.jpg,https://you.ctrip.com/sight/ningbo83/9964.html?scene=onlinesearch,29.877255,121.546467
知识科普型,博物馆,97285,保国寺古建筑博物馆,4.8,650,,宁波,宁波,宁波亲子景点榜 No.9,4A,赏千年前的精湛建筑工艺,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/350l0x000000l6vyh048C.jpg,https://you.ctrip.com/sight/ningbo83/135640.html?scene=onlinesearch,29.986143,121.527795
知识科普型,博物馆,10519797,浙江自然博物院(杭州馆),4.5,351,武林广场附近,杭州,杭州 · 武林广场附近,,,阐释人与自然和谐发展,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102x120009heds90AEFC.jpg,https://you.ctrip.com/sight/hangzhou14/143866.html?scene=onlinesearch,30.282776,120.171185
知识科普型,博物馆,141029950,浙江省博物馆(之江馆区),4.7,577,宋城/转塘/之江休闲度假区,杭州,杭州 · 宋城/转塘/之江休闲度假区,杭州亲子景点榜 No.3,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0105712000i0jdptn589C.jpg,https://you.ctrip.com/sight/hangzhou14/141029950.html?scene=onlinesearch,30.165878,120.108219
知识科普型,博物馆,76289,良渚博物院,4.8,302,良渚文化村周边,杭州,杭州 · 良渚文化村周边,,4A,赏精美玉器，体验良渚文化,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0104d12000ilbt21u9BBE.jpg,https://you.ctrip.com/sight/hangzhou14/4080.html?scene=onlinesearch,30.383359,120.034566
知识科普型,博物馆,61459158,千岛湖啤酒博物院,4.7,620,千岛湖东南湖区,淳安,淳安 · 千岛湖东南湖区,,,了解啤酒工艺、历史和文化,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/100w1f000001gw9fxE74C.jpg,https://you.ctrip.com/sight/chunan2249/5379343.html?scene=onlinesearch,29.615536,119.1545
知识科普型,博物馆,77460268,浙江自然博物院(安吉馆),4.5,50,中南百草原/自然博物院,安吉,安吉 · 中南百草原/自然博物院,,4A,看恐龙遗迹 ，探神奇地质,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105n12000iumx9oj9FD4.jpg,https://you.ctrip.com/sight/anji686/5678341.html?scene=onlinesearch,30.675611,119.652988
知识科普型,博物馆,111989376,欧诗漫珍珠博物院,4.0,8,,德清,德清,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106i12000dqm8td23A95.jpg,https://you.ctrip.com/sight/deqing1011/111989376.html?scene=onlinesearch,30.570153,120.012974
知识科普型,博物馆,151639412,《重返侏罗纪》《熊猫的世界》宁波博物院首个VR沉浸探索展,0.0,0,罗蒙环球乐园/南部商务区,宁波,宁波 · 罗蒙环球乐园/南部商务区,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0100v12000l55guc55C30.png,https://you.ctrip.com/sight/ningbo83/151639412.html?scene=onlinesearch,29.821177,121.55149
