大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,10558772,南京市博物馆(朝天宫),4.6,1839,新街口地区/总统府,南京,南京 · 新街口地区/总统府,南京亲子景点榜 No.7,4A,红墙黄瓦的清代文庙,"历史建筑, 博物馆",门票,否,https://dimg04.c-ctrip.com/images/1lo6j12000der785zF57F.jpg,https://you.ctrip.com/sight/nanjing9/18087.html?scene=onlinesearch,32.03921,118.781468
知识科普型,博物馆,79575,徐州博物馆,4.6,1405,彭城广场/户部山,徐州,徐州 · 彭城广场/户部山,江苏亲子景点榜 No.9,4A,是博物馆也是乾隆南巡行宫,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102h12000i04xaza31B3.jpg,https://you.ctrip.com/sight/xuzhou230/17383.html?scene=onlinesearch,34.256792,117.193304
知识科普型,博物馆,77292,中国宜兴陶瓷博物馆,4.5,486,陶都陶瓷艺术博览中心,宜兴,宜兴 · 陶都陶瓷艺术博览中心,无锡亲子景点榜 No.6,4A,欣赏各种珍贵陶瓷制品,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0101212000iqwwl0zA5AC.jpg,https://you.ctrip.com/sight/yixing227/8511.html?scene=onlinesearch,31.265175,119.837036
知识科普型,博物馆,93268,中国漕运博物馆,4.4,775,河下古镇/周总理纪念馆,淮安,淮安 · 河下古镇/周总理纪念馆,淮安亲子景点榜 No.4,4A,了解中国漕运的历史,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0104312000ikwuj4g42E7.jpg,https://you.ctrip.com/sight/huaian351/125601.html?scene=onlinesearch,33.513448,119.151452
知识科普型,博物馆,10770621,江宁织造博物馆,4.5,2490,新街口地区/总统府,南京,南京 · 新街口地区/总统府,南京亲子景点榜 No.10,,探寻江南云锦欣赏珍贵文物,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0100712000iislen07EB8.jpg,https://you.ctrip.com/sight/nanjing9/20364.html?scene=onlinesearch,32.04845,118.800474
知识科普型,博物馆,80549,南京博物院,4.6,3402,明故宫/南京博物院地区,南京,南京 · 明故宫/南京博物院地区,2025中国100亲子景点,4A,赏镇院之宝明鎏金藏式佛塔,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103e12000hykpqtoB370.jpg,https://you.ctrip.com/sight/nanjing9/19519.html?scene=onlinesearch,32.046772,118.83165
知识科普型,博物馆,10530243,汉广陵王墓博物馆,4.6,1859,瘦西湖风景区,扬州,扬州 · 瘦西湖风景区,扬州必打卡景点榜 No.8,4A,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0101o12000ikm54n115B1.jpg,https://you.ctrip.com/sight/yangzhou12/142005.html?scene=onlinesearch,32.430752,119.437058
知识科普型,博物馆,91492,中国科举博物馆(江南贡院),4.7,5661,夫子庙景区/秦淮河风光带,南京,南京 · 夫子庙景区/秦淮河风光带,江苏亲子景点榜 No.18,,中国古代的科举考场,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/10011f000001h36y0B4DC.jpg,https://you.ctrip.com/sight/nanjing9/109950.html?scene=onlinesearch,32.027359,118.797057
知识科普型,博物馆,75704,太平天国历史博物馆(瞻园),4.6,6077,夫子庙景区/秦淮河风光带,南京,南京 · 夫子庙景区/秦淮河风光带,,,赏古老园林和珍贵文物,"遛娃宝藏地, 园林花园",门票,否,https://dimg04.c-ctrip.com/images/0104l12000hzc69cl4EA8.jpg,https://you.ctrip.com/sight/nanjing9/1665.html?scene=onlinesearch,32.027335,118.791517
知识科普型,博物馆,86783,无锡博物院,4.4,271,南长街/南禅寺/清名桥古运河景区,无锡,无锡 · 南长街/南禅寺/清名桥古运河景区,,4A,看紫砂壶等无锡特色展品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106012000ieuj00xF02C.jpg,https://you.ctrip.com/sight/wuxi10/61429.html?scene=onlinesearch,31.55558,120.312697
知识科普型,博物馆,15009231,六朝博物馆,4.6,4244,新街口地区/总统府,南京,南京 · 新街口地区/总统府,江苏亲子景点榜 No.10,,反映六朝文化的专题博物馆,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0105112000hyom9rm1DDA.jpg,https://you.ctrip.com/sight/nanjing9/1479107.html?scene=onlinesearch,32.049002,118.805928
知识科普型,博物馆,80007577,南京博物院-民国馆,4.9,7,明故宫/南京博物院地区,南京,南京 · 明故宫/南京博物院地区,,,,"特色展馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101912000a50posg2C93.jpg,https://you.ctrip.com/sight/nanjing9/80007577.html?scene=onlinesearch,32.046565,118.831244
知识科普型,博物馆,152851699,《紫垣华彩》故宫博物院馆藏清宫服饰与织绣文物展,0.0,0,石路/山塘街,苏州,苏州 · 石路/山塘街,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0104l12000mtzllj5E8B0.png,https://you.ctrip.com/sight/suzhou11/152851699.html?scene=onlinesearch,31.329038,120.624708
知识科普型,博物馆,149824892,南京博物院《镇护天下》藏金兽特展,0.0,0,明故宫/南京博物院地区,南京,南京 · 明故宫/南京博物院地区,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0106f12000hrejygaFBDD.png,https://you.ctrip.com/sight/nanjing9/149824892.html?scene=onlinesearch,32.046772,118.83165
知识科普型,博物馆,144230346,南京博物院艺-特展馆,0.0,0,明故宫/南京博物院地区,南京,南京 · 明故宫/南京博物院地区,,,,,,否,https://dimg04.c-ctrip.com/images/0102y12000ly8fski324D.jpg,https://you.ctrip.com/sight/nanjing9/144230346.html?scene=onlinesearch,32.048054,118.831255
