大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,79438700,盘龙城遗址博物院,4.9,8,天河机场/盘龙城,武汉,武汉 · 天河机场/盘龙城,,,,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0102f12000f6s1c05455A.jpg,https://you.ctrip.com/sight/wuhan145/5705090.html?scene=onlinesearch,30.703937,114.269813
知识科普型,博物馆,22993026,武汉园博园(武汉自然博物馆),4.6,5627,汉口火车站/泛海CBD/园博园,武汉,武汉 · 汉口火车站/泛海CBD/园博园,武汉亲子景点榜 No.8,,欣赏全国各地园林之美,"遛娃宝藏地, 公园&植物园",门票,否,https://dimg04.c-ctrip.com/images/1lo3t12000mswfq9e523E.jpg,https://you.ctrip.com/sight/wuhan145/1739990.html?scene=onlinesearch,30.629987,114.224544
知识科普型,博物馆,96742,荆州博物馆,4.7,2267,荆州古城/万达广场商圈,荆州,荆州 · 荆州古城/万达广场商圈,湖北亲子景点榜 No.18,4A,拥有众多工艺精湛的文物,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101b12000hzihy5d49C4.jpg,https://you.ctrip.com/sight/jingzhou413/134921.html?scene=onlinesearch,30.359669,112.186567
知识科普型,博物馆,77591,湖北省博物馆,4.9,6265,楚河汉街/东湖风景区/省博物馆,武汉,武汉 · 楚河汉街/东湖风景区/省博物馆,2025亚洲100亲子景点,,看镇馆之宝感受古楚文化,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/100s1f000001gx5wcC0A8.jpg,https://you.ctrip.com/sight/wuhan145/8977.html?scene=onlinesearch,30.567828,114.371879
知识科普型,博物馆,10523010,辛亥革命博物馆,0.0,292,黄鹤楼/粮道街/武昌火车站,武汉,武汉 · 黄鹤楼/粮道街/武昌火车站,,,了解辛亥革命的历史,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0101w120008hwqsry7F62.jpg,https://you.ctrip.com/sight/wuhan145/147069.html?scene=onlinesearch,30.542703,114.312357
知识科普型,博物馆,145324036,三峡移民博物馆,4.8,11,,秭归,秭归,长江三峡亲子景点榜 No.6,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106w12000iftgeai21B9.jpg,https://you.ctrip.com/sight/zigui2726/145324036.html?scene=onlinesearch,30.84678,110.984971
知识科普型,博物馆,24654185,宜昌博物馆,4.7,152,宜昌东站/五一广场,宜昌,宜昌 · 宜昌东站/五一广场,宜昌亲子景点榜 No.9,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105h120009419exp0EA3.jpg,https://you.ctrip.com/sight/yichang313/1834924.html?scene=onlinesearch,30.63972,111.386891
知识科普型,博物馆,83522,武汉博物馆,4.7,375,汉口火车站/泛海CBD/园博园,武汉,武汉 · 汉口火车站/泛海CBD/园博园,,4A,了解武汉千年历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104m120008bxrwdh306F.jpg,https://you.ctrip.com/sight/wuhan145/50959.html?scene=onlinesearch,30.617637,114.26293
知识科普型,博物馆,18086967,江汉关博物馆,4.7,221,江汉路/汉口江滩,武汉,武汉 · 江汉路/汉口江滩,,,武汉市的地标之一,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/010611200095do68u0BB2.jpg,https://you.ctrip.com/sight/wuhan145/1489369.html?scene=onlinesearch,30.581695,114.30403
知识科普型,博物馆,145243870,襄阳博物馆(新馆),4.6,49,襄阳古城/盛世唐城,襄阳,襄阳 · 襄阳古城/盛世唐城,,,馆藏珍贵的青铜器,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100p12000izk3udf0247.jpg,https://you.ctrip.com/sight/xiangyang414/145243870.html?scene=onlinesearch,31.998048,112.17551
