大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,18593944,安徽博物院(新馆),4.6,1176,奥体中心/天鹅湖,合肥,合肥 · 奥体中心/天鹅湖,安徽亲子景点榜 No.5,4A,体现厚重的文化历史,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101d12000i0lcehi93EF.jpg,https://you.ctrip.com/sight/hefei196/1682342.html?scene=onlinesearch,31.808271,117.227043
知识科普型,博物馆,152854333,《寿春楚歌》安徽博物院首创XR沉浸探索体验展,0.0,0,奥体中心/天鹅湖,合肥,合肥 · 奥体中心/天鹅湖,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0101p12000mwj190qBB90.png,https://you.ctrip.com/sight/hefei196/152854333.html?scene=onlinesearch,31.808271,117.227043
知识科普型,博物馆,38346643,安徽省文化博物园,5.0,1,奥体中心/天鹅湖,合肥,合肥 · 奥体中心/天鹅湖,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102312000a0gth4f523F.jpg,https://you.ctrip.com/sight/hefei196/2537204.html?scene=onlinesearch,31.808291,117.227011
知识科普型,博物馆,18593952,安徽省地质博物馆,4.7,131,奥体中心/天鹅湖,合肥,合肥 · 奥体中心/天鹅湖,,,新馆设有六个常设展厅,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101y12000ir6tvjwA225.jpg,https://you.ctrip.com/sight/hefei196/1682361.html?scene=onlinesearch,31.809446,117.2283
知识科普型,博物馆,78370,安徽省博物馆老馆,4.7,557,淮河路步行街/三孝口,合肥,合肥 · 淮河路步行街/三孝口,,4A,展示安徽的历史文化亮点,"遛娃宝藏地, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0105x12000iv9a36nD20D.jpg,https://you.ctrip.com/sight/hefei196/10964.html?scene=onlinesearch,31.869392,117.281655
知识科普型,博物馆,13599536,安徽楚文化博物馆,4.6,354,,寿县,寿县,,,侧重收藏楚文化体系文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100612000k3au0h60196.jpg,https://you.ctrip.com/sight/shoucounty2628/1415847.html?scene=onlinesearch,32.569898,116.808342
知识科普型,博物馆,56775289,中国徽州文化博物馆,4.8,61,,黄山,黄山,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102a12000isnh6uk280B.jpg,https://you.ctrip.com/sight/huangshan120061/5063393.html?scene=onlinesearch,29.723674,118.280914
知识科普型,博物馆,69217612,宣纸博物馆,4.5,15,,泾县,泾县,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103h12000iil7xrdF46A.jpg,https://you.ctrip.com/sight/jingcounty2616/69217612.html?scene=onlinesearch,30.571402,118.457601
知识科普型,博物馆,51918461,安庆博物馆,4.6,15,,安庆,安庆,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104q12000igpnqzaD595.jpg,https://you.ctrip.com/sight/anqing179/4626701.html?scene=onlinesearch,30.543926,117.128408
知识科普型,博物馆,24654013,宣城市博物馆,4.4,42,万达广场/宛陵湖景区,宣城,宣城 · 万达广场/宛陵湖景区,,,再现宣城悠久的历史和灿烂的文明,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100g120008e28uk46522.jpg,https://you.ctrip.com/sight/xuancheng504/1834804.html?scene=onlinesearch,30.934351,118.768193
知识科普型,博物馆,24649742,阜阳博物馆,4.4,50,颍州城区,阜阳,阜阳 · 颍州城区,,,藏品以地方历史文物为主,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104d12000f6qmr0x9E7D.jpg,https://you.ctrip.com/sight/fuyang361/1830610.html?scene=onlinesearch,32.895431,115.826166
知识科普型,博物馆,23426322,芜湖市博物馆,4.5,77,,芜湖,芜湖,,,回顾芜湖市百万年的历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100y12000ny430lxB224.jpg,https://you.ctrip.com/sight/wuhu457/1753536.html?scene=onlinesearch,31.355426,118.437298
知识科普型,博物馆,134773365,安徽徽州历史博物馆,5.0,3,徽州古城/歙县,歙县,歙县 · 徽州古城/歙县,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105512000f6tkcdlA30A.jpg,https://you.ctrip.com/sight/shecounty527/134773365.html?scene=onlinesearch,29.870254,118.442179
知识科普型,博物馆,79452,潜口民宅博物馆,4.4,79,唐模/棠樾牌坊群,黄山,黄山 · 唐模/棠樾牌坊群,,,徽派古建筑的聚集地,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100q1f000001grjm1EA85.jpg,https://you.ctrip.com/sight/huangshan120061/17000.html?scene=onlinesearch,29.874528,118.300764
知识科普型,博物馆,79436996,滁州博物馆,4.1,33,琅琊山度假区,滁州,滁州 · 琅琊山度假区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102y12000f6qg1bq4455.jpg,https://you.ctrip.com/sight/chuzhou228/5703309.html?scene=onlinesearch,32.261165,118.338038
知识科普型,博物馆,38954515,皖西博物馆,4.7,58,六安火车站/市政务中心/南湖湿地公园,六安,六安 · 六安火车站/市政务中心/南湖湿地公园,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107412000kshrqnhD1DA.jpg,https://you.ctrip.com/sight/luan502/3139176.html?scene=onlinesearch,31.744241,116.53096
知识科普型,博物馆,13662561,亳州博物馆,4.3,220,,亳州,亳州,,4A,展示城市历史文化演变过程,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103b12000f6shqob4A99.jpg,https://you.ctrip.com/sight/bozhou404/1416924.html?scene=onlinesearch,33.855452,115.79059
知识科普型,博物馆,24653336,铜陵博物馆,4.9,100,,铜陵,铜陵,,4A,铜文化与铜矿冶炼史为特色,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100d12000f6ri49s2CC3.jpg,https://you.ctrip.com/sight/tongling472/1834172.html?scene=onlinesearch,30.985865,117.874274
知识科普型,博物馆,24650451,淮北市博物馆,4.7,73,,淮北,淮北,,,文物丰富，重现淮北历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100x120009cnbmwtC8F5.jpg,https://you.ctrip.com/sight/huaibei657/1831332.html?scene=onlinesearch,33.957737,116.805137
