大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,80595,台北故宫博物院,4.8,8930,台北故宫,台北,台北 · 台北故宫,台湾必打卡景点榜 No.1,,集中华文物之大成和精髓,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/fd/tg/g4/M01/72/7D/CggYHFY7F7iAF6-bAAtq3wFHDJY069.jpg,https://you.ctrip.com/sight/taipei360/19884.html?scene=onlinesearch,25.105803,121.558758
知识科普型,博物馆,24239609,故宫博物院南部院区 亚洲艺术文化博物馆,4.8,96,,嘉义县,嘉义县,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100g0q000000gc5zb8981.jpg,https://you.ctrip.com/sight/chiayicounty3182/1812491.html?scene=onlinesearch,23.476273,120.303267
知识科普型,博物馆,23866568,国立故宫博物院图书馆,4.8,45,台北故宫,台北,台北 · 台北故宫,,,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/100m0r000000hm7ygCAB0.jpg,https://you.ctrip.com/sight/taipei360/1788452.html?scene=onlinesearch,25.101374,121.559645
知识科普型,博物馆,56809257,国立故宫博物院儿童学艺中心,5.0,4,台北故宫,台北,台北 · 台北故宫,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0HJ1r12000gfa6ib1910A.jpg,https://you.ctrip.com/sight/taipei360/5072506.html?scene=onlinesearch,25.105536,121.558609
知识科普型,博物馆,10520704,袖珍博物馆,4.7,563,松江南京商圈,台北,台北 · 松江南京商圈,台湾亲子景点榜 No.11,,袖珍展品精雕细琢栩栩如生,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/100u1f000001gqamj946C.jpg,https://you.ctrip.com/sight/taipei360/144773.html?scene=onlinesearch,25.053729,121.54635
知识科普型,博物馆,10520764,台湾博物馆,4.8,199,西门町商圈,台北,台北 · 西门町商圈,台湾亲子景点榜 No.6,,来馆必看三大镇馆之宝,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104l12000ilai3qv1709.jpg,https://you.ctrip.com/sight/taipei360/144833.html?scene=onlinesearch,25.045773,121.525556
知识科普型,博物馆,23030093,台湾自然科学博物馆,4.8,180,绿园道/草悟道,台中,台中 · 绿园道/草悟道,,,,"科技馆, 博物馆",门市价,否,https://dimg04.c-ctrip.com/images/0106q12000iqdvoom6057.jpg,https://you.ctrip.com/sight/taichung1369/1744995.html?scene=onlinesearch,24.160108,120.676379
知识科普型,博物馆,23830732,奇美博物馆,4.8,430,奇美博物馆,台南,台南 · 奇美博物馆,台湾亲子景点榜 No.8,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo5h12000cf2r4ejA4C2.jpg,https://you.ctrip.com/sight/tainan757/1787597.html?scene=onlinesearch,22.938179,120.236458
知识科普型,博物馆,87283,台湾海洋生物博物馆,4.8,1061,,屏东,屏东,垦丁亲子景点榜 No.1,,观海底生物，探索海洋世界,"遛娃宝藏地, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo3j12000dd2jc42CB38.jpg,https://you.ctrip.com/sight/pingtung1364/62906.html?scene=onlinesearch,22.049486,120.709012
知识科普型,博物馆,10530509,北投温泉博物馆,4.7,329,北投温泉区,台北,台北 · 北投温泉区,,,了解北投温泉的历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106v12000iqdhyrk267B.jpg,https://you.ctrip.com/sight/taipei360/109810.html?scene=onlinesearch,25.139487,121.517666
知识科普型,博物馆,10523898,新北市立黄金博物馆,4.6,240,,新北,新北,,,感受金瓜石地区的历史文化,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0100m12000awv0l265A8B.jpg,https://you.ctrip.com/sight/newtaipeicity2063/147957.html?scene=onlinesearch,25.108873,121.869943
知识科普型,博物馆,24650035,海洋科技博物馆,4.8,181,,基隆,基隆,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0106612000iqj35dx069C.jpg,https://you.ctrip.com/sight/keelung1382/1830941.html?scene=onlinesearch,25.143591,121.808852
知识科普型,博物馆,10520706,兰阳博物馆,4.6,133,,宜兰,宜兰,,,建筑与自然融为一体,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo6312000fn49xcvAE4D.jpg,https://you.ctrip.com/sight/yilan1383/144775.html?scene=onlinesearch,24.871646,121.843044
知识科普型,博物馆,13455993,台湾科学工艺博物馆,4.7,103,高雄火车站地区,高雄,高雄 · 高雄火车站地区,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo0w12000iodrw4a71D6.png,https://you.ctrip.com/sight/kaohsiung756/1413115.html?scene=onlinesearch,22.6447,120.333026
知识科普型,博物馆,80597,国立历史博物馆,4.8,122,西门町商圈,台北,台北 · 西门町商圈,,,以中原文物为主的博物馆,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100g0h00000094fll6E8C.jpg,https://you.ctrip.com/sight/taipei360/19886.html?scene=onlinesearch,25.034509,121.521669
知识科普型,博物馆,39979774,外星人博物馆,4.5,9,,台中,台中,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103a120006t8hxj39491.jpg,https://you.ctrip.com/sight/taichung1369/4155035.html?scene=onlinesearch,24.178952,120.650557
知识科普型,博物馆,23032279,台湾历史博物馆,4.8,28,,台南,台南,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1006hk143a3hvlpkgA076.jpg,https://you.ctrip.com/sight/tainan757/1746978.html?scene=onlinesearch,23.061651,120.245582
知识科普型,博物馆,33079136,紫禁城博物馆,5.0,4,,新北,新北,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0ww1512000946ju5u9BC9.jpg,https://you.ctrip.com/sight/newtaipeicity2063/2416623.html?scene=onlinesearch,25.087083,121.484205
知识科普型,博物馆,23033998,中台世界博物馆,4.8,16,,南投,南投,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo5612000gb00xg8080B.jpg,https://you.ctrip.com/sight/nantou759/1748136.html?scene=onlinesearch,24.016136,120.959834
知识科普型,博物馆,20906195,世界宗教博物館,5.0,15,,新北,新北,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo6712000hdatity5857.jpg,https://you.ctrip.com/sight/newtaipeicity2063/1700387.html?scene=onlinesearch,25.010976,121.518347
知识科普型,博物馆,115241204,画框博物馆,5.0,2,罗东夜市,宜兰,宜兰 · 罗东夜市,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103z120008gwqqkk9CB9.jpg,https://you.ctrip.com/sight/yilan1383/5714876.html?scene=onlinesearch,24.687342,121.802981
