大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,31660864,天津北疆博物院,4.7,24,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,,,馆内藏品丰富多样,,免费,是,https://dimg04.c-ctrip.com/images/010011200082yf9j7EE74.jpg,https://you.ctrip.com/sight/tianjin154/2028828.html?scene=onlinesearch,39.114422,117.214838
知识科普型,博物馆,87777,瓷房子,4.3,5557,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,天津必打卡景点榜 No.4,,用古代瓷器装饰的法式建筑,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0104e120008bhx2xiA1A7.jpg,https://you.ctrip.com/sight/tianjin154/64504.html?scene=onlinesearch,39.130711,117.208899
知识科普型,博物馆,97855,天津博物馆,4.6,486,奥体中心/水上公园,天津,奥体中心/水上公园,天津亲子景点榜 No.12,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104t12000iskpcr89BD3.jpg,https://you.ctrip.com/sight/tianjin154/136271.html?scene=onlinesearch,39.091039,117.218282
知识科普型,博物馆,78296,张学良故居,4.6,2966,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,天津亲子景点榜 No.5,,,"历史建筑, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0107012000f6qv90p8129.jpg,https://you.ctrip.com/sight/tianjin154/10657.html?scene=onlinesearch,39.129813,117.208242
知识科普型,博物馆,31677490,五大道历史博物馆,4.3,103,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,,,欣赏百年前的欧式家具,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1A0u1d000001eflpk0CD1.jpg,https://you.ctrip.com/sight/tianjin154/2045253.html?scene=onlinesearch,39.118747,117.212116
知识科普型,博物馆,61584749,国家海洋博物馆,4.5,3441,中新生态城/国家海博馆,天津,中新生态城/国家海博馆,2025中国100亲子景点,4A,,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0100912000aamnttfC673.jpg,https://you.ctrip.com/sight/tianjin154/5382354.html?scene=onlinesearch,39.110431,117.801318
知识科普型,博物馆,80077,天津自然博物馆,4.8,404,奥体中心/水上公园,天津,奥体中心/水上公园,,,历史悠久、藏品丰富,"科技馆, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0104v12000ift4cd2CBBF.jpg,https://you.ctrip.com/sight/tianjin154/18011.html?scene=onlinesearch,39.092418,117.215557
知识科普型,博物馆,85756,五大道,4.7,4326,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,天津赏秋景点榜 No.2,4A,在老洋房之间看旧日津门,"遛娃宝藏地, 城市漫步",免费,是,https://dimg04.c-ctrip.com/images/100711000000rdolz3AEB.jpg,https://you.ctrip.com/sight/tianjin154/56365.html?scene=onlinesearch,39.116392,117.209997
知识科普型,博物馆,18411518,利顺德博物馆,4.7,191,滨江道/小白楼/五大道度假区,天津,滨江道/小白楼/五大道度假区,,,讲述利顺德大饭店的历史,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0103l12000irmzlitF800.jpg,https://you.ctrip.com/sight/tianjin154/1646801.html?scene=onlinesearch,39.126953,117.222684
知识科普型,博物馆,150022042,《天博文韵·玉境》博物馆沉浸式解谜游览,0.0,0,奥体中心/水上公园,天津,奥体中心/水上公园,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0100z12000iysooy42084.png,https://you.ctrip.com/sight/tianjin154/150022042.html?scene=onlinesearch,39.091039,117.218282
知识科普型,博物馆,78276,天后宫（民俗博物馆）,4.6,239,天津站/古文化街/意大利风情区,天津,天津站/古文化街/意大利风情区,,,了解天津民俗的好地方,"历史建筑, 博物馆",,否,https://dimg04.c-ctrip.com/images/0106r12000g5a1nafE4D4.jpg,https://you.ctrip.com/sight/tianjin154/10632.html?scene=onlinesearch,39.148909,117.199097
知识科普型,博物馆,18411542,南开大学(八里台校区)-博物馆,4.7,27,天津大学/南开大学,天津,天津大学/南开大学,,,观赏种类多样的民间展品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102012000f6sij2s285B.jpg,https://you.ctrip.com/sight/tianjin154/1646832.html?scene=onlinesearch,39.10791,117.17214
知识科普型,博物馆,140616664,天津数字艺术博物馆,4.9,28,天津站/古文化街/意大利风情区,天津,天津站/古文化街/意大利风情区,,,,"特色展馆, 博物馆",,否,https://dimg04.c-ctrip.com/images/1lo5312000hoc0d4aA4DD.jpg,https://you.ctrip.com/sight/tianjin154/140616664.html?scene=onlinesearch,39.134174,117.21601
知识科普型,博物馆,97860,天津邮政博物馆,4.7,111,天津站/古文化街/意大利风情区,天津,天津站/古文化街/意大利风情区,,,欣赏各种珍贵文物,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1A071d000001eq1iz8CC7.jpg,https://you.ctrip.com/sight/tianjin154/136276.html?scene=onlinesearch,39.133665,117.217283
知识科普型,博物馆,151189338,《髹漆焕彩》天津博物馆藏漆器文物展 天津站,0.0,0,奥体中心/水上公园,天津,奥体中心/水上公园,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0106h12000k5m5y9o9267.png,https://you.ctrip.com/sight/tianjin154/151189338.html?scene=onlinesearch,39.091039,117.218282
