大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,82328,三峡博物馆,4.6,1056,上清寺/人民大礼堂/李子坝,重庆,上清寺/人民大礼堂/李子坝,重庆亲子景点榜 No.6,4A,了解山城历史和三峡风貌,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105h12000h4c65gx5C31.jpg,https://you.ctrip.com/sight/chongqing158/45804.html?scene=onlinesearch,29.568347,106.556883
知识科普型,博物馆,128621409,重庆建川海疆博物馆（166舰）,4.5,942,杨家坪/重庆动物园,重庆,杨家坪/重庆动物园,重庆亲子景点榜 No.16,,近距离接触大国重器,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/1lo3312000et21pr404A5.jpg,https://you.ctrip.com/sight/chongqing158/5716423.html?scene=onlinesearch,29.52135,106.535835
知识科普型,博物馆,89785,白鹤梁水下博物馆,4.6,989,涪陵商业中心区,重庆,涪陵商业中心区,重庆亲子景点榜 No.9,4A,观赏水下千年古迹,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0104d12000iirs1kpB53C.jpg,https://you.ctrip.com/sight/chongqing158/76543.html?scene=onlinesearch,29.718473,107.398829
知识科普型,博物馆,10521419,重庆抗战遗址博物馆,0.0,251,南山度假区,重庆,南山度假区,,4A,综合性抗战遗址博物馆景区,"历史建筑, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/01071120009hlolvf2EDE.jpg,https://you.ctrip.com/sight/chongqing158/145487.html?scene=onlinesearch,29.572787,106.624299
知识科普型,博物馆,145699202,重庆中国三峡博物馆-接待中心,5.0,3,上清寺/人民大礼堂/李子坝,重庆,上清寺/人民大礼堂/李子坝,,,,,,否,https://dimg04.c-ctrip.com/images/0101p12000gkeoxs1B430.jpg,https://you.ctrip.com/sight/chongqing158/145699202.html?scene=onlinesearch,29.568522,106.557097
知识科普型,博物馆,52528404,重庆建川博物馆聚落,4.7,526,大坪/时代天街,重庆,大坪/时代天街,,4A,洞穴抗战博物馆聚落,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0106212000h4g7me23C87.jpg,https://you.ctrip.com/sight/chongqing158/4684348.html?scene=onlinesearch,29.527222,106.528761
知识科普型,博物馆,24032365,重庆自然博物馆（新馆）,4.8,488,西南大学/缙云山度假区,重庆,西南大学/缙云山度假区,,4A,有丰富的恐龙化石和标本,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0101t12000ikvo94l3991.jpg,https://you.ctrip.com/sight/chongqing158/1790963.html?scene=onlinesearch,29.825275,106.414141
知识科普型,博物馆,69145298,重庆红岩革命历史博物馆,0.0,0,大坪/时代天街,重庆,大坪/时代天街,,4A,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/0101u1200098oxdm3110E.jpg,https://you.ctrip.com/sight/chongqing158/69145298.html?scene=onlinesearch,29.559641,106.505783
知识科普型,博物馆,48612772,大圆祥博物馆,4.7,48,,重庆,,,,"巴渝古建筑构件博物馆, 中国民间博物馆, 重庆祖屋博物馆","博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100t12000isgtalf8CF5.jpg,https://you.ctrip.com/sight/chongqing158/4356342.html?scene=onlinesearch,29.391115,106.228586
知识科普型,博物馆,69142902,大足石刻博物馆,4.7,35,大足石刻度假区,重庆,大足石刻度假区,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/01042120006t6vtoq7273.jpg,https://you.ctrip.com/sight/chongqing158/69142902.html?scene=onlinesearch,29.751451,105.801186
知识科普型,博物馆,38366644,万州区博物馆,0.0,7,万州万达广场,重庆,万州万达广场,,4A,"万州区标志性建筑, 三峡移民集体记忆空间",博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/0103k120008ouxy15329F.jpg,https://you.ctrip.com/sight/chongqing158/2557005.html?scene=onlinesearch,30.814576,108.408338
知识科普型,博物馆,38371261,巫山县博物馆,4.3,10,,巫山,巫山,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104l12000ijgwat61F5B.jpg,https://you.ctrip.com/sight/wushancounty2025187/2561522.html?scene=onlinesearch,31.079048,109.889304
知识科普型,博物馆,151934108,幻觉博物馆 - 重庆店,0.0,0,解放碑/洪崖洞,重庆,解放碑/洪崖洞,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0104p12000m2c7xyn802E.jpg,https://you.ctrip.com/sight/chongqing158/151934108.html?scene=onlinesearch,29.565978,106.588017
知识科普型,博物馆,56806959,重庆金融历史博物馆,4.7,12,解放碑/洪崖洞,重庆,解放碑/洪崖洞,,,,"历史建筑, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106812000f6te0a8D228.jpg,https://you.ctrip.com/sight/chongqing158/5068278.html?scene=onlinesearch,29.567152,106.590387
知识科普型,博物馆,121151964,巴蜀古代建筑博物馆,4.6,5,大学城/融创文旅城,重庆,大学城/融创文旅城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106o12000f6q3hwg774D.jpg,https://you.ctrip.com/sight/chongqing158/121151964.html?scene=onlinesearch,29.610136,106.33911
知识科普型,博物馆,67627706,永川博物馆,4.5,12,茶山竹海度假区,重庆,茶山竹海度假区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/350q160000010cfry79F9.jpg,https://you.ctrip.com/sight/chongqing158/5591402.html?scene=onlinesearch,29.385768,105.940578
知识科普型,博物馆,111324978,巴渝文化博物馆,4.7,6,解放碑/洪崖洞,重庆,解放碑/洪崖洞,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01073120008i1gb0bB224.jpg,https://you.ctrip.com/sight/chongqing158/5714628.html?scene=onlinesearch,29.556742,106.583459
知识科普型,博物馆,144890735,重庆德庄火锅博物馆(德庄工厂火锅),5.0,2,茶园,重庆,茶园,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1lo5o12000d9onl8gE98B.jpg,https://you.ctrip.com/sight/chongqing158/144890735.html?scene=onlinesearch,29.479329,106.643122
知识科普型,博物馆,15063496,重庆巴渝民俗博物馆民俗馆,4.6,62,江北国际机场地区,重庆,江北国际机场地区,,,了解很有特色的巴渝民俗,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100k1f000001guednFD8E.jpg,https://you.ctrip.com/sight/chongqing158/1482822.html?scene=onlinesearch,29.717175,106.636293
知识科普型,博物馆,79438825,夔州博物馆,5.0,4,奉节白帝城,奉节,奉节白帝城,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me2l12000e123yep77E9.jpg,https://you.ctrip.com/sight/fengjiecounty2025223/5705192.html?scene=onlinesearch,31.047899,109.555027
知识科普型,博物馆,69143941,钓鱼城古战场遗址博物馆,5.0,1,,重庆,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101d12000bl5yczp37D5.jpg,https://you.ctrip.com/sight/chongqing158/69143941.html?scene=onlinesearch,30.010825,106.322672
知识科普型,博物馆,77417424,奉节县白帝城博物馆,4.5,6,奉节白帝城,奉节,奉节白帝城,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/010301200099zlr8m4D5A.jpg,https://you.ctrip.com/sight/fengjiecounty2025223/5675354.html?scene=onlinesearch,31.052568,109.57952
知识科普型,博物馆,78147,钓鱼城,4.5,453,,重庆,,,4A,改变世界格局的古战场,历史建筑,,否,https://dimg04.c-ctrip.com/images/0100212000kkjz67mD4EC.jpg,https://you.ctrip.com/sight/chongqing158/10354.html?scene=onlinesearch,30.009655,106.318318
知识科普型,博物馆,79438821,重庆工业博物馆,4.5,11,大渡口商业中心区,重庆,大渡口商业中心区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A49120008r9p2oq939B.jpg,https://you.ctrip.com/sight/chongqing158/5705201.html?scene=onlinesearch,29.475895,106.499246
知识科普型,博物馆,36583546,重庆史迪威博物馆,4.6,11,上清寺/人民大礼堂/李子坝,重庆,上清寺/人民大礼堂/李子坝,,,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/0101a120008gfkzmgD345.jpg,https://you.ctrip.com/sight/chongqing158/2511328.html?scene=onlinesearch,29.5566,106.539568
知识科普型,博物馆,90498680,重庆记忆博物馆,1.3,3,沙坪坝站/三峡广场,重庆,沙坪坝站/三峡广场,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/01054120009lrmhqnA707.jpg,https://you.ctrip.com/sight/chongqing158/90498680.html?scene=onlinesearch,29.586276,106.456413
