大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,87207,中国国家博物馆,0.0,10236,天安门/王府井地区,北京,天安门/王府井地区,2025亚洲100必打卡景点,,穿越千年看中华珍宝,"展馆展览, 遛娃宝藏地",免费,是,https://dimg04.c-ctrip.com/images/0102y12000hxkc5n61AF4.jpg,https://you.ctrip.com/sight/beijing1/62722.html?scene=onlinesearch,39.91176,116.407762
知识科普型,博物馆,75595,故宫博物院,4.8,184761,天安门/王府井地区,北京,天安门/王府井地区,2025全球100必打卡景点,5A,穿越明清两朝的皇家宫殿群,"展馆展览, 遛娃宝藏地",,否,https://dimg04.c-ctrip.com/images/100k0q000000gqnh8EE78.jpg,https://you.ctrip.com/sight/beijing1/229.html?scene=onlinesearch,39.924091,116.403414
知识科普型,博物馆,87211,中国地质博物馆,4.8,5700,西单/金融街地区,北京,西单/金融街地区,北京亲子景点榜 No.10,,观赏珍贵的史前生物化石,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0104212000h91p88774CE.jpg,https://you.ctrip.com/sight/beijing1/62726.html?scene=onlinesearch,39.929491,116.379189
知识科普型,博物馆,76652,中华民族博物院,4.4,1542,鸟巢/奥体中心地区,北京,鸟巢/奥体中心地区,,,参观各民族特色建筑,遛娃宝藏地,门票,否,https://dimg04.c-ctrip.com/images/0104c12000h0mfrtqD411.jpg,https://you.ctrip.com/sight/beijing1/5284.html?scene=onlinesearch,39.989167,116.397784
知识科普型,博物馆,143284085,北京中华民族博物院-南园,5.0,1,鸟巢/奥体中心地区,北京,鸟巢/奥体中心地区,,,,,,否,https://dimg04.c-ctrip.com/images/1me2e12000iukq39tC9F1.jpg,https://you.ctrip.com/sight/beijing1/143284085.html?scene=onlinesearch,39.986249,116.398138
知识科普型,博物馆,10523930,故宫博物院-养心殿,4.7,117,天安门/王府井地区,北京,天安门/王府井地区,,,慈禧太后垂帘听政之处,,,否,https://dimg04.c-ctrip.com/images/100a1f000001grlag54FA.jpg,https://you.ctrip.com/sight/beijing1/147989.html?scene=onlinesearch,39.926078,116.402089
知识科普型,博物馆,69132771,故宫博物院-内阁大堂,5.0,1,天安门/王府井地区,北京,天安门/王府井地区,,,,历史建筑,,否,https://dimg04.c-ctrip.com/images/0101v120008bwdbcr596F.jpg,https://you.ctrip.com/sight/beijing1/69132771.html?scene=onlinesearch,39.920326,116.40527
知识科普型,博物馆,31671153,故宫博物院-军机处,4.8,15,天安门/王府井地区,北京,天安门/王府井地区,,,曾是清朝的权力机关,历史建筑,,否,https://dimg04.c-ctrip.com/images/100b0s000000hxq55DB7C.jpg,https://you.ctrip.com/sight/beijing1/2038996.html?scene=onlinesearch,39.925503,116.402432
知识科普型,博物馆,69134603,漱芳斋(故宫博物院),0.0,0,天安门/王府井地区,北京,天安门/王府井地区,,,,,,否,https://dimg04.c-ctrip.com/images/0HJ0u12000g6cfpn6C5A9.jpg,https://you.ctrip.com/sight/beijing1/69134603.html?scene=onlinesearch,39.927956,116.402244
知识科普型,博物馆,69542458,故宫博物院端门数字馆,0.0,0,天安门/王府井地区,北京,天安门/王府井地区,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103h12000cu3a1o65734.jpg,https://you.ctrip.com/sight/beijing1/69542458.html?scene=onlinesearch,39.916785,116.403905
