大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,150447916,缔造现代：来自巴黎奥赛博物馆的艺术瑰宝大展,4.8,65,,上海,,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0102r12000jo12bjl7322.jpg,https://you.ctrip.com/sight/shanghai2/150447916.html?scene=onlinesearch,31.243762,121.50292
知识科普型,博物馆,76790,上海自然博物馆,4.8,9072,静安寺/南京西路,上海,静安寺/南京西路,上海亲子景点榜 No.15,,参观各种动物乃至恐龙标本,"展馆展览, 遛娃宝藏地",门市价,否,https://dimg04.c-ctrip.com/images/1A0i11000000qe9tl9638.jpg,https://you.ctrip.com/sight/shanghai2/5646.html?scene=onlinesearch,31.241162,121.469147
知识科普型,博物馆,90595,中国航海博物馆,4.8,5888,滴水湖临港地区,上海,滴水湖临港地区,,4A,"了解中国航海史观仿真模型, 国内首座航海专题博物馆","展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0103x12000iivrxrz54EF.jpg,https://you.ctrip.com/sight/shanghai2/107382.html?scene=onlinesearch,30.902522,121.926133
知识科普型,博物馆,76144,上海博物馆,4.6,9087,人民广场地区,上海,人民广场地区,2025亚洲100亲子景点,4A,蜚声中外的知名博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103x1200042pw7745DC1.jpg,https://you.ctrip.com/sight/shanghai2/3733.html?scene=onlinesearch,31.23419,121.482126
知识科普型,博物馆,144899744,Paradox Museum 悖论博物馆,4.7,156,淮海路/新天地地区,上海,淮海路/新天地地区,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo3k12000fqx1p8dD50A.png,https://you.ctrip.com/sight/shanghai2/144899744.html?scene=onlinesearch,31.225906,121.471762
知识科普型,博物馆,10533320,震旦博物馆,4.8,694,陆家嘴,上海,陆家嘴,,,荟萃各类珍贵藏品,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0102x12000b95brei35D9.jpg,https://you.ctrip.com/sight/shanghai2/110603.html?scene=onlinesearch,31.240502,121.506116
知识科普型,博物馆,25276237,上海观复博物馆,4.7,1393,陆家嘴,上海,陆家嘴,,,珍藏精美绝伦的明清金器,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0102d12000f6ta0n86C6F.jpg,https://you.ctrip.com/sight/shanghai2/1840738.html?scene=onlinesearch,31.239252,121.512317
知识科普型,博物馆,91770,上海汽车博物馆,4.7,5904,嘉定新城,上海,嘉定新城,,,欣赏各种品牌的罕见古董车,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/100h0q000000gcq3r672F.jpg,https://you.ctrip.com/sight/shanghai2/110254.html?scene=onlinesearch,31.284654,121.176829
知识科普型,博物馆,90439,上海玻璃博物馆,4.4,1881,吴淞口国际邮轮港,上海,吴淞口国际邮轮港,,4A,欣赏各种精美的玻璃艺术品,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/0101812000f6sefsmC1C9.jpg,https://you.ctrip.com/sight/shanghai2/90024.html?scene=onlinesearch,31.350435,121.478517
知识科普型,博物馆,13753860,中国工业设计博物馆,4.3,60,吴淞口国际邮轮港,上海,吴淞口国际邮轮港,,,,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0106b120008prxwd375BE.jpg,https://you.ctrip.com/sight/shanghai2/1459924.html?scene=onlinesearch,31.345951,121.503365
知识科普型,博物馆,10772982,上海当代艺术博物馆,4.5,392,打浦桥地区,上海,打浦桥地区,,,上海双年展的主场馆,"特色展馆, 博物馆",,否,https://dimg04.c-ctrip.com/images/0106q12000irl6hmkDB61.jpg,https://you.ctrip.com/sight/shanghai2/1408690.html?scene=onlinesearch,31.206746,121.505082
知识科普型,博物馆,10524120,上海电影博物馆,4.7,2911,徐家汇地区,上海,徐家汇地区,,,展各种电影海报和拍摄道具,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0100512000aklv1mh8648.jpg,https://you.ctrip.com/sight/shanghai2/110776.html?scene=onlinesearch,31.192622,121.444823
知识科普型,博物馆,130847455,上海博物馆(东馆),4.8,136,新国际博览中心/世博园,上海,新国际博览中心/世博园,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100o12000iktxih9B837.jpg,https://you.ctrip.com/sight/shanghai2/5717748.html?scene=onlinesearch,31.226244,121.545263
知识科普型,博物馆,24650185,和平饭店博物馆,4.8,163,外滩核心区,上海,外滩核心区,,,以饭店形式建立的博物馆,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/1lo0112000e6s9fae869A.jpg,https://you.ctrip.com/sight/shanghai2/1831074.html?scene=onlinesearch,31.244696,121.495976
