大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,134064807,香港故宫文化博物馆,4.8,4091,西九龙,香港,西九龙,2025中国100必打卡景点,,"游古今，历无界, 探索文化瑰宝","博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/1lo4312000axni7v15717.jpg,https://you.ctrip.com/sight/hongkong38/134064807.html?scene=onlinesearch,22.304785,114.166798
知识科普型,博物馆,135990065,M+,4.7,1468,西九龙,香港,西九龙,香港必打卡景点榜 No.9,,全球性视觉文化博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0104512000f6tl7vp2843.png,https://you.ctrip.com/sight/hongkong38/135990065.html?scene=onlinesearch,22.303543,114.17102
知识科普型,博物馆,149853484,C罗博物馆 CR7®LIFE香港博物馆,4.5,87,尖沙咀,香港,尖沙咀,,,,"特色展馆, 展览",门票,否,https://dimg04.c-ctrip.com/images/0103l12000l9e3ey8A28F.png,https://you.ctrip.com/sight/hongkong38/149853484.html?scene=onlinesearch,22.297064,114.185432
知识科普型,博物馆,150070432,《修明武备》故宫博物院藏清代军事文物展,0.0,0,西九龙,香港,西九龙,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0101812000j79eg8l1557.png,https://you.ctrip.com/sight/hongkong38/150070432.html?scene=onlinesearch,22.304785,114.166798
知识科普型,博物馆,76024,香港历史博物馆,4.7,454,尖沙咀,香港,尖沙咀,香港亲子景点榜 No.13,,从渔村到都市的华丽转身,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101h12000iukr07y994F.jpg,https://you.ctrip.com/sight/hongkong38/3330.html?scene=onlinesearch,22.304786,114.18876
知识科普型,博物馆,83331,香港文化博物馆,4.5,243,沙田,香港,沙田,香港亲子景点榜 No.18,,领略香港文化精髓,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100d0d0000006u2s48D4D.jpg,https://you.ctrip.com/sight/hongkong38/50673.html?scene=onlinesearch,22.37957,114.197122
知识科普型,博物馆,76022,警队博物馆,4.2,65,,香港,,,,了解警队发展历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101n12000azkro4dD7F0.jpg,https://you.ctrip.com/sight/hongkong38/3328.html?scene=onlinesearch,22.270581,114.180737
知识科普型,博物馆,22847147,香港大学美术博物馆,4.6,32,西环/上环,香港,西环/上环,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me722224v9jug2c066AB.jpg,https://you.ctrip.com/sight/hongkong38/1711037.html?scene=onlinesearch,22.287126,114.150569
知识科普型,博物馆,20905913,香港医学博物馆,4.5,43,西环/上环,香港,西环/上环,,,看文献了解香港医学发展史,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10080h000000929s383D5.jpg,https://you.ctrip.com/sight/hongkong38/1700107.html?scene=onlinesearch,22.286717,114.160169
知识科普型,博物馆,13631929,香港海事博物馆,4.5,79,中环,香港,中环,,,观赏《靖海全图》动态版本,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100c0d0000006u2h5809D.jpg,https://you.ctrip.com/sight/hongkong38/1416097.html?scene=onlinesearch,22.289619,114.173522
知识科普型,博物馆,152863594,《莫卧儿王朝瑰宝》英国维多利亚与艾尔伯特博物馆珍藏展,0.0,0,西九龙,香港,西九龙,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0100j12000n1z7tueC168.jpg,https://you.ctrip.com/sight/hongkong38/152863594.html?scene=onlinesearch,22.304785,114.166798
知识科普型,博物馆,56776307,香港大学许士芬地质博物馆,0.0,0,西环/上环,香港,西环/上环,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103e12000bc26q7y384F.jpg,https://you.ctrip.com/sight/hongkong38/5062424.html?scene=onlinesearch,22.286009,114.149012
知识科普型,博物馆,87874,香港競馬博物館,4.2,121,,香港,,,,赛马在香港的发展历程,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100d0s000000hxwyj3DA5.jpg,https://you.ctrip.com/sight/hongkong38/64875.html?scene=onlinesearch,22.277296,114.19161
知识科普型,博物馆,76026,三栋屋博物馆,4.3,169,荃湾,香港,荃湾,,,现存古老的围村之一,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100b0l000000cu8krE5CE.jpg,https://you.ctrip.com/sight/hongkong38/3334.html?scene=onlinesearch,22.375617,114.131855
知识科普型,博物馆,137080476,香港生物多样性博物馆,0.0,0,西环/上环,香港,西环/上环,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1me0512000dvmkc2219D3.jpg,https://you.ctrip.com/sight/hongkong38/137080476.html?scene=onlinesearch,22.286912,114.148586
知识科普型,博物馆,10532630,香港海防博物馆,4.5,55,,香港,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g4/M0B/0F/22/CggYHFaNzyWAPIGdAC6K-lKFm-M484.jpg,https://you.ctrip.com/sight/hongkong38/48282.html?scene=onlinesearch,22.285314,114.246891
知识科普型,博物馆,147006157,香港儿童探索博物馆 Hong Kong Children’s Discovery Museum,5.0,1,,香港,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0107112000f7ir2si1959.jpg,https://you.ctrip.com/sight/hongkong38/147006157.html?scene=onlinesearch,22.284337,114.235007
知识科普型,博物馆,10534852,香港铁路博物馆,4.3,108,,香港,,,,中式金字顶建筑,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106b12000f6t55p1E4DF.jpg,https://you.ctrip.com/sight/hongkong38/113315.html?scene=onlinesearch,22.45055,114.175897
知识科普型,博物馆,83332,香港惩教博物馆,4.7,3,,香港,,,,历史爱好者的理想去处,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103k12000bbvb5hkA20D.jpg,https://you.ctrip.com/sight/hongkong38/50674.html?scene=onlinesearch,22.21971,114.229308
知识科普型,博物馆,144081722,慈山寺佛教艺术博物馆,4.0,1,,香港,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0102412000eygdlb4D4F9.jpg,https://you.ctrip.com/sight/hongkong38/144081722.html?scene=onlinesearch,22.47854,114.217445
知识科普型,博物馆,38335659,保良局历史博物馆,4.3,12,湾仔/铜锣湾,香港,湾仔/铜锣湾,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100x12000belo22d781A.jpg,https://you.ctrip.com/sight/hongkong38/2526420.html?scene=onlinesearch,22.279575,114.196337
知识科普型,博物馆,76023,李郑屋汉墓博物馆,4.3,71,太子/大角嘴,香港,太子/大角嘴,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103x12000bamhp3w6154.jpg,https://you.ctrip.com/sight/hongkong38/3329.html?scene=onlinesearch,22.340935,114.171538
知识科普型,博物馆,76031,香港艺术馆,4.6,384,尖沙咀,香港,尖沙咀,,,古今藏品种类繁多,"特色展馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01012120009rkl2cu347F.jpg,https://you.ctrip.com/sight/hongkong38/3341.html?scene=onlinesearch,22.296519,114.183642
知识科普型,博物馆,20905921,F11 摂影博物館,3.5,15,,香港,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101g12000bbxikc85654.jpg,https://you.ctrip.com/sight/hongkong38/1700115.html?scene=onlinesearch,22.271487,114.197184
知识科普型,博物馆,38536963,两依藏博物馆,0.0,0,西环/上环,香港,西环/上环,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0ww2h120009rleil7F9EF.jpg,https://you.ctrip.com/sight/hongkong38/2725724.html?scene=onlinesearch,22.287977,114.16111
知识科普型,博物馆,121152124,香港浸会大学孔宪绍博士伉俪中医药博物馆,4.0,2,红磡/九龙城,香港,红磡/九龙城,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103h12000belujo460AE.jpg,https://you.ctrip.com/sight/hongkong38/121152124.html?scene=onlinesearch,22.338593,114.194132
知识科普型,博物馆,39525466,稻乡饮食文化博物馆,4.8,4,沙田,香港,沙田,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106b12000bamieiaCA8D.jpg,https://you.ctrip.com/sight/hongkong38/3704927.html?scene=onlinesearch,22.399126,114.207795
知识科普型,博物馆,137864844,HK Erotic Museum - 香港性博物館,0.0,0,湾仔/铜锣湾,香港,湾仔/铜锣湾,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/AE/87/CghzfVW7IAOAbNKNAABCrs7mUrY425.jpg,https://you.ctrip.com/sight/hongkong38/137864844.html?scene=onlinesearch,22.281428,114.184545
知识科普型,博物馆,144082530,法国巴黎银行伯大尼博物馆,0.0,0,,香港,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/144082530.html?scene=onlinesearch,22.265716,114.147054
知识科普型,博物馆,144081259,香港教育博物馆,0.0,0,,香港,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/144081259.html?scene=onlinesearch,22.471953,114.206319
知识科普型,博物馆,151179839,香港汽車博物館 Hong Kong Cars Museum,0.0,0,,香港,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/151179839.html?scene=onlinesearch,22.269317,114.197303
知识科普型,博物馆,144080650,香港毛笔博物馆,0.0,0,红磡/九龙城,香港,红磡/九龙城,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/144080650.html?scene=onlinesearch,22.322597,114.205112
知识科普型,博物馆,138104790,South Valley Lodge 唱片博物館,5.0,2,湾仔/铜锣湾,香港,湾仔/铜锣湾,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/AE/87/CghzfVW7IAOAbNKNAABCrs7mUrY425.jpg,https://you.ctrip.com/sight/hongkong38/138104790.html?scene=onlinesearch,22.280306,114.192927
知识科普型,博物馆,144080219,深水埗历史博物馆,0.0,0,太子/大角嘴,香港,太子/大角嘴,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/144080219.html?scene=onlinesearch,22.337026,114.175239
知识科普型,博物馆,139705184,乡土玩具博物馆,0.0,0,,香港,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/AE/87/CghzfVW7IAOAbNKNAABCrs7mUrY425.jpg,https://you.ctrip.com/sight/hongkong38/139705184.html?scene=onlinesearch,22.315342,114.235697
知识科普型,博物馆,143752427,东龙洲博物馆,0.0,0,,香港,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/AE/87/CghzfVW7IAOAbNKNAABCrs7mUrY425.jpg,https://you.ctrip.com/sight/hongkong38/143752427.html?scene=onlinesearch,22.258131,114.307986
知识科普型,博物馆,148914586,香港博物馆节,0.0,0,沙田,香港,沙田,,,,节日,,否,https://dimg04.c-ctrip.com/images/0107212000fmkfoawEB49.png,https://you.ctrip.com/sight/hongkong38/148914586.html?scene=onlinesearch,22.37957,114.197122
知识科普型,科技馆,76032,香港科学馆,4.7,631,尖沙咀,香港,尖沙咀,香港亲子景点榜 No.12,,亲身体验科学的魅力,"科技馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10090z000000nky4b0D51.jpg,https://you.ctrip.com/sight/hongkong38/3342.html?scene=onlinesearch,22.303912,114.189152
知识科普型,科技馆,76033,香港太空馆,4.7,5449,尖沙咀,香港,尖沙咀,2025中国100亲子景点,,体验太空漫步与火箭发射,"科技馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/100o1f000001gp2l14AC0.jpg,https://you.ctrip.com/sight/hongkong38/3343.html?scene=onlinesearch,22.297203,114.183411
知识科普型,科技馆,138339855,香港科技大学何善衡体育馆,0.0,0,,香港,,,,,场馆展馆,,否,https://dimg04.c-ctrip.com/images/0HJ3812000iggtpkm6670.jpg,https://you.ctrip.com/sight/hongkong38/138339855.html?scene=onlinesearch,22.341519,114.27461
知识科普型,科技馆,58341522,科学园,4.3,67,,香港,,,,以高科技及应用科技为主题,,免费,是,https://dimg04.c-ctrip.com/images/0101v1200087cepke0D8D.jpg,https://you.ctrip.com/sight/hongkong38/5205676.html?scene=onlinesearch,22.432298,114.21994
知识科普型,科技馆,22847090,许爱周科学馆,4.2,25,西环/上环,香港,西环/上环,,,,"科技馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106s12000bcy4a9bDF8F.jpg,https://you.ctrip.com/sight/hongkong38/1710918.html?scene=onlinesearch,22.286147,114.149004
知识科普型,科技馆,138961910,香港中文大学科学馆东座,0.0,0,,香港,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/AE/60/CghzgFW7IAOAEslQAAA_0sCVZfg527.jpg,https://you.ctrip.com/sight/hongkong38/138961910.html?scene=onlinesearch,22.422401,114.220141
知识科普型,科技馆,141280018,室外游泳池,0.0,0,,香港,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/AE/60/CghzgFW7IAOAEslQAAA_0sCVZfg527.jpg,https://you.ctrip.com/sight/hongkong38/141280018.html?scene=onlinesearch,22.341277,114.278009
知识科普型,科技馆,140147078,Eco Park of Hong Kong University of Science and Technology,0.0,0,,香港,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/AE/60/CghzgFW7IAOAEslQAAA_0sCVZfg527.jpg,https://you.ctrip.com/sight/hongkong38/140147078.html?scene=onlinesearch,22.294805,114.282856
知识科普型,动物园,87829,香港动植物公园,4.6,254,中环,香港,中环,,,1000多种热带亚热带动植物,"动物园&水族馆, 公园&植物园",免费,是,https://dimg04.c-ctrip.com/images/10031f000001gs0vqC9E2.jpg,https://you.ctrip.com/sight/hongkong38/64741.html?tagId=286&scene=onlinesearch,22.280495,114.167695
知识科普型,动物园,50538377,笔架山,4.8,4,,香港,,,,,"登高爬山, 徒步",免费,是,https://dimg04.c-ctrip.com/images/0ww0f1200094dmnwu9370.jpg,https://you.ctrip.com/sight/hongkong38/4400564.html?tagId=286&scene=onlinesearch,22.352433,114.18076
知识科普型,动物园,32778313,尤德观鸟园,4.2,11,中环,香港,中环,,,,动物园&水族馆,,否,https://dimg04.c-ctrip.com/images/0101u12000bc70gqk2F9E.jpg,https://you.ctrip.com/sight/hongkong38/2125910.html?tagId=286&scene=onlinesearch,22.279523,114.172015
知识科普型,动物园,131211074,嘉里白鹭湖互动中心,5.0,1,,香港,,,,,,,否,https://dimg04.c-ctrip.com/images/01A1q12000ahzgzucE2B9.jpg,https://you.ctrip.com/sight/hongkong38/131211074.html?tagId=286&scene=onlinesearch,22.438852,114.200534
知识科普型,动物园,131211061,狮子会自然教育中心,5.0,1,,香港,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0ww6c120009c5sk3j290A.jpg,https://you.ctrip.com/sight/hongkong38/131211061.html?tagId=286&scene=onlinesearch,22.377243,114.276375
知识科普型,动物园,120422044,百鸟塔,4.1,15,,香港,,,,,,,否,https://dimg04.c-ctrip.com/images/0102t12000bal3aukEDC4.jpg,https://you.ctrip.com/sight/hongkong38/120422044.html?tagId=286&scene=onlinesearch,22.445352,114.030282
知识科普型,动物园,90916570,雪狐居,4.0,1,南区,香港,南区,,,,动物园&水族馆,,否,https://dimg04.c-ctrip.com/images/0101612000bdgn58cAF5A.jpg,https://you.ctrip.com/sight/hongkong38/90916570.html?tagId=286&scene=onlinesearch,22.238253,114.183138
知识科普型,动物园,22847096,凤园蝴蝶保育区,4.3,32,,香港,,,,定期举办蝴蝶节,自然山水,,否,https://dimg04.c-ctrip.com/images/0ww3o120009rkkrg81D0F.jpg,https://you.ctrip.com/sight/hongkong38/1710977.html?tagId=286&scene=onlinesearch,22.470023,114.191029
知识科普型,动物园,131210845,Mirror Pool Waterfalls,0.0,0,,香港,,,,,自然山水,,否,https://dimg04.c-ctrip.com/images/0ww6x120009c71mei30AE.jpg,https://you.ctrip.com/sight/hongkong38/131210845.html?tagId=286&scene=onlinesearch,22.507662,114.252614
知识科普型,动物园,131210867,往湾,5.0,1,,香港,,,,,自然山水,,否,https://dimg04.c-ctrip.com/images/0ww0l120009c98rk91C9F.jpg,https://you.ctrip.com/sight/hongkong38/131210867.html?tagId=286&scene=onlinesearch,22.526834,114.311363
知识科普型,动物园,131210933,船湾郊野公园,0.0,0,,香港,,,,,"登高爬山, 动物园&水族馆",,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,https://you.ctrip.com/sight/hongkong38/131210933.html?tagId=286&scene=onlinesearch,22.516043,114.26337
知识科普型,动物园,141782971,Zoo keeperz,0.0,0,太子/大角嘴,香港,太子/大角嘴,,,,动物园&水族馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M08/AE/60/CghzgFW7H_iAHrajAAA9JobItL4932.jpg,https://you.ctrip.com/sight/hongkong38/141782971.html?tagId=286&scene=onlinesearch,22.325962,114.175097
知识科普型,动物园,138923871,Jim Ades Raptor Sanctory,0.0,0,,香港,,,,,动物园&水族馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g2/M08/AE/60/CghzgFW7H_iAHrajAAA9JobItL4932.jpg,https://you.ctrip.com/sight/hongkong38/138923871.html?tagId=286&scene=onlinesearch,22.435268,114.131081
知识科普型,植物园,22847221,嘉道理农场暨植物园,4.4,43,,香港,,,,于展览馆内了解动植物知识,"植物园, 动物园&水族馆",,否,https://dimg04.c-ctrip.com/images/10090d0000006u1ll142D.jpg,https://you.ctrip.com/sight/hongkong38/1711062.html?scene=onlinesearch,22.436912,114.129432
知识科普型,植物园,51834172,香港公园温室,4.5,15,,香港,,,,,"园林花园, 公园&植物园",,否,https://dimg04.c-ctrip.com/images/0103712000bbk6xe638AF.jpg,https://you.ctrip.com/sight/hongkong38/4614144.html?scene=onlinesearch,22.279865,114.167565
知识科普型,植物园,58335868,市政局百周年纪念花园,4.5,17,尖沙咀,香港,尖沙咀,,,,公园&植物园,,否,https://dimg04.c-ctrip.com/images/0105b12000bbdruhf95CB.jpg,https://you.ctrip.com/sight/hongkong38/5194006.html?scene=onlinesearch,22.302712,114.189318
知识科普型,植物园,55874969,城市艺坊,3.8,15,沙田,香港,沙田,,,,,,否,https://dimg04.c-ctrip.com/images/0ww3x120009ikhhne2CCA.jpg,https://you.ctrip.com/sight/hongkong38/4830916.html?scene=onlinesearch,22.384322,114.200789
知识科普型,植物园,131211094,霍士杰温室,5.0,2,中环,香港,中环,,,,公园&植物园,,否,https://dimg04.c-ctrip.com/images/0ww2p120009c9ixwn7ED1.jpg,https://you.ctrip.com/sight/hongkong38/131211094.html?scene=onlinesearch,22.280263,114.173665
知识科普型,植物园,15123965,添马舰空中花园,4.4,20,中环,香港,中环,,,,"历史建筑, 公园&植物园",免费,是,https://dimg04.c-ctrip.com/images/0106y12000bd2syb4AEFB.jpg,https://you.ctrip.com/sight/hongkong38/1483949.html?scene=onlinesearch,22.285099,114.176739
知识科普型,植物园,90916588,松仔园,0.0,0,,香港,,,,,"植物园, 公园&植物园",,否,https://dimg04.c-ctrip.com/images/0HJ3112000igus4782FD3.jpg,https://you.ctrip.com/sight/hongkong38/90916588.html?scene=onlinesearch,22.434578,114.196665
知识科普型,植物园,147451108,迪欣湖植物园,0.0,0,香港迪士尼乐园度假区,香港,香港迪士尼乐园度假区,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/hongkong38/147451108.html?scene=onlinesearch,22.327965,114.050181
