大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,84722,澳门大赛车博物馆,4.7,537,,澳门,,澳门亲子景点榜 No.6,,格兰披治大赛车相关博物馆,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/01A46120008o6ghfx169E.jpg,https://you.ctrip.com/sight/macau39/54151.html?scene=onlinesearch,22.197846,113.56452
知识科普型,博物馆,82223,澳门博物馆,4.6,682,,澳门,,,,了解澳门历史文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101h12000f6r77e49719.jpg,https://you.ctrip.com/sight/macau39/45076.html?scene=onlinesearch,22.200327,113.553756
知识科普型,博物馆,149282161,保利美高梅博物馆,5.0,3,,澳门,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0105q12000lwliwot4EDF.jpg,https://you.ctrip.com/sight/macau39/149282161.html?scene=onlinesearch,22.186365,113.547802
知识科普型,博物馆,82224,澳门艺术博物馆,4.6,124,,澳门,,,,艺术及文物主题博物馆,"特色展馆, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0104l1200075y4fpj50FD.jpg,https://you.ctrip.com/sight/macau39/45077.html?scene=onlinesearch,22.191594,113.566189
知识科普型,博物馆,76038,海事博物馆,4.7,235,,澳门,,澳门亲子景点榜 No.15,,介绍澳门的航海历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106b12000igtzzrrA793.jpg,https://you.ctrip.com/sight/macau39/3369.html?scene=onlinesearch,22.189286,113.542189
知识科普型,博物馆,76808,龙环葡韵住宅式博物馆,4.6,446,,澳门,,,,薄荷绿的葡萄牙风情建筑,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100v12000iqjk1icDAE6.jpg,https://you.ctrip.com/sight/macau39/5712.html?scene=onlinesearch,22.156772,113.57149
知识科普型,博物馆,80267044,澳门可口可乐收藏博物馆,4.6,9,,澳门,,,,以可口可乐为主题的展馆,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102h12000f6tj99085E8.jpg,https://you.ctrip.com/sight/macau39/5706227.html?scene=onlinesearch,22.199638,113.551552
知识科普型,博物馆,38332842,天主教艺术博物馆与墓室,4.2,5,,澳门,,,,汇集天主教艺术精品,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105h12000a5cdzujAF2F.jpg,https://you.ctrip.com/sight/macau39/2523603.html?scene=onlinesearch,22.201078,113.552308
知识科普型,博物馆,81956073,澳门钟表博物馆,3.3,3,,澳门,,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101312000cm9d8x2C4D2.jpg,https://you.ctrip.com/sight/macau39/5706980.html?scene=onlinesearch,22.199785,113.552782
知识科普型,博物馆,20905950,消防博物馆,4.5,63,,澳门,,,,了解澳门消防历史的演进,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100p0z000000mjqb391E5.jpg,https://you.ctrip.com/sight/macau39/1700144.html?scene=onlinesearch,22.203299,113.554972
知识科普型,博物馆,20905952,澳门保安部队博物馆,4.1,41,,澳门,,,,了解澳门保安部队历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/10090g00000083p2aA7DD.jpg,https://you.ctrip.com/sight/macau39/1700146.html?scene=onlinesearch,22.194678,113.55643
知识科普型,博物馆,13293675,通讯博物馆,4.7,32,,澳门,,,,了解通讯媒介及技术发展,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0ww0n120009rkfpq56F03.jpg,https://you.ctrip.com/sight/macau39/1410901.html?scene=onlinesearch,22.206123,113.566586
知识科普型,博物馆,20905949,土地暨自然博物馆,4.8,17,,澳门,,,,,"科技馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/10090t000000ikzb4B6D1.jpg,https://you.ctrip.com/sight/macau39/1700143.html?scene=onlinesearch,22.128706,113.568147
知识科普型,博物馆,151438575,《窑韵凝珍》澳门艺术博物馆藏石湾陶瓷大展,0.0,0,,澳门,,,,,"特色展馆, 展览",,否,https://dimg04.c-ctrip.com/images/0106v12000kmzikq7C969.jpg,https://you.ctrip.com/sight/macau39/151438575.html?scene=onlinesearch,22.191577,113.566135
知识科普型,博物馆,20905955,「留声岁月」音响博物馆,4.8,42,,澳门,,,,一览各式古董音响设备,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104o12000f6txsrq97F5.jpg,https://you.ctrip.com/sight/macau39/1700149.html?scene=onlinesearch,22.200014,113.549858
知识科普型,博物馆,148441331,澳门手信博物馆,0.0,0,,澳门,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/macau39/148441331.html?scene=onlinesearch,22.190192,113.543085
知识科普型,博物馆,144081837,茶博物馆,0.0,0,,澳门,,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/macau39/144081837.html?scene=onlinesearch,22.20311,113.560086
知识科普型,博物馆,151113185,凼仔住宅博物馆,0.0,0,,澳门,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/macau39/151113185.html?scene=onlinesearch,22.157014,113.57174
知识科普型,博物馆,131210710,葡萄酒博物馆,4.0,2,,澳门,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0ww3g12000977m8ya7400.jpg,https://you.ctrip.com/sight/macau39/131210710.html?scene=onlinesearch,22.19792,113.564562
知识科普型,科技馆,10520728,澳门科学馆,4.7,1151,,澳门,,澳门亲子景点榜 No.4,,贝聿铭设计的科学馆,"展馆展览, 遛娃宝藏地",门票,否,https://dimg04.c-ctrip.com/images/1lo6r12000b2slbfaD5D8.jpg,https://you.ctrip.com/sight/macau39/144797.html?scene=onlinesearch,22.188906,113.568441
知识科普型,动物园,56806433,石排湾郊野公园,4.6,22,,澳门,,,,,公园&植物园,免费,是,https://dimg04.c-ctrip.com/images/0102p12000imy51f51DCC.jpg,https://you.ctrip.com/sight/macau39/5067752.html?tagId=286&scene=onlinesearch,22.128798,113.570737
知识科普型,动物园,24648576,熊猫馆,4.5,53,,澳门,,,,熊猫主题的动物园,,免费,是,https://dimg04.c-ctrip.com/images/0105y12000ipzgl3n5E72.jpg,https://you.ctrip.com/sight/macau39/1829374.html?tagId=286&scene=onlinesearch,22.129471,113.570605
知识科普型,植物园,58338300,得胜花园,4.8,8,,澳门,,,,,公园&植物园,免费,是,https://dimg04.c-ctrip.com/images/0ww1h12000chm6emm4902.jpg,https://you.ctrip.com/sight/macau39/5199455.html?scene=onlinesearch,22.200689,113.567228
知识科普型,历史文化遗产,82839,澳门历史城区,4.7,424,,澳门,,澳门夜游必打卡景点榜 No.20,,中西文化交融的历史城区,"历史建筑, 城市漫步",免费,是,https://dimg04.c-ctrip.com/images/10080z000000nn9a9A044.jpg,https://you.ctrip.com/sight/macau39/49193.html?scene=onlinesearch,22.197246,113.551893
知识科普型,历史文化遗产,18700358,路凼历史馆,4.6,64,,澳门,,,,新古典主义建筑风格,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/100t0g00000083b1w4479.jpg,https://you.ctrip.com/sight/macau39/1694116.html?scene=onlinesearch,22.1553,113.567311
知识科普型,历史文化遗产,39227053,同善堂历史档案陈列馆,4.3,6,,澳门,,,,,"历史建筑, 特色展馆",,否,https://dimg04.c-ctrip.com/images/0103i12000c9c9g9y0607.jpg,https://you.ctrip.com/sight/macau39/3409214.html?scene=onlinesearch,22.198263,113.549921
知识科普型,历史文化遗产,124906832,澳门博彩业历史资料馆,5.0,1,,澳门,,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102412000cofhsr79554.jpg,https://you.ctrip.com/sight/macau39/124906832.html?scene=onlinesearch,22.192857,113.555983
自然观赏型,生态景区,137709590,龙环葡韵湿地生态区,5.0,4,,澳门,,,,,自然山水,免费,是,https://dimg04.c-ctrip.com/images/0100712000l9wzk5e8851.png,https://you.ctrip.com/sight/macau39/137709590.html?scene=onlinesearch,22.154725,113.572498
自然观赏型,生态景区,137632513,望德圣母湾湿地生态观赏区,0.0,0,,澳门,,,,,自然山水,免费,是,https://dimg04.c-ctrip.com/images/1me4312000iyz8ns92711.jpg,https://you.ctrip.com/sight/macau39/137632513.html?scene=onlinesearch,22.153642,113.573605
自然观赏型,生态景区,138929206,Ecological Trail Garden of Medicinal and Aromatic plants 香徑藥谷生態園區,0.0,0,,澳门,,,,,公园&植物园,,否,https://dimg04.c-ctrip.com/images/0HJ5t12000i7y1vpx7C28.jpg,https://you.ctrip.com/sight/macau39/138929206.html?scene=onlinesearch,22.127762,113.569508
自然观赏型,生态景区,147253844,路氹城生态保护区,0.0,0,,澳门,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/macau39/147253844.html?scene=onlinesearch,22.143435,113.564763
体验考察型,研学,131210677,澳门欧洲研究学会,0.0,0,,澳门,,,,,历史建筑,,否,https://dimg04.c-ctrip.com/images/0ww5a120009cb1w5f218B.jpg,https://you.ctrip.com/sight/macau39/131210677.html?scene=onlinesearch,22.198891,113.558171
励志拓展型,大学,10520736,澳门大学,4.6,137,长隆旅游度假区,澳门,长隆旅游度假区,珠海必打卡景点榜 No.20,,公立综合性大学,,免费,是,https://dimg04.c-ctrip.com/images/0106x12000j7qqwbx2B6F.jpg,https://you.ctrip.com/sight/macau39/144805.html?scene=onlinesearch,22.136087,113.552307
励志拓展型,大学,138752618,澳门科技大学运动场,0.0,0,,澳门,,,,,场馆展馆,,否,https://dimg04.c-ctrip.com/images/0HJ6412000ipt0z6n98F8.jpg,https://you.ctrip.com/sight/macau39/138752618.html?scene=onlinesearch,22.155494,113.580395
励志拓展型,大学,151183339,澳门科技大学文体发展办办公室,0.0,0,,澳门,,,,,,,否,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,https://you.ctrip.com/sight/macau39/151183339.html?scene=onlinesearch,22.155875,113.58092
文化康乐型,文化小镇,84720,妈祖文化村,4.8,121,,澳门,,,,瞻仰知名的妈祖雕像,历史建筑,免费,是,https://dimg04.c-ctrip.com/images/0102r12000bbdssyp702A.jpg,https://you.ctrip.com/sight/macau39/54145.html?scene=onlinesearch,22.125459,113.574899
文化康乐型,文化小镇,20905939,澳门文化中心,4.7,61,,澳门,,,,,"博物馆&展馆, 演出",,否,https://dimg04.c-ctrip.com/images/100j0u000000itnii4009.jpg,https://you.ctrip.com/sight/macau39/1700133.html?scene=onlinesearch,22.191968,113.5668
文化康乐型,文化小镇,151530513,上葡京艺术文化展馆,0.0,0,,澳门,,,,,,,否,https://dimg04.c-ctrip.com/images/0106n12000ks3yxd59DC7.jpg,https://you.ctrip.com/sight/macau39/151530513.html?scene=onlinesearch,22.147228,113.584163
文化康乐型,文化小镇,13293699,茶文化馆,4.6,38,,澳门,,,,中西合璧风格的喝茶场所,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/100r0t000000igzz7B7B4.jpg,https://you.ctrip.com/sight/macau39/1410906.html?scene=onlinesearch,22.202726,113.559432
文化康乐型,文化小镇,130369167,澳门特别行政区政府文化局,5.0,1,,澳门,,,,,历史建筑,,否,https://dimg04.c-ctrip.com/images/0100912000c7zv5388A05.jpg,https://you.ctrip.com/sight/macau39/130369167.html?scene=onlinesearch,22.201036,113.557909
文化康乐型,文化小镇,124907856,文化中心广场,5.0,2,,澳门,,,,,地标观景,,否,https://dimg04.c-ctrip.com/images/0106w12000c97r8ifCAEE.jpg,https://you.ctrip.com/sight/macau39/124907856.html?scene=onlinesearch,22.192804,113.565709
文化康乐型,文化小镇,149288852,第六届相约澳门中葡文化艺术节,5.0,1,,澳门,,,,,节日,,否,https://dimg04.c-ctrip.com/images/0101112000g8unhzzAADF.png,https://you.ctrip.com/sight/macau39/149288852.html?scene=onlinesearch,22.201827,113.555473
